------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '136', 'type': 'incd', 'file_name': 'incidencerates_037.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=136&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages 50+"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,1459.3 ,1450.5, 1468.2,21821,falling,-1.0 ,-1.3, -0.7
"US (SEER+NPCR)(1,10)",00000,***,1350.2 ,1349.2, 1351.2,1428518,falling,-1.1 ,-1.8, -0.3
"Catahoula Parish(7,8)",22025,***,1841.7 ,1648, 2051.9,68,stable,-6.4 ,-14.3, 2.2
"East Carroll Parish(7,8)",22035,***,1650.1 ,1423.2, 1903.1,38,stable,0.1 ,-1.6, 1.8
"East Feliciana Parish(7,8)",22037,***,1645.8 ,1513.2, 1787.1,121,stable,-0.1 ,-1.2, 1.0
"West Baton Rouge Parish(7,8)",22121,***,1638.5 ,1510.7, 1774.2,127,stable,-0.4 ,-1.6, 0.8
"Morehouse Parish(7,8)",22067,***,1617.2 ,1505.8, 1734.7,161,stable,0.1 ,-0.7, 1.0
"Iberville Parish(7,8)",22047,***,1610.4 ,1505, 1721.4,180,falling,-3.5 ,-5.5, -1.4
"De Soto Parish(7,8)",22031,***,1587.1 ,1477.4, 1703,159,stable,5.3 ,-1.2, 12.2
"Caldwell Parish(7,8)",22021,***,1577.9 ,1400.3, 1772,59,stable,-0.7 ,-2.3, 1.0
"St. Landry Parish(7,8)",22097,***,1576.5 ,1511.1, 1644.1,447,stable,-0.7 ,-1.5, 0.1
"Vernon Parish(7,8)",22115,***,1561 ,1463.5, 1663.5,197,stable,0.7 ,-0.2, 1.6
"Terrebonne Parish(7,8)",22109,***,1550 ,1490.1, 1611.6,527,rising,0.6 ,0.2, 1.1
"St. Martin Parish(7,8)",22099,***,1547.8 ,1463.6, 1635.6,267,stable,-0.4 ,-1.4, 0.6
"St. Bernard Parish(7,8)",22087,***,1537.6 ,1432.2, 1648.8,173,stable,-0.3 ,-1.2, 0.6
"Bienville Parish(7,8)",22013,***,1528.7 ,1388, 1679.8,87,stable,-0.2 ,-1.8, 1.4
"Vermilion Parish(7,8)",22113,***,1523.6 ,1446, 1604.3,296,stable,-0.4 ,-1.3, 0.4
"Webster Parish(7,8)",22119,***,1522.9 ,1437.9, 1611.7,242,falling,-0.8 ,-1.3, -0.3
"St. Mary Parish(7,8)",22101,***,1521.2 ,1440.4, 1605.3,272,stable,-0.1 ,-0.7, 0.5
"Lafayette Parish(7,8)",22055,***,1520.9 ,1477.9, 1564.7,1002,stable,-0.6 ,-1.1, 0.0
"Franklin Parish(7,8)",22041,***,1516.1 ,1394.6, 1645.4,116,stable,0.3 ,-0.9, 1.4
"Allen Parish(7,8)",22003,***,1509.5 ,1391.2, 1635.1,123,stable,0.3 ,-0.9, 1.6
"Acadia Parish(7,8)",22001,***,1504.6 ,1428.7, 1583.4,302,stable,-0.4 ,-0.9, 0.0
"Ouachita Parish(7,8)",22073,***,1504.2 ,1455.1, 1554.6,727,stable,2.7 ,-2.7, 8.4
"St. Tammany Parish(7,8)",22103,***,1497 ,1459.4, 1535.3,1271,falling,-0.8 ,-1.2, -0.4
"Evangeline Parish(7,8)",22039,***,1496.9 ,1395.7, 1603.6,165,stable,-0.6 ,-1.3, 0.2
"LaFourche Parish(7,8)",22057,***,1475.7 ,1415.7, 1537.6,467,stable,0.3 ,-0.1, 0.8
"Jefferson Parish(7,8)",22051,***,1473.8 ,1446.3, 1501.8,2262,stable,-0.2 ,-0.6, 0.1
"Assumption Parish(7,8)",22007,***,1472.3 ,1355.2, 1596.8,121,stable,-0.8 ,-2.0, 0.4
"Calcasieu Parish(7,8)",22019,***,1464.9 ,1422.5, 1508.3,932,falling,-0.9 ,-1.3, -0.4
"Rapides Parish(7,8)",22079,***,1464.7 ,1414.5, 1516.4,654,stable,-0.5 ,-1.1, 0.0
"Washington Parish(7,8)",22117,***,1463.3 ,1382.8, 1547.3,255,falling,-1.0 ,-1.8, -0.2
"West Feliciana Parish(7,8)",22125,***,1462.8 ,1313.6, 1624.5,77,stable,0.1 ,-1.6, 1.8
"West Carroll Parish(7,8)",22123,***,1458.9 ,1303.3, 1628,65,stable,-0.9 ,-3.0, 1.3
"Iberia Parish(7,8)",22045,***,1447.7 ,1378.6, 1519.5,339,falling,-3.6 ,-5.6, -1.5
"Caddo Parish(7,8)",22017,***,1446.5 ,1410.4, 1483.3,1254,stable,0.6 ,-3.3, 4.5
"Jefferson Davis Parish(7,8)",22053,***,1445.3 ,1345.9, 1550.2,159,stable,-0.7 ,-1.6, 0.3
"Ascension Parish(7,8)",22005,***,1444.9 ,1382.6, 1509.3,445,falling,-1.1 ,-1.6, -0.7
"East Baton Rouge Parish(7,8)",22033,***,1444.2 ,1414.5, 1474.3,1899,falling,-0.7 ,-1.1, -0.2
"Winn Parish(7,8)",22127,***,1438.9 ,1299.3, 1589.4,80,stable,-1.2 ,-2.7, 0.4
"La Salle Parish(7,8)",22059,***,1438.5 ,1294.7, 1593.9,74,falling,-0.9 ,-1.6, -0.1
"St. James Parish(7,8)",22093,***,1432.5 ,1313.7, 1559.2,110,stable,-0.1 ,-1.6, 1.5
"Livingston Parish(7,8)",22063,***,1424.4 ,1369.5, 1481,545,falling,-0.9 ,-1.5, -0.2
"St. Charles Parish(7,8)",22089,***,1419.3 ,1333.9, 1508.8,223,falling,-0.8 ,-1.5, -0.1
"Natchitoches Parish(7,8)",22069,***,1417.7 ,1325.9, 1514.2,182,stable,-0.3 ,-1.1, 0.6
"Plaquemines Parish(7,8)",22075,***,1412.5 ,1287.3, 1546.6,97,stable,-0.3 ,-1.5, 0.9
"Cameron Parish(7,8)",22023,***,1406.2 ,1199.3, 1638.6,34,stable,-1.3 ,-2.7, 0.2
"St. John the Baptist Parish(7,8)",22095,***,1401.5 ,1310.5, 1497.2,191,falling,-1.1 ,-1.8, -0.3
"Claiborne Parish(7,8)",22027,***,1396.6 ,1268.3, 1534.4,88,stable,-0.8 ,-1.7, 0.2
"Bossier Parish(7,8)",22015,***,1396.5 ,1342.8, 1451.9,521,falling,-1.3 ,-1.8, -0.7
"St. Helena Parish(7,8)",22091,***,1392.5 ,1234.6, 1565.1,58,stable,0.2 ,-1.5, 2.0
"Beauregard Parish(7,8)",22011,***,1390.5 ,1296.4, 1489.8,167,stable,-0.8 ,-1.7, 0.1
"Tangipahoa Parish(7,8)",22105,***,1387.1 ,1333.8, 1441.9,541,stable,-0.7 ,-1.5, 0.0
"Sabine Parish(7,8)",22085,***,1385.3 ,1281.2, 1495.7,135,falling,-1.1 ,-2.1, -0.2
"Avoyelles Parish(7,8)",22009,***,1385.2 ,1300, 1474.5,201,stable,-0.8 ,-1.8, 0.1
"Richland Parish(7,8)",22083,***,1371.3 ,1253.1, 1497.7,101,stable,-0.9 ,-2.2, 0.3
"Madison Parish(7,8)",22065,***,1370.3 ,1201, 1556.8,49,stable,-0.2 ,-2.5, 2.2
"Orleans Parish(7,8)",22071,***,1367.9 ,1337.2, 1399.1,1615,falling,-0.7 ,-1.1, -0.2
"Pointe Coupee Parish(7,8)",22077,***,1358 ,1251.9, 1470.7,124,falling,-3.3 ,-5.6, -1.0
"Concordia Parish(7,8)",22029,***,1356.2 ,1238.1, 1482.5,99,stable,-5.1 ,-11.0, 1.2
"Jackson Parish(7,8)",22049,***,1339.7 ,1214.6, 1474.4,85,stable,-1.3 ,-2.8, 0.1
"Red River Parish(7,8)",22081,***,1339.6 ,1169.5, 1527.7,45,stable,-0.3 ,-1.8, 1.3
"Grant Parish(7,8)",22043,***,1333.2 ,1213.7, 1461.4,95,stable,-1.3 ,-2.6, 0.1
"Union Parish(7,8)",22111,***,1311.4 ,1208.1, 1421.2,122,falling,-1.0 ,-1.9, -0.1
"Lincoln Parish(7,8)",22061,***,1196.1 ,1112.9, 1283.8,157,stable,-1.0 ,-2.2, 0.3
"Tensas Parish(7,8)",22107,***,1148 ,952.3, 1372.2,25,stable,2.1 ,-5.6, 10.4

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."
"‡ Incidence data come from different sources. Due to different years of data availability, most of the trends are AAPCs based on APCs but some are APCs calculated in SEER*Stat. Please refer to the source for each area for additional information."

Rates and trends are computed using different standards for malignancy. For more information see malignant.html.

"^ All Stages refers to any stage in the Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ]."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."

1 Source: CDC's National Program of Cancer Registries Cancer Surveillance System (NPCR-CSS) November 2018 data submission and SEER November 2018 submission as published in United States Cancer Statistics [https://nccd.cdc.gov/uscs/].
7 Source: SEER November 2018 submission.
