------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=400&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '400', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_004.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=400&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Breast (in situ) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,25.8 ,24.9, 26.7,705,rising,1.4 ,0.8, 2.0
"US (SEER+NPCR)(1,10)",00000,***,30.1 ,30, 30.2,56702,stable,-2.0 ,-4.2, 0.3
"St. Martin Parish(7,8)",22099,***,43.8 ,33.5, 56.2,13,rising,7.3 ,2.5, 12.3
"Lafayette Parish(7,8)",22055,***,36.9 ,32.1, 42.1,45,rising,4.1 ,2.4, 5.8
"Iberville Parish(7)",22047,***,35.7 ,24.9, 49.8,7,*,*,*,*
"Sabine Parish(7)",22085,***,32.4 ,20.3, 49.2,5,*,*,*,*
"East Baton Rouge Parish(7,8)",22033,***,31.2 ,28.1, 34.5,80,rising,2.5 ,1.3, 3.8
"Orleans Parish(7,8)",22071,***,30.8 ,27.6, 34.4,69,stable,2.0 ,-0.1, 4.2
"St. Landry Parish(7,8)",22097,***,30.5 ,24.1, 38.1,17,stable,2.2 ,-1.0, 5.4
"Jefferson Parish(7,8)",22051,***,30.3 ,27.3, 33.4,84,stable,1.5 ,-0.3, 3.2
"Ascension Parish(7,8)",22005,***,28.4 ,22.6, 35.3,17,stable,2.1 ,-1.6, 5.8
"St. Mary Parish(7,8)",22101,***,27.7 ,20, 37.6,9,rising,5.5 ,2.4, 8.7
"Bossier Parish(7,8)",22015,***,27.6 ,22.2, 33.9,19,stable,0.1 ,-3.0, 3.3
"St. Tammany Parish(7,8)",22103,***,27.4 ,23.7, 31.4,43,stable,-0.6 ,-2.1, 0.9
"St. John the Baptist Parish(7,8)",22095,***,27 ,18.6, 38.1,7,stable,1.4 ,-2.4, 5.3
"Acadia Parish(7,8)",22001,***,26.2 ,18.9, 35.3,9,stable,-21.7 ,-40.1, 2.3
"Iberia Parish(7,8)",22045,***,25.9 ,19.3, 34.1,11,stable,1.0 ,-2.2, 4.3
"De Soto Parish(7)",22031,***,25.1 ,15.6, 38.6,5,*,*,*,*
"Jefferson Davis Parish(7,8)",22053,***,24.9 ,16, 37.4,5,stable,-21.0 ,-39.4, 3.0
"Livingston Parish(7,8)",22063,***,24.8 ,19.9, 30.6,18,stable,1.2 ,-1.6, 4.1
"Pointe Coupee Parish(7)",22077,***,24.3 ,14.9, 38.2,4,*,*,*,*
"St. Charles Parish(7,8)",22089,***,24.1 ,17.1, 33.1,8,stable,-1.2 ,-4.6, 2.3
