------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=080&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '080', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=080&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Thyroid (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,14 ,13.5, 14.5,679,rising,2.2 ,0.1, 4.4
"US (SEER+NPCR)(1,10)",00000,***,14.5 ,14.4, 14.6,48388,stable,-0.8 ,-2.5, 1.1
"Union Parish(7)",22111,***,21.2 ,13.5, 31.7,5,*,*,*,*
"Bossier Parish(7,8)",22015,***,19.3 ,15.9, 23.1,24,rising,8.4 ,6.0, 10.9
"Jackson Parish(7)",22049,***,19 ,10.4, 31.6,3,*,*,*,*
"Vernon Parish(7,8)",22115,***,18.3 ,13.2, 24.8,9,rising,8.7 ,3.3, 14.4
"Beauregard Parish(7)",22011,***,17.8 ,12.1, 25.2,7,*,*,*,*
"Richland Parish(7)",22083,***,17.4 ,10.2, 27.7,4,*,*,*,*
"Plaquemines Parish(7)",22075,***,17.3 ,10.5, 26.9,4,*,*,*,*
"Vermilion Parish(7,8)",22113,***,17 ,12.6, 22.4,10,stable,2.4 ,-1.0, 5.8
"Terrebonne Parish(7,8)",22109,***,16.8 ,13.5, 20.7,19,rising,8.3 ,5.0, 11.8
"Avoyelles Parish(7,8)",22009,***,16.6 ,11.5, 23,7,rising,7.9 ,2.8, 13.2
"Ouachita Parish(7,8)",22073,***,16.5 ,13.8, 19.7,26,rising,3.9 ,1.2, 6.7
"Acadia Parish(7,8)",22001,***,16.5 ,12.4, 21.5,11,rising,5.1 ,0.2, 10.2
"St. Tammany Parish(7,8)",22103,***,16.3 ,14.1, 18.8,42,rising,2.6 ,0.2, 5.1
"West Baton Rouge Parish(7)",22121,***,16.3 ,10.2, 24.8,5,*,*,*,*
"Webster Parish(7)",22119,***,16.2 ,11.3, 22.7,7,*,*,*,*
"LaFourche Parish(7,8)",22057,***,16.2 ,12.8, 20.2,17,rising,8.4 ,5.5, 11.4
"St. Landry Parish(7,8)",22097,***,16.1 ,12.4, 20.6,13,rising,4.6 ,1.2, 8.1
"Sabine Parish(7,8)",22085,***,15.6 ,9.2, 24.7,4,stable,4.5 ,-2.4, 12.0
"Jefferson Davis Parish(7,8)",22053,***,15.5 ,9.8, 23.2,5,stable,1.8 ,-4.8, 8.8
"Rapides Parish(7,8)",22079,***,15.3 ,12.5, 18.6,22,rising,5.6 ,2.0, 9.4
"St. Martin Parish(7,8)",22099,***,14.9 ,10.6, 20.3,8,stable,3.0 ,-1.6, 7.7
"Lafayette Parish(7,8)",22055,***,14.6 ,12.5, 17.1,35,rising,3.1 ,0.4, 6.0
"St. Bernard Parish(7,8)",22087,***,14.6 ,9.8, 21,6,rising,7.4 ,3.6, 11.3
"Calcasieu Parish(7,8)",22019,***,14.5 ,12.2, 17.1,29,rising,5.0 ,2.0, 8.0
