------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '047', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_049.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=047&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Lung & Bronchus (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,51.7 ,50.8, 52.6,2727,77.1
"US (SEER+NPCR)(1)",00000,***,42.1 ,42, 42.2,156578,71.3
"East Carroll Parish(7)",22035,***,82.3 ,57.1, 115.2,7,76.1
"Caldwell Parish(7)",22021,***,81.1 ,60.6, 106.9,11,80.6
"Iberville Parish(7)",22047,***,73.2 ,61.5, 86.6,28,85.0
"St. Bernard Parish(7)",22087,***,71.2 ,59.6, 84.3,29,75.3
"Webster Parish(7)",22119,***,68.6 ,59, 79.4,38,81.5
"Red River Parish(7)",22081,***,68.4 ,48.7, 94.2,8,81.6
"Jefferson Davis Parish(7)",22053,***,68 ,56.7, 81,26,80.9
"Evangeline Parish(7)",22039,***,67.4 ,56.1, 80.3,26,85.5
"West Feliciana Parish(7)",22125,***,67.2 ,51.4, 86.7,13,79.8
"Acadia Parish(7)",22001,***,67.2 ,58.7, 76.5,47,82.7
"Morehouse Parish(7)",22067,***,66.5 ,54.6, 80.4,23,80.9
"Vernon Parish(7)",22115,***,64.2 ,54.1, 75.6,29,74.6
"St. Landry Parish(7)",22097,***,64 ,57, 71.7,62,78.3
"Avoyelles Parish(7)",22009,***,62.2 ,52.7, 72.9,32,79.9
"West Baton Rouge Parish(7)",22121,***,62.1 ,49.5, 77.1,17,78.4
"West Carroll Parish(7)",22123,***,62 ,45.2, 83.5,9,69.1
"Vermilion Parish(7)",22113,***,61.5 ,53.3, 70.6,42,87.9
"Catahoula Parish(7)",22025,***,60.7 ,43.2, 83.6,8,64.5
"Assumption Parish(7)",22007,***,60.4 ,47.9, 75.3,17,77.1
"Terrebonne Parish(7)",22109,***,60 ,53.8, 66.8,71,75.2
"St. Helena Parish(7)",22091,***,59.9 ,43.3, 81.6,9,89.8
"Ouachita Parish(7)",22073,***,59.7 ,54.6, 65.2,102,76.7
"Franklin Parish(7)",22041,***,59.6 ,47.1, 74.8,16,81.6
"Jackson Parish(7)",22049,***,59.6 ,45.9, 76.6,13,76.7
"Livingston Parish(7)",22063,***,59 ,53.2, 65.2,82,76.9
"Beauregard Parish(7)",22011,***,59 ,49, 70.4,26,81.0
"Washington Parish(7)",22117,***,58.1 ,49.6, 67.7,35,74.9
"Richland Parish(7)",22083,***,58 ,45.4, 73.2,15,75.8
"St. Martin Parish(7)",22099,***,57.7 ,49.3, 67.2,35,80.8
"Bienville Parish(7)",22013,***,57.7 ,43.6, 75.5,12,75.3
"East Feliciana Parish(7)",22037,***,57.6 ,45, 73,15,81.5
"Caddo Parish(7)",22017,***,57.4 ,53.6, 61.4,176,81.1
"Iberia Parish(7)",22045,***,56.2 ,49.1, 64.1,46,78.2
"Grant Parish(7)",22043,***,54.2 ,42, 69,14,67.6
"St. James Parish(7)",22093,***,52.5 ,40.9, 66.6,15,83.9
"Lafayette Parish(7)",22055,***,52.1 ,47.9, 56.6,119,79.8
"Union Parish(7)",22111,***,52.1 ,41.5, 65,17,76.1
"La Salle Parish(7)",22059,***,52.1 ,38.4, 69.4,10,66.2
"St. Mary Parish(7)",22101,***,52 ,44.3, 60.8,33,77.9
"Madison Parish(7)",22065,***,51.9 ,35.6, 73.1,7,79.1
"Tangipahoa Parish(7)",22105,***,51.4 ,46, 57.2,71,75.3
"Bossier Parish(7)",22015,***,50.9 ,45.6, 56.7,68,78.3
"De Soto Parish(7)",22031,***,50.3 ,40.3, 62.1,18,75.2
"Tensas Parish(7)",22107,***,50.2 ,29.9, 81.6,4,67.9
"LaFourche Parish(7)",22057,***,49.9 ,44.2, 56.3,56,79.8
"Calcasieu Parish(7)",22019,***,49.2 ,45.1, 53.6,111,75.4
"Lincoln Parish(7)",22061,***,48.8 ,40.2, 58.8,23,85.8
"Ascension Parish(7)",22005,***,48.4 ,42.4, 55,52,78.8
"Concordia Parish(7)",22029,***,48 ,36.7, 61.9,13,71.9
"Allen Parish(7)",22003,***,47.5 ,36.9, 60.4,14,69.7
"Jefferson Parish(7)",22051,***,47.3 ,44.7, 50,255,74.3
"Pointe Coupee Parish(7)",22077,***,45.8 ,35.7, 58.3,15,80.2
"Orleans Parish(7)",22071,***,45.8 ,42.8, 48.9,189,77.6
"St. Tammany Parish(7)",22103,***,45.6 ,42.2, 49.3,137,72.9
"Claiborne Parish(7)",22027,***,45.6 ,33.6, 60.7,10,75.8
"Natchitoches Parish(7)",22069,***,45.4 ,37, 55.2,21,77.6
"Rapides Parish(7)",22079,***,44.1 ,39.5, 49.1,70,68.6
"Plaquemines Parish(7)",22075,***,43.3 ,32.3, 56.9,11,70.1
"Cameron Parish(7)",22023,***,42.5 ,24.9, 68.8,4,75.0
"Winn Parish(7)",22127,***,42.4 ,30.5, 57.8,9,75.4
"East Baton Rouge Parish(7)",22033,***,39.9 ,37.3, 42.7,184,77.9
"St. John the Baptist Parish(7)",22095,***,39.5 ,31.7, 48.7,19,73.1
