------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=090&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '090', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_047.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=090&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Leukemia (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,14.1 ,13.6, 14.6,698,99.2
"US (SEER+NPCR)(1)",00000,***,14 ,14, 14.1,49519,99.0
"Concordia Parish(7)",22029,***,21.6 ,13.7, 32.5,5,100.0
"Bienville Parish(7)",22013,***,19.4 ,11, 32,3,100.0
"Washington Parish(7)",22117,***,18.2 ,13.4, 24.2,10,100.0
"Terrebonne Parish(7)",22109,***,18.1 ,14.6, 22,20,100.0
"Avoyelles Parish(7)",22009,***,17.3 ,12.3, 23.7,8,100.0
"Webster Parish(7)",22119,***,17.3 ,12.5, 23.4,9,100.0
"East Feliciana Parish(7)",22037,***,17.2 ,10, 27.7,4,100.0
"Ouachita Parish(7)",22073,***,16.9 ,14.1, 20,27,99.3
"Acadia Parish(7)",22001,***,16.3 ,12.3, 21.3,11,100.0
"Franklin Parish(7)",22041,***,16 ,9.6, 25.3,4,95.2
"Livingston Parish(7)",22063,***,16 ,12.9, 19.5,20,100.0
"St. Tammany Parish(7)",22103,***,15.9 ,13.8, 18.3,44,96.9
"Rapides Parish(7)",22079,***,15.9 ,13.1, 19.1,24,100.0
"Calcasieu Parish(7)",22019,***,15.9 ,13.5, 18.5,34,99.4
"Vermilion Parish(7)",22113,***,15.6 ,11.5, 20.6,10,100.0
"Beauregard Parish(7)",22011,***,15.2 ,10.3, 21.8,6,100.0
"Richland Parish(7)",22083,***,15.1 ,8.9, 24.2,4,100.0
"Bossier Parish(7)",22015,***,15.1 ,12.2, 18.5,19,99.0
"St. Landry Parish(7)",22097,***,15 ,11.5, 19.1,13,100.0
"LaFourche Parish(7)",22057,***,14.9 ,11.8, 18.6,16,100.0
"Allen Parish(7)",22003,***,14.8 ,9.1, 22.8,4,100.0
"Plaquemines Parish(7)",22075,***,14.7 ,8.4, 23.9,3,100.0
"St. Mary Parish(7)",22101,***,14.7 ,10.5, 20,8,100.0
"Sabine Parish(7)",22085,***,14.5 ,9, 22.3,5,100.0
"Caddo Parish(7)",22017,***,14.3 ,12.4, 16.5,41,99.0
"Vernon Parish(7)",22115,***,14.3 ,9.8, 20.2,7,100.0
"East Baton Rouge Parish(7)",22033,***,14.3 ,12.7, 16,64,99.7
"Union Parish(7)",22111,***,13.8 ,8.4, 21.7,4,95.5
"Lafayette Parish(7)",22055,***,13.7 ,11.5, 16.1,30,99.3
"Morehouse Parish(7)",22067,***,13.6 ,8.6, 20.7,5,96.0
"De Soto Parish(7)",22031,***,13.5 ,8.2, 21.1,4,100.0
"Jefferson Davis Parish(7)",22053,***,13.5 ,8.5, 20.3,5,100.0
"Pointe Coupee Parish(7)",22077,***,13.5 ,8.2, 21.1,4,100.0
"Evangeline Parish(7)",22039,***,13.1 ,8.5, 19.4,5,96.3
"Assumption Parish(7)",22007,***,13.1 ,7.3, 21.6,3,94.1
"West Baton Rouge Parish(7)",22121,***,13 ,7.5, 21.1,3,100.0
"Jefferson Parish(7)",22051,***,13 ,11.6, 14.5,66,99.7
"St. Charles Parish(7)",22089,***,12.4 ,8.5, 17.6,7,100.0
"Iberville Parish(7)",22047,***,11.8 ,7.4, 18.1,4,100.0
"Tangipahoa Parish(7)",22105,***,11.8 ,9.2, 14.9,15,100.0
"Ascension Parish(7)",22005,***,11.8 ,8.9, 15.3,12,100.0
"Orleans Parish(7)",22071,***,11.7 ,10.1, 13.3,46,98.3
"Lincoln Parish(7)",22061,***,11.6 ,7.2, 17.5,5,92.0
"Iberia Parish(7)",22045,***,11.3 ,8.2, 15.3,9,100.0
"St. John the Baptist Parish(7)",22095,***,10.4 ,6.4, 15.9,4,100.0
"St. Martin Parish(7)",22099,***,9.5 ,6, 14.2,5,100.0
"Natchitoches Parish(7)",22069,***,8.3 ,5, 13.2,4,100.0
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"Grant Parish(7)",22043,***,* ,*, *,3 or fewer,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*
"St. Bernard Parish(7)",22087,***,* ,*, *,3 or fewer,*
"St. Helena Parish(7)",22091,***,* ,*, *,3 or fewer,*
"St. James Parish(7)",22093,***,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,***,* ,*, *,3 or fewer,*
"West Carroll Parish(7)",22123,***,* ,*, *,3 or fewer,*
"West Feliciana Parish(7)",22125,***,* ,*, *,3 or fewer,*
"Winn Parish(7)",22127,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"* Data has been suppressed to ensure confidentiality and stability of rate estimates.  Counts are suppressed if fewer than 16 records were reported in a specific area-sex-race category. If an average count of 3 is shown, the total number of cases for the time period is 16 or more which exceeds suppression threshold (but is rounded to 3)."

