------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=086&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '086', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_051.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=086&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Non-Hodgkin Lymphoma (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,12.3 ,11.9, 12.8,624,63.6
"US (SEER+NPCR)(1)",00000,***,12 ,12, 12.1,43387,62.8
"Iberville Parish(7)",22047,***,17.5 ,12.1, 24.7,7,73.9
"Beauregard Parish(7)",22011,***,17.2 ,11.9, 24,7,71.4
"West Feliciana Parish(7)",22125,***,17 ,9.7, 28.3,3,81.0
"Assumption Parish(7)",22007,***,16.8 ,10.4, 25.8,4,78.6
"Plaquemines Parish(7)",22075,***,16.5 ,9.7, 26.1,4,54.5
"De Soto Parish(7)",22031,***,16.1 ,10.5, 23.8,5,84.4
"Vernon Parish(7)",22115,***,15.4 ,10.5, 21.8,6,69.6
"Franklin Parish(7)",22041,***,14.9 ,8.6, 24.2,4,78.3
"LaFourche Parish(7)",22057,***,14.7 ,11.7, 18.4,16,68.1
"Terrebonne Parish(7)",22109,***,14.4 ,11.5, 17.9,17,66.9
"Evangeline Parish(7)",22039,***,14.4 ,9.3, 21.2,5,60.5
"Lafayette Parish(7)",22055,***,14.4 ,12.2, 16.8,33,65.2
"Ascension Parish(7)",22005,***,14.1 ,10.9, 17.9,14,64.3
"St. John the Baptist Parish(7)",22095,***,14.1 ,9.6, 20,7,72.3
"Morehouse Parish(7)",22067,***,13.7 ,8.5, 21.1,4,68.8
"Ouachita Parish(7)",22073,***,13.6 ,11.2, 16.4,23,74.8
"Bossier Parish(7)",22015,***,13.6 ,10.8, 16.8,17,67.5
"Caddo Parish(7)",22017,***,13.4 ,11.5, 15.4,40,70.7
"Webster Parish(7)",22119,***,13.1 ,9, 18.6,7,83.3
"West Baton Rouge Parish(7)",22121,***,13 ,7.5, 20.9,3,60.7
"East Baton Rouge Parish(7)",22033,***,12.9 ,11.5, 14.6,58,65.0
"Jefferson Parish(7)",22051,***,12.9 ,11.5, 14.4,67,62.9
"Jefferson Davis Parish(7)",22053,***,12.8 ,8.3, 19.2,5,61.0
"St. Tammany Parish(7)",22103,***,12.8 ,10.9, 14.8,37,61.7
"Allen Parish(7)",22003,***,12.6 ,7.4, 20.1,4,50.0
"St. Martin Parish(7)",22099,***,12.5 ,8.7, 17.4,7,60.7
"Calcasieu Parish(7)",22019,***,12.5 ,10.4, 14.8,27,62.1
"Tangipahoa Parish(7)",22105,***,12.4 ,9.8, 15.5,16,62.3
"St. Mary Parish(7)",22101,***,12.3 ,8.5, 17.2,7,66.7
"Iberia Parish(7)",22045,***,12.3 ,9, 16.3,10,55.8
"St. Charles Parish(7)",22089,***,11.9 ,7.9, 17.1,6,62.5
"Vermilion Parish(7)",22113,***,11.9 ,8.4, 16.4,8,55.7
"Union Parish(7)",22111,***,11.4 ,6.6, 18.6,4,66.7
"Natchitoches Parish(7)",22069,***,11 ,6.9, 16.7,5,69.7
"St. Bernard Parish(7)",22087,***,11 ,6.5, 17.2,4,52.6
"Livingston Parish(7)",22063,***,10.9 ,8.4, 13.8,14,60.2
"St. Landry Parish(7)",22097,***,10.3 ,7.6, 13.7,10,63.8
"Orleans Parish(7)",22071,***,10.2 ,8.8, 11.7,41,59.6
"Avoyelles Parish(7)",22009,***,10.1 ,6.4, 15.2,5,61.5
"Rapides Parish(7)",22079,***,9.7 ,7.6, 12.3,14,50.0
"Lincoln Parish(7)",22061,***,9.3 ,5.7, 14.3,4,67.7
"Acadia Parish(7)",22001,***,9 ,6, 13,6,48.4
"Washington Parish(7)",22117,***,8 ,5, 12.3,5,43.4
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*
"Grant Parish(7)",22043,***,* ,*, *,3 or fewer,*
"Jackson Parish(7)",22049,***,* ,*, *,3 or fewer,*
"La Salle Parish(7)",22059,***,* ,*, *,3 or fewer,*
"Madison Parish(7)",22065,***,* ,*, *,3 or fewer,*
"Pointe Coupee Parish(7)",22077,***,* ,*, *,3 or fewer,*
"Red River Parish(7)",22081,***,* ,*, *,3 or fewer,*
"Richland Parish(7)",22083,***,* ,*, *,3 or fewer,*
"Sabine Parish(7)",22085,***,* ,*, *,3 or fewer,*
"St. Helena Parish(7)",22091,***,* ,*, *,3 or fewer,*
"St. James Parish(7)",22093,***,* ,*, *,3 or fewer,*
"Tensas Parish(7)",22107,***,* ,*, *,3 or fewer,*
"West Carroll Parish(7)",22123,***,* ,*, *,3 or fewer,*
"Winn Parish(7)",22127,***,* ,*, *,3 or fewer,*

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:01 pm.

*** No Healthy People 2020 Objective for this cancer.

State Cancer Registries may provide more current or more local data.
"† Incidence rates (cases per 100,000 population per year) are age-adjusted to the 2000 US standard population [http://www.seer.cancer.gov/stdpopulations/stdpop.19ages.html] (19 age groups: <1, 1-4, 5-9, ... , 80-84, 85+). Rates are for invasive cancer only (except for bladder cancer which is invasive and in situ) or unless otherwise specified. Rates calculated using SEER*Stat. Population counts for denominators are based on Census populations as modified [https://seer.cancer.gov/popdata/] by NCI. The 1969-2016 US Population Data File [https://seer.cancer.gov/popdata/] is used for SEER and NPCR incidence rates."

Rates are computed using cancers classified as malignant based on ICD-O-3. For more information see malignant.html.

"^ Late Stage is defined as cases determined to be regional or distant. Coding is generally based on Surveillance, Epidemiology, and End Results (SEER) summary stage [ https://seer.cancer.gov/tools/ssm/ ] but may include other staging variables if necessary."
Healthy People 2020 Objectives [ https://www.healthypeople.gov/ ]provided by the Centers for Disease Control and Prevention [ https://www.cdc.gov ]. 

"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
