------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=009&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '001', 'race': '00', 'sex': '0', 'age': '009', 'type': 'incd', 'file_name': 'incidencerates_036.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=001&race=00&sex=0&age=009&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"All Cancer Sites (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <50"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,106.9 ,105.2, 108.6,3067,stable,-1.0 ,-3.8, 1.9
"US (SEER+NPCR)(1,10)",00000,***,105 ,104.8, 105.2,208468,stable,0.1 ,-0.8, 1.1
"Bienville Parish(7,8)",22013,***,142.7 ,107.4, 185.5,11,stable,-1.0 ,-4.1, 2.3
"St. Helena Parish(7,8)",22091,***,137 ,97, 187.2,8,stable,2.8 ,-0.5, 6.2
"St. James Parish(7,8)",22093,***,133.6 ,106.1, 166,17,rising,4.2 ,1.3, 7.1
"Pointe Coupee Parish(7,8)",22077,***,130.3 ,103, 162.3,16,stable,-2.0 ,-4.9, 1.0
"St. Landry Parish(7,8)",22097,***,128.1 ,114.1, 143.3,62,rising,1.5 ,0.2, 2.8
"Jefferson Davis Parish(7,8)",22053,***,125.1 ,103.2, 150.1,23,stable,1.4 ,-1.1, 4.0
"De Soto Parish(7,8)",22031,***,123.9 ,100.7, 150.7,20,stable,1.6 ,-0.8, 4.1
"Jackson Parish(7,8)",22049,***,122.1 ,92.3, 158.2,11,rising,3.8 ,0.7, 7.0
"Cameron Parish(7,8)",22023,***,121 ,76.4, 181.6,5,stable,-2.1 ,-5.9, 1.8
"Morehouse Parish(7,8)",22067,***,120.9 ,97.3, 148.3,18,stable,1.9 ,-1.0, 4.9
"Richland Parish(7,8)",22083,***,120.5 ,94.3, 151.5,15,stable,1.9 ,-0.1, 3.9
"St. Tammany Parish(7,8)",22103,***,120.4 ,112.7, 128.4,186,stable,0.8 ,-0.3, 1.9
"Iberville Parish(7,8)",22047,***,120 ,100, 142.9,26,stable,0.0 ,-1.9, 1.9
"Washington Parish(7,8)",22117,***,119.8 ,102.2, 139.6,33,stable,-0.2 ,-2.1, 1.7
"Iberia Parish(7,8)",22045,***,117.9 ,103.9, 133.2,52,stable,1.6 ,-0.3, 3.6
"Acadia Parish(7,8)",22001,***,116.8 ,101.7, 133.4,44,stable,1.1 ,-0.7, 2.9
"Catahoula Parish(7,8)",22025,***,114.9 ,79.3, 160.7,7,stable,1.3 ,-2.8, 5.7
"Terrebonne Parish(7,8)",22109,***,114.7 ,103.8, 126.4,83,stable,0.8 ,-0.6, 2.2
