------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=515&race=00&sex=0&age=015&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '515', 'race': '00', 'sex': '0', 'age': '015', 'type': 'incd', 'file_name': 'incidencerates_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=515&race=00&sex=0&age=015&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Childhood (Ages <20, All Sites) (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, Ages <20"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7)",22000,***,17.6 ,16.6, 18.7,217,*,*,*,*
"US (SEER+NPCR)(1,10)",00000,***,18.9 ,18.7, 19,15570,stable,1.2 ,-0.2, 2.5
"St. John the Baptist Parish(7)",22095,***,26.4 ,15.1, 42.8,3,*,*,*,*
"St. Tammany Parish(7)",22103,***,24.2 ,19.1, 30.1,16,*,*,*,*
"St. Bernard Parish(7)",22087,***,23.9 ,13.6, 39,3,*,*,*,*
"St. Landry Parish(7)",22097,***,22.2 ,14.6, 32.2,5,*,*,*,*
"St. Mary Parish(7)",22101,***,22.1 ,12.6, 35.9,3,*,*,*,*
"LaFourche Parish(7)",22057,***,21.8 ,14.5, 31.5,6,*,*,*,*
"Tangipahoa Parish(7)",22105,***,21.7 ,15.4, 29.7,8,*,*,*,*
"Livingston Parish(7)",22063,***,19.6 ,13.9, 26.9,8,*,*,*,*
"Calcasieu Parish(7)",22019,***,19.2 ,14.3, 25.1,10,*,*,*,*
"Ascension Parish(7)",22005,***,18.9 ,13, 26.6,7,*,*,*,*
"Caddo Parish(7)",22017,***,18.5 ,14.2, 23.8,12,*,*,*,*
"Lafayette Parish(7)",22055,***,16.9 ,12.6, 22.1,11,*,*,*,*
"Jefferson Parish(7)",22051,***,16.8 ,13.5, 20.7,18,*,*,*,*
"Terrebonne Parish(7)",22109,***,16.5 ,10.8, 24.2,5,*,*,*,*
"Ouachita Parish(7)",22073,***,16.1 ,11.3, 22.3,7,*,*,*,*
"East Baton Rouge Parish(7)",22033,***,15.4 ,12.4, 18.9,18,*,*,*,*
"Rapides Parish(7)",22079,***,14.7 ,9.7, 21.4,5,*,*,*,*
"Orleans Parish(7)",22071,***,14.5 ,11.2, 18.5,13,*,*,*,*
"Bossier Parish(7)",22015,***,14 ,9, 20.9,5,*,*,*,*
"Acadia Parish(7)",22001,***,* ,*, *,3 or fewer,*,*,*,*
"Allen Parish(7)",22003,***,* ,*, *,3 or fewer,*,*,*,*
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*,*,*,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*,*,*,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*,*,*,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*,*,*,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*,*,*,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*,*,*,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*,*,*,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*,*,*,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*,*,*,*
"De Soto Parish(7)",22031,***,* ,*, *,3 or fewer,*,*,*,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*,*,*,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*,*,*,*
