------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '066', 'stage': '211', 'race': '00', 'sex': '1', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_055.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=066&stage=211&race=00&sex=1&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Prostate (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Male, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,24.1 ,23.3, 25,617,18.5
"US (SEER+NPCR)(1)",00000,***,20.1 ,20, 20.2,36257,19.4
"Winn Parish(7)",22127,***,37.9 ,22.2, 61.1,4,31.0
"West Baton Rouge Parish(7)",22121,***,36.5 ,22.5, 56,5,20.5
"Vermilion Parish(7)",22113,***,34.4 ,25.9, 44.9,12,21.6
"Claiborne Parish(7)",22027,***,34.1 ,20.7, 54,4,23.0
"Lincoln Parish(7)",22061,***,34.1 ,23.4, 47.9,7,28.5
"West Feliciana Parish(7)",22125,***,32.2 ,18, 54.2,4,21.2
"Rapides Parish(7)",22079,***,32.2 ,26.6, 38.6,25,21.7
"St. Mary Parish(7)",22101,***,32.1 ,23.7, 42.7,10,23.1
"Acadia Parish(7)",22001,***,31.9 ,23.4, 42.4,10,21.8
"Plaquemines Parish(7)",22075,***,31.4 ,17.3, 51.7,3,22.9
"Lafayette Parish(7)",22055,***,31.2 ,26.5, 36.4,35,21.0
"St. James Parish(7)",22093,***,29.5 ,17.8, 46.7,4,17.4
"Iberia Parish(7)",22045,***,29.3 ,21.9, 38.4,11,24.3
"Avoyelles Parish(7)",22009,***,28.6 ,19.6, 40.4,7,20.9
"Orleans Parish(7)",22071,***,28.5 ,25.1, 32.2,56,19.4
"Allen Parish(7)",22003,***,28.2 ,16.6, 44.7,4,20.0
"Grant Parish(7)",22043,***,27 ,16.1, 42.9,4,27.9
"East Feliciana Parish(7)",22037,***,27 ,15.8, 43.8,4,15.8
"Ouachita Parish(7)",22073,***,26.4 ,21.4, 32.2,20,21.1
"Ascension Parish(7)",22005,***,25.6 ,19.6, 32.7,14,17.1
"Caddo Parish(7)",22017,***,25.1 ,21.4, 29.2,35,20.3
"Washington Parish(7)",22117,***,24.9 ,17.4, 34.8,8,21.6
"Webster Parish(7)",22119,***,24.9 ,17, 35.5,7,22.1
"St. Martin Parish(7)",22099,***,24.5 ,17.2, 34,8,17.4
"Sabine Parish(7)",22085,***,24.3 ,15.1, 37.9,4,19.6
"Beauregard Parish(7)",22011,***,23.4 ,14.8, 35.3,5,22.9
"St. Landry Parish(7)",22097,***,23.3 ,17.4, 30.6,11,17.0
"East Baton Rouge Parish(7)",22033,***,23 ,20.2, 26.1,53,15.5
"St. Charles Parish(7)",22089,***,22.8 ,15.3, 32.7,6,19.8
"Jefferson Parish(7)",22051,***,22.8 ,20.1, 25.6,58,17.5
