------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=018&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=018&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Stomach (All Stages^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Recent Trend,"Recent 5-Year Trend (‡) in Incidence Rates","Lower 95% Confidence Interval","Upper 95% Confidence Interval"
"Louisiana(7,8)",22000,***,7.1 ,6.7, 7.4,363,falling,-1.4 ,-2.0, -0.7
"US (SEER+NPCR)(1,10)",00000,***,6.6 ,6.5, 6.6,23871,falling,-1.3 ,-2.0, -0.5
"St. John the Baptist Parish(7,8)",22095,***,13.3 ,8.8, 19.3,6,stable,2.4 ,-3.9, 9.1
"St. Martin Parish(7,8)",22099,***,13.2 ,9.3, 18.3,8,stable,3.1 ,-1.6, 8.0
"Iberville Parish(7)",22047,***,11.8 ,7.4, 18,5,*,*,*,*
"Webster Parish(7)",22119,***,10.7 ,7.1, 15.7,6,*,*,*,*
"Natchitoches Parish(7)",22069,***,9.8 ,5.8, 15.4,4,*,*,*,*
"St. Bernard Parish(7)",22087,***,9 ,5.1, 14.5,3,*,*,*,*
"Lincoln Parish(7)",22061,***,8.7 ,5.2, 13.7,4,*,*,*,*
"Beauregard Parish(7,8)",22011,***,8.3 ,4.7, 13.6,3,*,*,*,*
"St. Landry Parish(7,8)",22097,***,8.2 ,5.8, 11.2,8,stable,2.1 ,-2.2, 6.5
"Calcasieu Parish(7,8)",22019,***,7.9 ,6.3, 9.9,17,stable,-0.6 ,-3.5, 2.4
"Caddo Parish(7,8)",22017,***,7.7 ,6.3, 9.2,23,stable,-1.1 ,-2.8, 0.6
"LaFourche Parish(7,8)",22057,***,7.7 ,5.5, 10.4,8,falling,-4.2 ,-7.0, -1.4
"St. Mary Parish(7,8)",22101,***,7.5 ,4.7, 11.3,5,stable,-1.7 ,-5.9, 2.6
"Ouachita Parish(7,8)",22073,***,7.3 ,5.6, 9.5,12,stable,-1.4 ,-4.3, 1.6
"Orleans Parish(7,8)",22071,***,7.3 ,6.2, 8.6,30,falling,-2.8 ,-4.4, -1.2
"Vernon Parish(7,8)",22115,***,7.2 ,4.1, 11.6,3,*,*,*,*
