------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=072&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '22', 'areatype': 'county', 'cancer': '072', 'stage': '211', 'race': '00', 'sex': '0', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_046.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=22&areatype=county&cancer=072&stage=211&race=00&sex=0&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Louisiana by Parish

"Kidney & Renal Pelvis (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Both Sexes, All Ages"

Sorted by Rate

Parish, FIPS,Met Healthy People Objective of ***?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Louisiana(3)",22000,***,6.2 ,5.9, 6.5,326,29.1
"US (SEER+NPCR)(1)",00000,***,4.8 ,4.8, 4.9,17836,29.4
"Pointe Coupee Parish(7)",22077,***,12.9 ,7.4, 21.2,4,45.0
"Allen Parish(7)",22003,***,11.4 ,6.5, 18.7,3,32.7
"Vernon Parish(7)",22115,***,9.4 ,5.7, 14.5,4,31.7
"Jefferson Davis Parish(7)",22053,***,9.1 ,5.2, 14.8,3,41.5
"Calcasieu Parish(7)",22019,***,8.4 ,6.8, 10.4,19,38.8
"Acadia Parish(7)",22001,***,7.9 ,5.3, 11.5,6,35.8
"Webster Parish(7)",22119,***,7.8 ,4.7, 12.3,4,37.5
"Lincoln Parish(7)",22061,***,7.5 ,4.2, 12.4,3,30.8
"St. Martin Parish(7)",22099,***,7.4 ,4.6, 11.3,5,28.8
"Tangipahoa Parish(7)",22105,***,7.1 ,5.2, 9.6,9,30.5
"Caddo Parish(7)",22017,***,7 ,5.7, 8.6,21,38.2
"Vermilion Parish(7)",22113,***,7 ,4.4, 10.6,5,26.1
"Iberia Parish(7)",22045,***,6.8 ,4.4, 10.1,5,27.1
"St. Mary Parish(7)",22101,***,6.8 ,4.2, 10.6,4,27.3
"LaFourche Parish(7)",22057,***,6.7 ,4.7, 9.4,7,26.9
"Washington Parish(7)",22117,***,6.7 ,4, 10.6,4,29.4
"St. Tammany Parish(7)",22103,***,6.6 ,5.3, 8.1,19,29.4
"Ouachita Parish(7)",22073,***,6.6 ,4.9, 8.6,11,36.2
"St. Landry Parish(7)",22097,***,6.2 ,4.2, 8.9,6,25.2
"Terrebonne Parish(7)",22109,***,6.1 ,4.3, 8.5,8,30.2
"Bossier Parish(7)",22015,***,6.1 ,4.4, 8.4,8,32.0
"Lafayette Parish(7)",22055,***,6.1 ,4.8, 7.8,14,26.5
"Rapides Parish(7)",22079,***,5.8 ,4.2, 7.8,9,30.2
"East Baton Rouge Parish(7)",22033,***,5.7 ,4.7, 6.8,27,29.8
"Jefferson Parish(7)",22051,***,5.4 ,4.5, 6.4,28,23.6
"Livingston Parish(7)",22063,***,5.4 ,3.9, 7.3,9,26.2
"Ascension Parish(7)",22005,***,5.3 ,3.6, 7.5,7,26.2
"Orleans Parish(7)",22071,***,4 ,3.2, 5.1,17,24.0
"Assumption Parish(7)",22007,***,* ,*, *,3 or fewer,*
"Avoyelles Parish(7)",22009,***,* ,*, *,3 or fewer,*
"Beauregard Parish(7)",22011,***,* ,*, *,3 or fewer,*
"Bienville Parish(7)",22013,***,* ,*, *,3 or fewer,*
"Caldwell Parish(7)",22021,***,* ,*, *,3 or fewer,*
"Cameron Parish(7)",22023,***,* ,*, *,3 or fewer,*
"Catahoula Parish(7)",22025,***,* ,*, *,3 or fewer,*
"Claiborne Parish(7)",22027,***,* ,*, *,3 or fewer,*
"Concordia Parish(7)",22029,***,* ,*, *,3 or fewer,*
"De Soto Parish(7)",22031,***,* ,*, *,3 or fewer,*
"East Carroll Parish(7)",22035,***,* ,*, *,3 or fewer,*
"East Feliciana Parish(7)",22037,***,* ,*, *,3 or fewer,*
