------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"Ohio",39000,1.3,61191,"52 of 52"
"United States",00000,3.3,3975282,"N/A"
"Ottawa County",39123,0.4,74,"3023 of 3141"
"Erie County",39043,0.4,140,"3017 of 3141"
"Belmont County",39013,0.5,123,"3014 of 3141"
"Noble County",39121,0.5,25,"2994 of 3141"
"Putnam County",39137,0.5,68,"2987 of 3141"
"Sandusky County",39143,0.6,134,"2963 of 3141"
"Warren County",39165,0.6,460,"2960 of 3141"
"Seneca County",39147,0.6,125,"2952 of 3141"
"Henry County",39069,0.7,77,"2893 of 3141"
"Mahoning County",39099,0.7,696,"2882 of 3141"
"Jefferson County",39081,0.7,198,"2876 of 3141"
"Delaware County",39041,0.7,492,"2867 of 3141"
"Portage County",39133,0.7,461,"2856 of 3141"
"Wood County",39173,0.7,375,"2854 of 3141"
"Van Wert County",39161,0.8,87,"2849 of 3141"
"Crawford County",39033,0.8,135,"2848 of 3141"
"Hancock County",39063,0.8,247,"2838 of 3141"
"Miami County",39109,0.8,328,"2809 of 3141"
"Summit County",39153,0.8,1802,"2805 of 3141"
"Lake County",39085,0.8,789,"2795 of 3141"
"Monroe County",39111,0.9,52,"2755 of 3141"
"Greene County",39057,0.9,567,"2741 of 3141"
"Stark County",39151,0.9,1424,"2673 of 3141"
"Lorain County",39093,1.0,1153,"2647 of 3141"
"Clermont County",39025,1.0,771,"2598 of 3141"
"Defiance County",39039,1.0,157,"2582 of 3141"
"Darke County",39037,1.1,219,"2557 of 3141"
"Mercer County",39107,1.1,175,"2528 of 3141"
"Lucas County",39095,1.1,1963,"2515 of 3141"
"Cuyahoga County",39035,1.1,5982,"2494 of 3141"
"Medina County",39103,1.1,753,"2480 of 3141"
"Union County",39159,1.1,215,"2465 of 3141"
"Fayette County",39047,1.2,136,"2425 of 3141"
