------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Ohio",39000,81.9,9503779,"21 of 52"
"Cuyahoga County",39035,63.0,791566,"2754 of 3141"
"Franklin County",39049,67.7,848761,"2634 of 3141"
"Hamilton County",39061,67.9,549459,"2627 of 3141"
"Lucas County",39095,72.4,313924,"2496 of 3141"
"Montgomery County",39113,73.2,389413,"2476 of 3141"
"Summit County",39153,79.1,428418,"2249 of 3141"
"Mahoning County",39099,80.1,185767,"2216 of 3141"
"Allen County",39003,83.1,86507,"2063 of 3141"
"Lorain County",39093,85.2,260322,"1961 of 3141"
"Butler County",39017,85.4,320678,"1955 of 3141"
"Erie County",39043,86.1,64861,"1913 of 3141"
"Greene County",39057,86.2,142066,"1898 of 3141"
"Clark County",39023,86.6,117327,"1868 of 3141"
"Richland County",39139,86.8,105501,"1852 of 3141"
"Stark County",39151,88.2,330293,"1724 of 3141"
"Fairfield County",39045,88.3,133823,"1716 of 3141"
"Delaware County",39041,88.4,170538,"1710 of 3141"
"Trumbull County",39155,88.6,180104,"1683 of 3141"
"Warren County",39165,88.9,199068,"1653 of 3141"
"Marion County",39101,89.8,58820,"1570 of 3141"
"Sandusky County",39143,89.9,53524,"1569 of 3141"
"Ross County",39141,90.3,69648,"1530 of 3141"
"Madison County",39097,90.5,39571,"1514 of 3141"
"Athens County",39009,90.9,59620,"1460 of 3141"
"Portage County",39133,91.0,147473,"1453 of 3141"
"Defiance County",39039,91.0,34866,"1450 of 3141"
"Jefferson County",39081,91.4,61577,"1402 of 3141"
"Union County",39159,91.7,50175,"1358 of 3141"
"Lake County",39085,91.8,210790,"1355 of 3141"
"Muskingum County",39119,92.1,79157,"1302 of 3141"
"Wood County",39173,92.3,119491,"1282 of 3141"
"Noble County",39121,92.4,13389,"1277 of 3141"
"Licking County",39089,92.4,157716,"1270 of 3141"
"Hancock County",39063,92.6,69923,"1247 of 3141"
"Ashtabula County",39007,92.9,91628,"1203 of 3141"
"Morgan County",39115,93.2,13768,"1154 of 3141"
"Pickaway County",39129,93.4,53308,"1115 of 3141"
"Belmont County",39013,93.4,64350,"1114 of 3141"
"Fulton County",39051,93.7,39651,"1053 of 3141"
"Seneca County",39147,93.8,52110,"1044 of 3141"
"Fayette County",39047,94.0,26941,"1015 of 3141"
