locale,fips,value (percent),households (with >1 person per room),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type
Ohio,39000.0,1.3,61191.0,52 of 52,1,state,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
United States,0.0,3.3,3975282.0,,1,country,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Ottawa County,39123.0,0.4,74.0,3023 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Erie County,39043.0,0.4,140.0,3017 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Belmont County,39013.0,0.5,123.0,3014 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Noble County,39121.0,0.5,25.0,2994 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Putnam County,39137.0,0.5,68.0,2987 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Sandusky County,39143.0,0.6,134.0,2963 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Warren County,39165.0,0.6,460.0,2960 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
Seneca County,39147.0,0.6,125.0,2952 of 3141,1,county,27,demographics_000.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,39,crowd,manyareacensus
