------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Ohio",39000,2.9,228438,"9 of 52"
"United States",00000,5.4,11759554,"N/A"
"Delaware County",39041,0.8,973,"26 of 3141"
"Wood County",39173,1.2,970,"71 of 3141"
"Hancock County",39063,1.6,797,"161 of 3141"
"Auglaize County",39011,1.6,482,"164 of 3141"
"Medina County",39103,1.6,1994,"181 of 3141"
"Henry County",39069,1.6,309,"186 of 3141"
"Union County",39159,1.7,607,"190 of 3141"
"Van Wert County",39161,1.7,322,"191 of 3141"
"Mercer County",39107,1.7,452,"199 of 3141"
"Hocking County",39073,1.8,359,"242 of 3141"
"Portage County",39133,1.8,1892,"250 of 3141"
"Warren County",39165,1.8,2740,"256 of 3141"
"Licking County",39089,2.0,2245,"301 of 3141"
"Erie County",39043,2.1,1117,"367 of 3141"
"Washington County",39167,2.1,902,"372 of 3141"
"Miami County",39109,2.1,1534,"391 of 3141"
"Allen County",39003,2.1,1478,"394 of 3141"
"Athens County",39009,2.1,778,"399 of 3141"
"Fairfield County",39045,2.2,2206,"416 of 3141"
"Greene County",39057,2.2,2432,"438 of 3141"
"Ottawa County",39123,2.2,670,"442 of 3141"
"Mahoning County",39099,2.2,3671,"449 of 3141"
"Lake County",39085,2.2,3665,"450 of 3141"
"Belmont County",39013,2.3,1168,"481 of 3141"
"Putnam County",39137,2.3,521,"482 of 3141"
"Crawford County",39033,2.4,711,"518 of 3141"
"Darke County",39037,2.5,871,"549 of 3141"
"Summit County",39153,2.5,9291,"553 of 3141"
"Lorain County",39093,2.5,5216,"563 of 3141"
"Williams County",39171,2.5,643,"577 of 3141"
"Seneca County",39147,2.5,930,"580 of 3141"
"Defiance County",39039,2.5,656,"590 of 3141"
"Stark County",39151,2.5,6596,"598 of 3141"
"Morrow County",39117,2.6,611,"610 of 3141"
"Pickaway County",39129,2.6,1030,"639 of 3141"
"Lucas County",39095,2.6,7607,"642 of 3141"
"Paulding County",39125,2.6,343,"646 of 3141"
"Hamilton County",39061,2.6,14327,"652 of 3141"
"Fulton County",39051,2.7,759,"673 of 3141"
"Wyandot County",39175,2.7,409,"674 of 3141"
"Preble County",39135,2.7,765,"677 of 3141"
"Jefferson County",39081,2.7,1288,"692 of 3141"
"Noble County",39121,2.7,298,"704 of 3141"
"Montgomery County",39113,2.7,9916,"719 of 3141"
"Champaign County",39021,2.8,741,"748 of 3141"
"Columbiana County",39029,2.8,2085,"751 of 3141"
"Logan County",39091,2.8,866,"760 of 3141"
"Butler County",39017,2.8,6725,"769 of 3141"
"Fayette County",39047,2.8,551,"775 of 3141"
"Clinton County",39027,2.8,789,"782 of 3141"
"Marion County",39101,2.8,1310,"783 of 3141"
"Muskingum County",39119,2.8,1653,"790 of 3141"
"Cuyahoga County",39035,2.9,25388,"830 of 3141"
"Clark County",39023,2.9,2721,"852 of 3141"
"Shelby County",39149,3.0,955,"863 of 3141"
"Perry County",39127,3.0,728,"884 of 3141"
"Franklin County",39049,3.0,24826,"886 of 3141"
"Hardin County",39065,3.0,583,"919 of 3141"
"Trumbull County",39155,3.1,4484,"952 of 3141"
"Clermont County",39025,3.1,4273,"954 of 3141"
"Madison County",39097,3.2,997,"1018 of 3141"
"Carroll County",39019,3.3,644,"1034 of 3141"
"Meigs County",39105,3.3,545,"1072 of 3141"
"Sandusky County",39143,3.4,1377,"1101 of 3141"
"Lawrence County",39087,3.4,1456,"1126 of 3141"
"Guernsey County",39059,3.5,954,"1170 of 3141"
"Richland County",39139,3.5,2966,"1175 of 3141"
"Monroe County",39111,3.5,359,"1177 of 3141"
"Ross County",39141,3.6,1927,"1210 of 3141"
