------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Ohio",39000,11.7,233985,"15 of 51"
"Mahoning County",39099,9.3,4179,"309 of 3139"
"Scioto County",39145,9.5,1792,"350 of 3139"
"Pike County",39131,9.6,692,"368 of 3139"
"Clark County",39023,9.7,2686,"392 of 3139"
"Crawford County",39033,9.7,790,"392 of 3139"
"Lorain County",39093,9.7,4607,"392 of 3139"
"Marion County",39101,9.7,1227,"392 of 3139"
"Fayette County",39047,9.8,628,"418 of 3139"
"Lawrence County",39087,9.9,1248,"446 of 3139"
"Perry County",39127,10.0,759,"475 of 3139"
"Ross County",39141,10.0,1546,"475 of 3139"
"Cuyahoga County",39035,10.1,25142,"497 of 3139"
"Muskingum County",39119,10.2,1901,"519 of 3139"
"Williams County",39171,10.2,624,"519 of 3139"
"Hocking County",39073,10.4,617,"561 of 3139"
"Jackson County",39079,10.4,834,"561 of 3139"
"Fairfield County",39045,10.5,2063,"580 of 3139"
"Seneca County",39147,10.5,971,"580 of 3139"
"Belmont County",39013,10.6,1143,"596 of 3139"
"Columbiana County",39029,10.6,2010,"596 of 3139"
"Erie County",39043,10.6,1218,"596 of 3139"
"Ashtabula County",39007,10.7,2332,"614 of 3139"
"Clinton County",39027,10.7,818,"614 of 3139"
"Meigs County",39105,10.7,571,"614 of 3139"
"Miami County",39109,10.8,1562,"631 of 3139"
"Clermont County",39025,10.9,2839,"657 of 3139"
"Jefferson County",39081,10.9,1412,"657 of 3139"
"Lucas County",39095,10.9,10364,"657 of 3139"
"Preble County",39135,10.9,743,"657 of 3139"
"Stark County",39151,11.1,6788,"697 of 3139"
"Trumbull County",39155,11.1,4233,"697 of 3139"
"Tuscarawas County",39157,11.1,1720,"697 of 3139"
"Champaign County",39021,11.2,682,"718 of 3139"
"Van Wert County",39161,11.2,479,"718 of 3139"
"Vinton County",39163,11.2,360,"718 of 3139"
"Adams County",39001,11.3,848,"736 of 3139"
"Hamilton County",39061,11.3,17205,"736 of 3139"
"Montgomery County",39113,11.3,12264,"736 of 3139"
"Summit County",39153,11.3,10019,"736 of 3139"
"Allen County",39003,11.4,2144,"756 of 3139"
"Brown County",39015,11.4,993,"756 of 3139"
"Defiance County",39039,11.4,676,"756 of 3139"
"Auglaize County",39011,11.5,642,"770 of 3139"
"Darke County",39037,11.5,957,"770 of 3139"
"Knox County",39083,11.6,1179,"789 of 3139"
"Shelby County",39149,11.6,779,"789 of 3139"
"Wood County",39173,11.6,2145,"789 of 3139"
"Guernsey County",39059,11.7,972,"806 of 3139"
"Logan County",39091,11.7,858,"806 of 3139"
"Sandusky County",39143,11.7,1107,"806 of 3139"
"Washington County",39167,11.7,1225,"806 of 3139"
"Wyandot County",39175,11.7,370,"806 of 3139"
"Huron County",39077,11.8,1275,"825 of 3139"
"Coshocton County",39031,11.9,922,"840 of 3139"
"Licking County",39089,11.9,2962,"840 of 3139"
"Morgan County",39115,11.9,410,"840 of 3139"
"Richland County",39139,11.9,2652,"840 of 3139"
"Gallia County",39053,12.0,821,"859 of 3139"
"Fulton County",39051,12.1,681,"878 of 3139"
"Harrison County",39067,12.1,346,"878 of 3139"
"Henry County",39069,12.1,399,"878 of 3139"
"Madison County",39097,12.1,640,"878 of 3139"
"Putnam County",39137,12.1,416,"878 of 3139"
"Hardin County",39065,12.2,732,"898 of 3139"
"Ashland County",39005,12.4,1141,"922 of 3139"
"Paulding County",39125,12.4,354,"922 of 3139"
"Carroll County",39019,12.5,562,"933 of 3139"
"Highland County",39071,12.6,1284,"954 of 3139"
"Hancock County",39063,12.7,1386,"966 of 3139"
"Noble County",39121,12.7,252,"966 of 3139"
"Ottawa County",39123,12.7,611,"966 of 3139"
"Portage County",39133,12.7,3148,"966 of 3139"
"Medina County",39103,12.9,1862,"996 of 3139"
"Greene County",39057,13.0,2762,"1003 of 3139"
"Lake County",39085,13.1,3175,"1014 of 3139"
"Pickaway County",39129,13.1,1014,"1014 of 3139"
"Butler County",39017,13.2,7385,"1030 of 3139"
"Mercer County",39107,13.2,603,"1030 of 3139"
"Morrow County",39117,13.3,717,"1050 of 3139"
"Athens County",39009,13.8,2418,"1117 of 3139"
"Franklin County",39049,14.0,34813,"1139 of 3139"
"Monroe County",39111,14.2,368,"1155 of 3139"
"Union County",39159,14.5,736,"1195 of 3139"
"Wayne County",39169,16.6,3105,"1442 of 3139"
"Warren County",39165,16.7,2662,"1453 of 3139"
"Delaware County",39041,19.0,2034,"1796 of 3139"
"Geauga County",39055,20.6,1571,"2053 of 3139"
"Holmes County",39075,22.1,1803,"2245 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
