------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Ohio",39000,10.2,805643,"26 of 52"
"United States",00000,12.7,27437114,"N/A"
"Delaware County",39041,3.3,4114,"16 of 3141"
"Wood County",39173,5.8,4607,"175 of 3141"
"Medina County",39103,6.0,7293,"194 of 3141"
"Auglaize County",39011,6.5,2014,"277 of 3141"
"Warren County",39165,6.8,10151,"317 of 3141"
"Greene County",39057,7.2,7928,"380 of 3141"
"Mercer County",39107,7.3,1963,"399 of 3141"
"Putnam County",39137,7.3,1657,"409 of 3141"
"Hancock County",39063,7.5,3839,"447 of 3141"
"Henry County",39069,7.6,1432,"490 of 3141"
"Ottawa County",39123,7.8,2353,"522 of 3141"
"Union County",39159,7.9,2865,"531 of 3141"
"Lake County",39085,7.9,13032,"555 of 3141"
"Van Wert County",39161,7.9,1538,"559 of 3141"
"Portage County",39133,8.1,8425,"606 of 3141"
"Fairfield County",39045,8.1,8288,"614 of 3141"
"Erie County",39043,8.4,4506,"659 of 3141"
"Summit County",39153,8.7,32960,"731 of 3141"
"Fulton County",39051,8.9,2530,"763 of 3141"
"Knox County",39083,9.1,3621,"812 of 3141"
"Seneca County",39147,9.2,3412,"838 of 3141"
"Defiance County",39039,9.3,2395,"855 of 3141"
"Franklin County",39049,9.4,77764,"878 of 3141"
"Stark County",39151,9.4,24265,"879 of 3141"
"Shelby County",39149,9.4,3034,"887 of 3141"
"Mahoning County",39099,9.5,15533,"900 of 3141"
"Wyandot County",39175,9.5,1450,"903 of 3141"
"Hamilton County",39061,9.5,51728,"919 of 3141"
"Belmont County",39013,9.6,4877,"944 of 3141"
"Jefferson County",39081,9.7,4613,"948 of 3141"
"Logan County",39091,9.7,2998,"954 of 3141"
"Licking County",39089,9.7,11139,"957 of 3141"
"Geauga County",39055,9.7,6190,"959 of 3141"
"Butler County",39017,9.9,23607,"992 of 3141"
"Washington County",39167,9.9,4258,"994 of 3141"
"Paulding County",39125,10.0,1299,"1019 of 3141"
"Clermont County",39025,10.1,13887,"1046 of 3141"
"Montgomery County",39113,10.1,36701,"1058 of 3141"
"Williams County",39171,10.3,2650,"1115 of 3141"
"Champaign County",39021,10.3,2754,"1122 of 3141"
"Crawford County",39033,10.4,3080,"1141 of 3141"
"Athens County",39009,10.4,3774,"1143 of 3141"
"Miami County",39109,10.4,7501,"1147 of 3141"
"Darke County",39037,10.5,3700,"1155 of 3141"
"Lorain County",39093,10.5,21901,"1157 of 3141"
"Sandusky County",39143,10.5,4307,"1163 of 3141"
"Preble County",39135,10.6,3038,"1194 of 3141"
"Hocking County",39073,10.7,2134,"1209 of 3141"
"Cuyahoga County",39035,10.9,95600,"1257 of 3141"
"Hardin County",39065,11.0,2110,"1268 of 3141"
"Allen County",39003,11.0,7594,"1269 of 3141"
"Trumbull County",39155,11.0,15912,"1273 of 3141"
"Clinton County",39027,11.3,3147,"1336 of 3141"
"Lucas County",39095,11.4,33122,"1363 of 3141"
"Ashland County",39005,11.6,4091,"1403 of 3141"
"Carroll County",39019,11.8,2339,"1453 of 3141"
"Monroe County",39111,12.1,1241,"1504 of 3141"
"Morrow County",39117,12.1,2883,"1509 of 3141"
"Columbiana County",39029,12.5,9346,"1587 of 3141"
"Huron County",39077,12.5,4922,"1599 of 3141"
"Pickaway County",39129,12.6,4957,"1606 of 3141"
"Clark County",39023,12.8,11852,"1638 of 3141"
"Muskingum County",39119,12.8,7464,"1642 of 3141"
"Marion County",39101,12.9,5959,"1646 of 3141"
"Fayette County",39047,12.9,2527,"1654 of 3141"
"Richland County",39139,13.1,11071,"1686 of 3141"
"Ross County",39141,13.3,7202,"1728 of 3141"
