------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00026', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_023.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00026&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Hispanic
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Hispanic),Rank within US
"Ohio",39000,3.6,414490,"43 of 52"
"United States",00000,17.6,56510571,"N/A"
"Monroe County",39111,0.5,74,"3061 of 3141"
"Vinton County",39163,0.5,69,"3060 of 3141"
"Hocking County",39073,0.6,166,"3046 of 3141"
"Meigs County",39105,0.6,146,"3037 of 3141"
"Preble County",39135,0.8,318,"3002 of 3141"
"Noble County",39121,0.8,115,"2999 of 3141"
"Perry County",39127,0.8,289,"2993 of 3141"
"Morgan County",39115,0.9,129,"2970 of 3141"
"Brown County",39015,0.9,384,"2969 of 3141"
"Belmont County",39013,0.9,610,"2967 of 3141"
"Holmes County",39075,0.9,392,"2962 of 3141"
"Harrison County",39067,0.9,138,"2960 of 3141"
"Lawrence County",39087,0.9,565,"2956 of 3141"
"Highland County",39071,0.9,406,"2948 of 3141"
"Adams County",39001,1.0,267,"2946 of 3141"
"Pike County",39131,1.0,279,"2937 of 3141"
"Coshocton County",39031,1.0,361,"2936 of 3141"
"Jackson County",39079,1.0,331,"2926 of 3141"
"Muskingum County",39119,1.0,881,"2923 of 3141"
"Washington County",39167,1.0,626,"2922 of 3141"
"Guernsey County",39059,1.1,441,"2889 of 3141"
"Ross County",39141,1.2,906,"2872 of 3141"
"Ashland County",39005,1.3,671,"2833 of 3141"
"Carroll County",39019,1.3,351,"2831 of 3141"
"Scioto County",39145,1.3,979,"2820 of 3141"
"Gallia County",39053,1.3,397,"2794 of 3141"
"Jefferson County",39081,1.3,903,"2777 of 3141"
"Pickaway County",39129,1.3,769,"2776 of 3141"
"Geauga County",39055,1.4,1279,"2770 of 3141"
"Morrow County",39117,1.4,490,"2750 of 3141"
"Knox County",39083,1.4,874,"2729 of 3141"
"Logan County",39091,1.5,659,"2713 of 3141"
"Darke County",39037,1.5,762,"2705 of 3141"
"Shelby County",39149,1.5,729,"2689 of 3141"
"Champaign County",39021,1.5,586,"2679 of 3141"
"Crawford County",39033,1.5,651,"2655 of 3141"
"Auglaize County",39011,1.6,712,"2641 of 3141"
"Hardin County",39065,1.6,492,"2639 of 3141"
"Miami County",39109,1.6,1625,"2636 of 3141"
"Columbiana County",39029,1.6,1634,"2632 of 3141"
"Union County",39159,1.6,859,"2623 of 3141"
"Clinton County",39027,1.6,664,"2614 of 3141"
"Trumbull County",39155,1.7,3430,"2567 of 3141"
"Portage County",39133,1.7,2744,"2563 of 3141"
"Licking County",39089,1.7,2975,"2528 of 3141"
"Richland County",39139,1.8,2151,"2516 of 3141"
"Clermont County",39025,1.8,3622,"2500 of 3141"
"Mercer County",39107,1.8,731,"2496 of 3141"
"Athens County",39009,1.8,1211,"2465 of 3141"
"Wayne County",39169,1.9,2152,"2460 of 3141"
"Madison County",39097,1.9,812,"2459 of 3141"
"Stark County",39151,1.9,7202,"2422 of 3141"
"Medina County",39103,1.9,3435,"2412 of 3141"
