------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Ohio",39000,12.3,1428230,"18 of 52"
"United States",00000,12.7,40610815,"N/A"
"Monroe County",39111,0.1,8,"3007 of 3141"
"Holmes County",39075,0.2,72,"2893 of 3141"
"Fulton County",39051,0.3,131,"2748 of 3141"
"Wyandot County",39175,0.3,72,"2723 of 3141"
"Perry County",39127,0.4,126,"2699 of 3141"
"Auglaize County",39011,0.4,163,"2693 of 3141"
"Putnam County",39137,0.4,144,"2624 of 3141"
"Adams County",39001,0.4,124,"2598 of 3141"
"Vinton County",39163,0.5,60,"2586 of 3141"
"Preble County",39135,0.5,223,"2481 of 3141"
"Henry County",39069,0.6,163,"2417 of 3141"
"Mercer County",39107,0.7,278,"2303 of 3141"
"Hardin County",39065,0.7,220,"2286 of 3141"
"Morrow County",39117,0.7,260,"2243 of 3141"
"Darke County",39037,0.8,407,"2213 of 3141"
"Ashland County",39005,0.8,421,"2208 of 3141"
"Paulding County",39125,0.8,152,"2195 of 3141"
"Jackson County",39079,0.8,267,"2180 of 3141"
"Brown County",39015,0.8,371,"2157 of 3141"
"Crawford County",39033,0.9,367,"2133 of 3141"
"Carroll County",39019,0.9,257,"2096 of 3141"
"Tuscarawas County",39157,0.9,874,"2082 of 3141"
"Knox County",39083,1.0,621,"2028 of 3141"
"Hocking County",39073,1.0,295,"2022 of 3141"
"Coshocton County",39031,1.1,396,"1994 of 3141"
"Ottawa County",39123,1.1,445,"1990 of 3141"
"Williams County",39171,1.1,417,"1974 of 3141"
"Meigs County",39105,1.2,270,"1955 of 3141"
"Pike County",39131,1.2,333,"1950 of 3141"
"Van Wert County",39161,1.2,339,"1936 of 3141"
"Washington County",39167,1.2,737,"1931 of 3141"
"Geauga County",39055,1.2,1170,"1918 of 3141"
"Guernsey County",39059,1.3,494,"1914 of 3141"
"Wayne County",39169,1.4,1610,"1850 of 3141"
"Clermont County",39025,1.4,2897,"1835 of 3141"
"Highland County",39071,1.4,617,"1834 of 3141"
"Hancock County",39063,1.4,1087,"1831 of 3141"
"Medina County",39103,1.5,2682,"1788 of 3141"
"Champaign County",39021,1.6,613,"1764 of 3141"
"Huron County",39077,1.6,931,"1757 of 3141"
"Logan County",39091,1.7,776,"1714 of 3141"
"Lawrence County",39087,1.9,1179,"1646 of 3141"
"Defiance County",39039,1.9,741,"1645 of 3141"
"Fayette County",39047,2.0,567,"1637 of 3141"
"Harrison County",39067,2.0,309,"1628 of 3141"
"Miami County",39109,2.1,2204,"1601 of 3141"
"Clinton County",39027,2.2,901,"1591 of 3141"
"Columbiana County",39029,2.2,2349,"1568 of 3141"
"Union County",39159,2.5,1370,"1513 of 3141"
"Athens County",39009,2.6,1691,"1484 of 3141"
"Seneca County",39147,2.7,1473,"1476 of 3141"
"Wood County",39173,2.8,3640,"1445 of 3141"
"Gallia County",39053,2.8,851,"1444 of 3141"
"Shelby County",39149,2.8,1384,"1440 of 3141"
"Sandusky County",39143,2.8,1695,"1436 of 3141"
"Scioto County",39145,2.9,2230,"1426 of 3141"
"Muskingum County",39119,3.1,2673,"1393 of 3141"
"Pickaway County",39129,3.3,1857,"1367 of 3141"
"Delaware County",39041,3.4,6611,"1341 of 3141"
"Morgan County",39115,3.4,507,"1335 of 3141"
"Warren County",39165,3.5,7840,"1322 of 3141"
"Licking County",39089,3.6,6119,"1315 of 3141"
"Ashtabula County",39007,3.7,3607,"1308 of 3141"
"Lake County",39085,3.9,9050,"1268 of 3141"
"Portage County",39133,4.1,6699,"1230 of 3141"
"Belmont County",39013,4.2,2862,"1229 of 3141"
"Ross County",39141,5.2,3972,"1121 of 3141"
"Marion County",39101,5.3,3458,"1110 of 3141"
"Noble County",39121,5.4,788,"1093 of 3141"
"Jefferson County",39081,5.7,3828,"1071 of 3141"
"Madison County",39097,5.8,2538,"1059 of 3141"
"Greene County",39057,6.9,11355,"967 of 3141"
"Stark County",39151,7.1,26706,"955 of 3141"
"Fairfield County",39045,7.2,10851,"950 of 3141"
"Richland County",39139,7.8,9478,"910 of 3141"
"Butler County",39017,7.9,29737,"902 of 3141"
"Clark County",39023,8.2,11061,"892 of 3141"
"Trumbull County",39155,8.4,16985,"883 of 3141"
"Lorain County",39093,8.4,25708,"880 of 3141"
"Erie County",39043,8.5,6389,"876 of 3141"
"Allen County",39003,11.8,12260,"713 of 3141"
"Summit County",39153,14.5,78331,"628 of 3141"
"Mahoning County",39099,15.2,35283,"608 of 3141"
"Lucas County",39095,19.0,82399,"519 of 3141"
"Montgomery County",39113,20.6,109808,"485 of 3141"
"Franklin County",39049,22.0,275387,"458 of 3141"
"Hamilton County",39061,25.7,207562,"392 of 3141"
"Cuyahoga County",39035,29.6,372047,"327 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
