------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Ohio",39000,6.5,378735,"27 of 52"
"United States",00000,6.6,10560305,"N/A"
"Delaware County",39041,2.6,2684,"238 of 3141"
"Holmes County",39075,2.8,570,"264 of 3141"
"Union County",39159,2.8,785,"279 of 3141"
"Putnam County",39137,2.9,521,"284 of 3141"
"Auglaize County",39011,3.4,825,"431 of 3141"
"Geauga County",39055,3.5,1715,"449 of 3141"
"Medina County",39103,3.6,3448,"497 of 3141"
"Mercer County",39107,3.9,847,"602 of 3141"
"Wayne County",39169,4.0,2298,"615 of 3141"
"Ashland County",39005,4.2,1096,"682 of 3141"
"Washington County",39167,4.2,1180,"694 of 3141"
"Wyandot County",39175,4.2,483,"711 of 3141"
"Morrow County",39117,4.3,766,"742 of 3141"
"Clermont County",39025,4.4,4592,"767 of 3141"
"Henry County",39069,4.5,630,"804 of 3141"
"Hancock County",39063,4.5,1783,"818 of 3141"
"Warren County",39165,4.5,5148,"831 of 3141"
"Carroll County",39019,4.7,622,"909 of 3141"
"Lake County",39085,4.8,5924,"959 of 3141"
"Noble County",39121,4.8,210,"969 of 3141"
"Ottawa County",39123,4.9,991,"992 of 3141"
"Tuscarawas County",39157,4.9,2242,"1001 of 3141"
"Harrison County",39067,4.9,348,"1014 of 3141"
"Williams County",39171,5.0,918,"1028 of 3141"
"Defiance County",39039,5.0,990,"1054 of 3141"
"Paulding County",39125,5.0,463,"1058 of 3141"
"Fairfield County",39045,5.1,3791,"1062 of 3141"
"Darke County",39037,5.1,1336,"1110 of 3141"
"Pickaway County",39129,5.2,1359,"1147 of 3141"
"Van Wert County",39161,5.3,753,"1172 of 3141"
"Shelby County",39149,5.3,1374,"1194 of 3141"
"Sandusky County",39143,5.4,1615,"1223 of 3141"
"Madison County",39097,5.4,1082,"1253 of 3141"
"Butler County",39017,5.4,10395,"1255 of 3141"
"Miami County",39109,5.5,2896,"1263 of 3141"
"Morgan County",39115,5.5,339,"1279 of 3141"
"Wood County",39173,5.5,3950,"1301 of 3141"
"Franklin County",39049,5.7,39087,"1362 of 3141"
"Greene County",39057,5.7,4641,"1370 of 3141"
"Knox County",39083,5.8,1746,"1422 of 3141"
"Huron County",39077,5.8,1662,"1430 of 3141"
"Preble County",39135,5.8,1194,"1431 of 3141"
"Gallia County",39053,5.8,734,"1437 of 3141"
"Logan County",39091,5.8,1312,"1451 of 3141"
"Licking County",39089,5.9,5172,"1471 of 3141"
"Seneca County",39147,5.9,1611,"1475 of 3141"
"Monroe County",39111,5.9,335,"1494 of 3141"
"Trumbull County",39155,5.9,5551,"1508 of 3141"
"Fulton County",39051,5.9,1307,"1510 of 3141"
"Fayette County",39047,6.3,836,"1682 of 3141"
"Summit County",39153,6.4,18090,"1750 of 3141"
"Crawford County",39033,6.4,1274,"1763 of 3141"
"Lawrence County",39087,6.5,1697,"1774 of 3141"
"Erie County",39043,6.5,2485,"1803 of 3141"
"Brown County",39015,6.5,1336,"1831 of 3141"
"Clinton County",39027,6.6,1358,"1876 of 3141"
"Stark County",39151,6.7,12755,"1919 of 3141"
"Coshocton County",39031,6.7,1125,"1924 of 3141"
"Hardin County",39065,6.8,1039,"1973 of 3141"
"Belmont County",39013,6.8,2144,"1977 of 3141"
"Muskingum County",39119,6.9,2829,"2008 of 3141"
"Hamilton County",39061,7.0,29572,"2044 of 3141"
"Lorain County",39093,7.0,10628,"2059 of 3141"
"Portage County",39133,7.2,6321,"2099 of 3141"
"Allen County",39003,7.2,3757,"2113 of 3141"
"Champaign County",39021,7.3,1420,"2132 of 3141"
"Highland County",39071,7.3,1381,"2157 of 3141"
"Hocking County",39073,7.4,1006,"2190 of 3141"
"Ashtabula County",39007,7.4,3212,"2207 of 3141"
"Adams County",39001,7.5,815,"2217 of 3141"
"Columbiana County",39029,7.5,3726,"2244 of 3141"
"Richland County",39139,7.5,4097,"2248 of 3141"
"Perry County",39127,7.6,1237,"2275 of 3141"
"Ross County",39141,7.6,2528,"2291 of 3141"
"Clark County",39023,7.7,5034,"2313 of 3141"
"Scioto County",39145,7.9,2400,"2376 of 3141"
"Jefferson County",39081,7.9,2372,"2390 of 3141"
"Marion County",39101,7.9,2225,"2395 of 3141"
"Montgomery County",39113,8.0,20849,"2407 of 3141"
"Mahoning County",39099,8.2,9247,"2483 of 3141"
"Lucas County",39095,8.5,18383,"2562 of 3141"
"Guernsey County",39059,8.5,1530,"2564 of 3141"
"Athens County",39009,8.7,2613,"2609 of 3141"
"Cuyahoga County",39035,8.9,57668,"2657 of 3141"
"Pike County",39131,9.9,1134,"2833 of 3141"
"Meigs County",39105,10.4,1028,"2901 of 3141"
"Vinton County",39163,10.6,619,"2920 of 3141"
"Jackson County",39079,10.8,1644,"2945 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:19 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
