------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"Ohio",39000,1.7,195629,"6 of 51"
"United States",00000,2.3,7354769,"N/A"
"Putnam County",39137,0.3,89,"66 of 3140"
"Hocking County",39073,0.3,75,"67 of 3140"
"Morgan County",39115,0.3,45,"86 of 3140"
"Adams County",39001,0.4,121,"140 of 3140"
"Vinton County",39163,0.5,59,"150 of 3140"
"Muskingum County",39119,0.5,436,"188 of 3140"
"Paulding County",39125,0.5,99,"198 of 3140"
"Ross County",39141,0.6,476,"261 of 3140"
"Highland County",39071,0.6,269,"272 of 3140"
"Crawford County",39033,0.7,284,"315 of 3140"
"Morrow County",39117,0.7,240,"328 of 3140"
"Pickaway County",39129,0.7,398,"342 of 3140"
"Pike County",39131,0.8,210,"371 of 3140"
"Holmes County",39075,0.8,323,"374 of 3140"
"Perry County",39127,0.8,274,"391 of 3140"
"Coshocton County",39031,0.8,290,"427 of 3140"
"Fulton County",39051,0.8,349,"460 of 3140"
"Ashtabula County",39007,0.9,855,"504 of 3140"
"Auglaize County",39011,0.9,398,"507 of 3140"
"Shelby County",39149,0.9,447,"566 of 3140"
"Geauga County",39055,1.0,894,"606 of 3140"
"Wyandot County",39175,1.0,214,"624 of 3140"
"Lake County",39085,1.0,2270,"644 of 3140"
"Ashland County",39005,1.0,527,"647 of 3140"
"Darke County",39037,1.0,518,"659 of 3140"
"Mercer County",39107,1.0,406,"662 of 3140"
"Wayne County",39169,1.0,1161,"664 of 3140"
"Sandusky County",39143,1.0,600,"669 of 3140"
"Henry County",39069,1.0,282,"683 of 3140"
"Miami County",39109,1.0,1072,"691 of 3140"
"Trumbull County",39155,1.1,2109,"702 of 3140"
"Guernsey County",39059,1.1,409,"705 of 3140"
"Richland County",39139,1.1,1268,"707 of 3140"
"Madison County",39097,1.1,461,"718 of 3140"
"Preble County",39135,1.1,437,"723 of 3140"
"Medina County",39103,1.1,1878,"731 of 3140"
"Marion County",39101,1.1,696,"733 of 3140"
