------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Massachusetts",25000,7.4,499774,"27 of 52"
"United States",00000,12.7,40610815,"N/A"
"Franklin County",25011,1.4,1023,"1830 of 3141"
"Berkshire County",25003,2.7,3497,"1461 of 3141"
"Barnstable County",25001,2.7,5857,"1460 of 3141"
"Hampshire County",25015,2.9,4691,"1424 of 3141"
"Bristol County",25005,3.8,21325,"1278 of 3141"
"Dukes County",25007,3.9,672,"1272 of 3141"
"Essex County",25009,4.0,31374,"1247 of 3141"
"Worcester County",25027,4.8,39558,"1164 of 3141"
"Middlesex County",25017,5.2,81673,"1118 of 3141"
"Norfolk County",25021,6.6,45770,"990 of 3141"
"Nantucket County",25019,8.3,909,"884 of 3141"
"Hampden County",25013,8.7,41026,"856 of 3141"
"Plymouth County",25023,9.2,46890,"829 of 3141"
"Suffolk County",25025,22.5,175509,"449 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
