locale,fips,value (percent),households (language isolation),rank within us,age,areatype,demo,file_name,race,sex,source_url,stateFIPS,topic,type
United States,0.0,4.5,5305440.0,,1,country,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Massachusetts,25000.0,5.8,149355.0,44 of 51,1,state,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Franklin County,25011.0,1.2,370.0,1895 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Dukes County,25007.0,1.4,86.0,2019 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Barnstable County,25001.0,1.4,1349.0,2035 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Hampshire County,25015.0,1.6,962.0,2177 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Berkshire County,25003.0,1.7,909.0,2187 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Plymouth County,25023.0,2.8,5230.0,2604 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Nantucket County,25019.0,3.0,114.0,2639 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Norfolk County,25021.0,4.4,11480.0,2814 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Worcester County,25027.0,4.8,14550.0,2848 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Bristol County,25005.0,5.6,12031.0,2893 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Middlesex County,25017.0,5.7,33789.0,2897 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Essex County,25009.0,6.1,17918.0,2924 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Hampden County,25013.0,6.4,11521.0,2943 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
Suffolk County,25025.0,12.9,39046.0,3094 of 3140,1,county,15,demographics_007.csv,0,0,https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1,25,lang,manyareacensus
