------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Massachusetts",25000,5.7,46193,"1 of 51"
"Hampden County",25013,4.2,3889,"1 of 3139"
"Berkshire County",25003,4.6,784,"2 of 3139"
"Franklin County",25011,4.8,462,"3 of 3139"
"Bristol County",25005,5.0,3777,"4 of 3139"
"Hampshire County",25015,5.3,949,"5 of 3139"
"Worcester County",25027,5.4,5259,"6 of 3139"
"Plymouth County",25023,5.5,2444,"7 of 3139"
"Suffolk County",25025,5.7,8940,"8 of 3139"
"Norfolk County",25021,5.9,2766,"9 of 3139"
"Barnstable County",25001,6.2,1126,"12 of 3139"
"Essex County",25009,6.2,5844,"12 of 3139"
"Dukes County",25007,7.0,132,"28 of 3139"
"Middlesex County",25017,7.2,9733,"37 of 3139"
"Nantucket County",25019,8.2,88,"112 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
