------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Massachusetts",25000,7.8,128527,"13 of 52"
"United States",00000,10.5,8253388,"N/A"
"Dukes County",25007,3.5,135,"81 of 3141"
"Norfolk County",25021,4.3,7507,"164 of 3141"
"Barnstable County",25001,4.6,2665,"189 of 3141"
"Nantucket County",25019,4.9,112,"226 of 3141"
"Middlesex County",25017,5.5,21186,"319 of 3141"
"Plymouth County",25023,5.8,7548,"365 of 3141"
"Hampshire County",25015,5.9,2046,"381 of 3141"
"Franklin County",25011,6.7,1205,"562 of 3141"
"Worcester County",25027,7.5,15240,"770 of 3141"
"Essex County",25009,8.1,15888,"924 of 3141"
"Berkshire County",25003,8.2,2671,"931 of 3141"
"Bristol County",25005,9.4,13427,"1260 of 3141"
"Hampden County",25013,13.7,15864,"2241 of 3141"
"Suffolk County",25025,15.2,23033,"2472 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
