------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00025', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_025.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00025&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: White
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (White),Rank within US
"United States",00000,73.0,234370202,"N/A"
"Massachusetts",25000,78.9,5358373,"24 of 52"
"Suffolk County",25025,55.2,431286,"2894 of 3141"
"Middlesex County",25017,77.9,1233520,"2315 of 3141"
"Norfolk County",25021,79.4,551177,"2245 of 3141"
"Hampden County",25013,80.4,377092,"2196 of 3141"
"Nantucket County",25019,80.6,8793,"2190 of 3141"
"Essex County",25009,80.6,625697,"2187 of 3141"
"Plymouth County",25023,83.9,427383,"2025 of 3141"
"Worcester County",25027,84.4,690916,"1998 of 3141"
"Bristol County",25005,85.3,475322,"1956 of 3141"
"Hampshire County",25015,88.1,142018,"1747 of 3141"
"Dukes County",25007,88.1,15224,"1744 of 3141"
"Berkshire County",25003,91.1,116402,"1437 of 3141"
"Barnstable County",25001,92.2,197187,"1293 of 3141"
"Franklin County",25011,93.6,66356,"1091 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: White, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
