------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Massachusetts",25000,17.4,1140200,"6 of 52"
"United States",00000,23.7,74202606,"N/A"
"Norfolk County",25021,10.3,69939,"51 of 3141"
"Dukes County",25007,11.4,1958,"73 of 3141"
"Middlesex County",25017,12.7,194614,"131 of 3141"
"Plymouth County",25023,13.1,65104,"138 of 3141"
"Barnstable County",25001,13.6,28629,"161 of 3141"
"Nantucket County",25019,15.8,1696,"285 of 3141"
"Worcester County",25027,17.1,135517,"404 of 3141"
"Essex County",25009,17.7,134059,"457 of 3141"
"Hampshire County",25015,19.4,26846,"648 of 3141"
"Berkshire County",25003,19.4,23580,"656 of 3141"
"Bristol County",25005,19.8,106955,"709 of 3141"
"Franklin County",25011,20.1,14002,"753 of 3141"
"Hampden County",25013,27.5,124976,"1804 of 3141"
"Suffolk County",25025,28.8,212325,"1993 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
