------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"Massachusetts",25000,15.5,1049751,"24 of 52"
"Suffolk County",25025,11.3,88307,"2972 of 3141"
"Middlesex County",25017,14.4,228153,"2510 of 3141"
"Worcester County",25027,14.5,118983,"2486 of 3141"
"Nantucket County",25019,14.7,1605,"2449 of 3141"
"Hampshire County",25015,15.3,24649,"2306 of 3141"
"Hampden County",25013,15.7,73787,"2184 of 3141"
"Essex County",25009,15.9,123692,"2117 of 3141"
"Norfolk County",25021,16.0,110873,"2109 of 3141"
"Bristol County",25005,16.0,89144,"2097 of 3141"
"Plymouth County",25023,16.7,84804,"1880 of 3141"
"Franklin County",25011,19.4,13785,"1004 of 3141"
"Dukes County",25007,21.2,3659,"610 of 3141"
"Berkshire County",25003,21.5,27450,"555 of 3141"
"Barnstable County",25001,28.5,60860,"68 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
