------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"United States",00000,30.9,66887603,"N/A"
"Massachusetts",25000,42.1,1980861,"2 of 52"
"Hampden County",25013,26.5,83292,"696 of 3141"
"Bristol County",25005,27.3,105838,"628 of 3141"
"Berkshire County",25003,33.2,30828,"332 of 3141"
"Worcester County",25027,35.3,197617,"250 of 3141"
"Plymouth County",25023,35.7,125551,"246 of 3141"
"Franklin County",25011,36.8,19430,"225 of 3141"
"Essex County",25009,38.8,207385,"183 of 3141"
"Barnstable County",25001,41.7,68847,"128 of 3141"
"Suffolk County",25025,43.6,233985,"106 of 3141"
"Nantucket County",25019,45.1,3578,"92 of 3141"
"Hampshire County",25015,45.6,45146,"87 of 3141"
"Dukes County",25007,46.3,5892,"80 of 3141"
"Norfolk County",25021,52.5,254773,"35 of 3141"
"Middlesex County",25017,54.1,598699,"24 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: At least bachelors degree, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
