------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"United States",00000,57652.000000000,"N/A"
"Massachusetts",25000,74167.000000000,"6 of 52"
"Hampden County",25013,52205.000000000,"1096 of 3141"
"Berkshire County",25003,55190.000000000,"825 of 3141"
"Franklin County",25011,57307.000000000,"673 of 3141"
"Suffolk County",25025,61242.000000000,"458 of 3141"
"Bristol County",25005,62514.000000000,"403 of 3141"
"Hampshire County",25015,64974.000000000,"324 of 3141"
"Dukes County",25007,67535.000000000,"258 of 3141"
"Barnstable County",25001,68048.000000000,"246 of 3141"
"Worcester County",25027,69313.000000000,"229 of 3141"
"Essex County",25009,73533.000000000,"178 of 3141"
"Plymouth County",25023,82081.000000000,"86 of 3141"
"Nantucket County",25019,91942.000000000,"40 of 3141"
"Middlesex County",25017,92878.000000000,"35 of 3141"
"Norfolk County",25021,95668.000000000,"25 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
