------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00002', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_013.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00002&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Age under 18
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age Under 18),Rank within US
"Massachusetts",25000,20.4,1383532,"46 of 52"
"United States",00000,22.9,73601279,"N/A"
"Hampshire County",25015,15.3,24622,"3088 of 3141"
"Barnstable County",25001,15.7,33501,"3069 of 3141"
"Suffolk County",25025,17.0,133047,"2987 of 3141"
"Berkshire County",25003,17.7,22554,"2934 of 3141"
"Franklin County",25011,18.0,12796,"2891 of 3141"
"Dukes County",25007,18.9,3260,"2757 of 3141"
"Middlesex County",25017,20.3,321459,"2399 of 3141"
"Nantucket County",25019,20.3,2220,"2384 of 3141"
"Bristol County",25005,21.0,116916,"2161 of 3141"
"Norfolk County",25021,21.5,149306,"1980 of 3141"
"Worcester County",25027,21.7,177778,"1902 of 3141"
"Essex County",25009,21.8,169026,"1868 of 3141"
"Hampden County",25013,22.2,103933,"1700 of 3141"
"Plymouth County",25023,22.2,113114,"1668 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age under 18, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
