------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00014', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_022.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00014&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Foreign born
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Foreign Born),Rank within US
"United States",00000,13.4,43028127,"N/A"
"Massachusetts",25000,16.2,1097229,"8 of 51"
"Franklin County",25011,5.2,3675,"890 of 3140"
"Berkshire County",25003,5.9,7587,"752 of 3140"
"Barnstable County",25001,7.4,15743,"565 of 3140"
"Hampshire County",25015,8.0,12907,"507 of 3140"
"Hampden County",25013,8.8,41324,"429 of 3140"
"Plymouth County",25023,9.0,45636,"420 of 3140"
"Dukes County",25007,9.6,1654,"375 of 3140"
"Worcester County",25027,11.8,96216,"265 of 3140"
"Bristol County",25005,12.7,70899,"232 of 3140"
"Nantucket County",25019,15.4,1676,"181 of 3140"
"Essex County",25009,16.2,125659,"163 of 3140"
"Norfolk County",25021,17.2,119384,"146 of 3140"
"Middlesex County",25017,20.5,324190,"105 of 3140"
"Suffolk County",25025,29.5,230679,"32 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Foreign born, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
