------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00105', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_026.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00105&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Sex - Female
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Female),Rank within US
"United States",00000,50.8,162985654,"N/A"
"Massachusetts",25000,51.5,3495893,"47 of 52"
"Nantucket County",25019,46.8,5108,"225 of 3141"
"Worcester County",25027,50.7,414662,"1916 of 3141"
"Franklin County",25011,51.1,36263,"2381 of 3141"
"Middlesex County",25017,51.2,809745,"2406 of 3141"
"Plymouth County",25023,51.3,261326,"2548 of 3141"
"Bristol County",25005,51.6,287297,"2704 of 3141"
"Suffolk County",25025,51.6,403113,"2736 of 3141"
"Berkshire County",25003,51.7,66010,"2757 of 3141"
"Hampden County",25013,51.7,242797,"2795 of 3141"
"Essex County",25009,51.8,401974,"2827 of 3141"
"Norfolk County",25021,52.0,361152,"2897 of 3141"
"Dukes County",25007,52.1,8993,"2907 of 3141"
"Barnstable County",25001,52.2,111748,"2957 of 3141"
"Hampshire County",25015,53.2,85705,"3081 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Sex - Female, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
