------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'ed', 'demo': '00004', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_001.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=ed&demo=00004&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Education: Less than 9th grade
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: Less Than 9th Grade),Rank within US
"Massachusetts",25000,4.6,216649,"32 of 52"
"United States",00000,5.4,11759554,"N/A"
"Dukes County",25007,1.0,122,"38 of 3141"
"Nantucket County",25019,1.2,93,"66 of 3141"
"Barnstable County",25001,1.5,2451,"128 of 3141"
"Franklin County",25011,1.9,978,"261 of 3141"
"Hampshire County",25015,1.9,1855,"267 of 3141"
"Norfolk County",25021,2.7,13045,"684 of 3141"
"Plymouth County",25023,2.8,9894,"770 of 3141"
"Berkshire County",25003,3.0,2754,"873 of 3141"
"Middlesex County",25017,3.6,39296,"1207 of 3141"
"Worcester County",25027,3.6,19939,"1215 of 3141"
"Essex County",25009,5.6,30081,"2072 of 3141"
"Hampden County",25013,6.1,19274,"2236 of 3141"
"Bristol County",25005,8.3,32103,"2683 of 3141"
"Suffolk County",25025,8.3,44764,"2689 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Education: Less than 9th grade, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#education."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
