------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '25', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=25&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Massachusetts by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Massachusetts",25000,88.8,6029142,"19 of 52"
"Hampden County",25013,76.1,356886,"306 of 3141"
"Suffolk County",25025,77.7,606978,"337 of 3141"
"Essex County",25009,80.4,623671,"389 of 3141"
"Worcester County",25027,89.2,729774,"683 of 3141"
"Nantucket County",25019,91.4,9969,"839 of 3141"
"Middlesex County",25017,92.3,1461686,"918 of 3141"
"Bristol County",25005,92.7,516103,"958 of 3141"
"Hampshire County",25015,94.6,152563,"1247 of 3141"
"Berkshire County",25003,95.7,122290,"1478 of 3141"
"Norfolk County",25021,95.8,665489,"1515 of 3141"
"Franklin County",25011,96.2,68257,"1625 of 3141"
"Plymouth County",25023,96.3,490450,"1651 of 3141"
"Barnstable County",25001,97.3,208031,"1996 of 3141"
"Dukes County",25007,98.4,16995,"2594 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:17 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
