------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ins', 'demo': '00043', 'race': '00', 'sex': '0', 'age': '006', 'type': 'manyareacensus', 'file_name': 'demographics_006.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ins&demo=00043&race=00&sex=0&age=006&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
"Insurance: Percent uninsured in demographic group, people at or below 138% of poverty"
"Ages <65, All Races (includes Hispanic), Both Sexes"
2017 Small Area Health Insurance Estimates Data
Sorted by Value

County, FIPS,Value (Percent),People (Uninsured),Rank within US
"Indiana",18000,16.4,187683,"28 of 51"
"Grant County",18053,12.3,1716,"907 of 3139"
"Henry County",18065,12.6,1037,"954 of 3139"
"Knox County",18083,12.9,854,"996 of 3139"
"Fayette County",18041,13.0,669,"1003 of 3139"
"Howard County",18067,13.1,2028,"1014 of 3139"
"Vigo County",18167,13.1,3100,"1014 of 3139"
"Scott County",18143,13.2,600,"1030 of 3139"
"Blackford County",18009,13.3,309,"1050 of 3139"
"Madison County",18095,13.3,3379,"1050 of 3139"
"Vanderburgh County",18163,13.3,4512,"1050 of 3139"
"Floyd County",18043,13.4,1370,"1067 of 3139"
"Gibson County",18051,13.4,620,"1067 of 3139"
"Clay County",18021,13.5,640,"1080 of 3139"
"Lawrence County",18093,13.5,1069,"1080 of 3139"
"Vermillion County",18165,13.5,361,"1080 of 3139"
"Decatur County",18031,13.6,575,"1094 of 3139"
"Delaware County",18035,13.7,3576,"1101 of 3139"
"Greene County",18055,13.7,766,"1101 of 3139"
"Jennings County",18079,13.7,713,"1101 of 3139"
"Perry County",18123,13.7,403,"1101 of 3139"
"Jay County",18075,13.8,606,"1117 of 3139"
"LaPorte County",18091,13.9,2794,"1126 of 3139"
"Starke County",18149,13.9,642,"1126 of 3139"
"Huntington County",18069,14.0,752,"1139 of 3139"
"Morgan County",18109,14.0,1367,"1139 of 3139"
"Randolph County",18135,14.0,688,"1139 of 3139"
"Orange County",18117,14.2,550,"1155 of 3139"
"Miami County",18103,14.4,939,"1183 of 3139"
"Union County",18161,14.4,178,"1183 of 3139"
"Wabash County",18169,14.4,689,"1183 of 3139"
"Warren County",18171,14.4,147,"1183 of 3139"
"Hancock County",18059,14.5,1028,"1195 of 3139"
"Jefferson County",18077,14.5,777,"1195 of 3139"
"DeKalb County",18033,14.6,943,"1209 of 3139"
"Fountain County",18045,14.6,401,"1209 of 3139"
"Dearborn County",18029,14.7,872,"1221 of 3139"
"Clark County",18019,14.9,2579,"1239 of 3139"
"Wells County",18179,15.0,562,"1247 of 3139"
"Adams County",18001,15.1,1191,"1259 of 3139"
"Putnam County",18133,15.1,699,"1259 of 3139"
"Rush County",18139,15.1,469,"1259 of 3139"
"Lake County",18089,15.2,13708,"1273 of 3139"
"Ohio County",18115,15.3,111,"1286 of 3139"
"Shelby County",18145,15.3,1038,"1286 of 3139"
"Sullivan County",18153,15.3,552,"1286 of 3139"
"Wayne County",18177,15.4,2193,"1303 of 3139"
"Ripley County",18137,15.5,628,"1314 of 3139"
"Harrison County",18061,15.6,887,"1324 of 3139"
"Posey County",18129,15.6,418,"1324 of 3139"
"Washington County",18175,15.6,847,"1324 of 3139"
"Pulaski County",18131,15.7,336,"1340 of 3139"
"Monroe County",18105,15.8,5207,"1349 of 3139"
"Pike County",18125,15.8,280,"1349 of 3139"
"Allen County",18003,15.9,10782,"1363 of 3139"
"Franklin County",18047,16.2,505,"1399 of 3139"
"Porter County",18127,16.2,3165,"1399 of 3139"
"Tipton County",18159,16.2,301,"1399 of 3139"
"Martin County",18101,16.3,260,"1415 of 3139"
"Spencer County",18147,16.4,400,"1420 of 3139"
"Steuben County",18151,16.4,786,"1420 of 3139"
"Switzerland County",18155,16.6,397,"1442 of 3139"
"Whitley County",18183,16.6,693,"1442 of 3139"
"Montgomery County",18107,16.9,1005,"1471 of 3139"
"Crawford County",18025,17.0,380,"1483 of 3139"
"St. Joseph County",18141,17.0,8648,"1483 of 3139"
"Warrick County",18173,17.0,1066,"1483 of 3139"
"Jasper County",18073,17.1,712,"1501 of 3139"
"Owen County",18119,17.2,689,"1519 of 3139"
"Parke County",18121,17.2,512,"1519 of 3139"
"Johnson County",18081,17.3,3181,"1541 of 3139"
"Marion County",18097,17.3,38729,"1541 of 3139"
"Tippecanoe County",18157,17.5,7253,"1575 of 3139"
"Fulton County",18049,17.7,627,"1606 of 3139"
"Noble County",18113,17.8,1306,"1623 of 3139"
"Benton County",18007,18.2,280,"1677 of 3139"
"Brown County",18013,18.3,376,"1695 of 3139"
"Carroll County",18015,18.3,500,"1695 of 3139"
"Hendricks County",18063,18.4,2267,"1714 of 3139"
"Jackson County",18071,18.7,1379,"1754 of 3139"
"White County",18181,19.4,706,"1859 of 3139"
"Clinton County",18023,20.0,1192,"1963 of 3139"
"Dubois County",18037,20.3,932,"2007 of 3139"
"Boone County",18011,20.5,1039,"2037 of 3139"
"Kosciusko County",18085,20.5,2267,"2037 of 3139"
"Newton County",18111,20.9,496,"2105 of 3139"
"Marshall County",18099,21.4,1678,"2158 of 3139"
"Cass County",18017,21.5,1595,"2174 of 3139"
"Elkhart County",18039,21.8,7894,"2202 of 3139"
"Bartholomew County",18005,22.4,2539,"2285 of 3139"
"Daviess County",18027,23.0,1488,"2360 of 3139"
"Hamilton County",18057,24.2,4338,"2485 of 3139"
"LaGrange County",18087,28.1,1945,"2803 of 3139"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & Small Area Health Insurance Estimates (https://www.census.gov/programs-surveys/sahie.html).
"For more information about Insurance: Percent uninsured in demographic group, people at or below 138% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#insurance."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
