------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"Indiana",18000,2.1,140315,"33 of 52"
"United States",00000,5.5,17756436,"N/A"
"Warren County",18171,0.0,1,"2916 of 3141"
"Rush County",18139,0.1,14,"2818 of 3141"
"Fountain County",18045,0.1,17,"2770 of 3141"
"Crawford County",18025,0.1,14,"2715 of 3141"
"Fayette County",18041,0.1,31,"2713 of 3141"
"Carroll County",18015,0.2,30,"2682 of 3141"
"Benton County",18007,0.2,14,"2666 of 3141"
"Washington County",18175,0.2,48,"2643 of 3141"
"White County",18181,0.2,45,"2610 of 3141"
"Vermillion County",18165,0.2,31,"2583 of 3141"
"Wabash County",18169,0.2,66,"2564 of 3141"
"Randolph County",18135,0.2,60,"2513 of 3141"
"Daviess County",18027,0.2,79,"2508 of 3141"
"Clay County",18021,0.3,67,"2482 of 3141"
"LaGrange County",18087,0.3,100,"2472 of 3141"
"Franklin County",18047,0.3,63,"2445 of 3141"
"Perry County",18123,0.3,55,"2420 of 3141"
"DeKalb County",18033,0.3,129,"2387 of 3141"
"Spencer County",18147,0.3,63,"2382 of 3141"
"Gibson County",18051,0.3,103,"2376 of 3141"
"Ohio County",18115,0.3,20,"2302 of 3141"
"Jasper County",18073,0.4,119,"2268 of 3141"
"Harrison County",18061,0.4,143,"2249 of 3141"
"Tipton County",18159,0.4,56,"2239 of 3141"
"Adams County",18001,0.4,132,"2211 of 3141"
"Clinton County",18023,0.4,127,"2170 of 3141"
"Dearborn County",18029,0.4,194,"2168 of 3141"
"Scott County",18143,0.4,95,"2148 of 3141"
"Greene County",18055,0.4,133,"2128 of 3141"
"Posey County",18129,0.4,111,"2055 of 3141"
"Martin County",18101,0.4,45,"2042 of 3141"
"Jennings County",18079,0.4,123,"2038 of 3141"
"Blackford County",18009,0.5,55,"2010 of 3141"
"Owen County",18119,0.5,95,"2003 of 3141"
"Lawrence County",18093,0.5,212,"1978 of 3141"
"Union County",18161,0.5,34,"1967 of 3141"
"Switzerland County",18155,0.5,50,"1966 of 3141"
"Fulton County",18049,0.5,97,"1939 of 3141"
"Marshall County",18099,0.5,227,"1916 of 3141"
"Henry County",18065,0.5,240,"1900 of 3141"
"Starke County",18149,0.5,117,"1858 of 3141"
"Wells County",18179,0.5,142,"1857 of 3141"
"Whitley County",18183,0.5,171,"1856 of 3141"
"Steuben County",18151,0.5,176,"1855 of 3141"
"Orange County",18117,0.5,104,"1812 of 3141"
"Jay County",18075,0.5,112,"1809 of 3141"
