------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"Indiana",18000,9.3,613060,"24 of 52"
"United States",00000,12.7,40610815,"N/A"
"LaGrange County",18087,0.1,27,"2995 of 3141"
"Washington County",18175,0.1,25,"2974 of 3141"
"Union County",18161,0.1,8,"2954 of 3141"
"Newton County",18111,0.1,18,"2934 of 3141"
"Tipton County",18159,0.2,29,"2870 of 3141"
"Crawford County",18025,0.2,21,"2861 of 3141"
"Franklin County",18047,0.2,49,"2846 of 3141"
"Blackford County",18009,0.2,29,"2821 of 3141"
"Steuben County",18151,0.2,82,"2820 of 3141"
"Harrison County",18061,0.2,94,"2819 of 3141"
"DeKalb County",18033,0.3,126,"2769 of 3141"
"Starke County",18149,0.3,72,"2744 of 3141"
"Scott County",18143,0.3,76,"2730 of 3141"
"Lawrence County",18093,0.3,148,"2724 of 3141"
"Greene County",18055,0.3,107,"2715 of 3141"
"Jay County",18075,0.3,70,"2710 of 3141"
"Fountain County",18045,0.4,60,"2689 of 3141"
"Noble County",18113,0.4,183,"2667 of 3141"
"Morgan County",18109,0.4,275,"2657 of 3141"
"Clay County",18021,0.4,106,"2646 of 3141"
"Vermillion County",18165,0.4,66,"2628 of 3141"
"Whitley County",18183,0.4,146,"2613 of 3141"
"White County",18181,0.5,112,"2581 of 3141"
"Pulaski County",18131,0.5,59,"2578 of 3141"
"Warren County",18171,0.5,39,"2562 of 3141"
"Ripley County",18137,0.5,137,"2546 of 3141"
"Brown County",18013,0.5,80,"2488 of 3141"
"Carroll County",18015,0.5,108,"2478 of 3141"
"Martin County",18101,0.5,56,"2470 of 3141"
"Dubois County",18037,0.6,243,"2442 of 3141"
"Spencer County",18147,0.6,128,"2383 of 3141"
"Randolph County",18135,0.7,164,"2349 of 3141"
"Decatur County",18031,0.7,177,"2321 of 3141"
"Marshall County",18099,0.7,331,"2275 of 3141"
"Jasper County",18073,0.7,239,"2268 of 3141"
"Owen County",18119,0.8,159,"2234 of 3141"
"Montgomery County",18107,0.8,308,"2193 of 3141"
"Kosciusko County",18085,0.8,637,"2188 of 3141"
"Dearborn County",18029,0.8,403,"2185 of 3141"
"Wells County",18179,0.8,227,"2184 of 3141"
"Switzerland County",18155,0.8,87,"2178 of 3141"
"Huntington County",18069,0.9,318,"2131 of 3141"
"Benton County",18007,0.9,76,"2128 of 3141"
"Wabash County",18169,0.9,279,"2127 of 3141"
"Clinton County",18023,0.9,296,"2107 of 3141"
"Adams County",18001,0.9,328,"2089 of 3141"
"Pike County",18125,1.0,119,"2070 of 3141"
"Shelby County",18145,1.0,427,"2063 of 3141"
"Parke County",18121,1.0,165,"2058 of 3141"
"Fulton County",18049,1.0,212,"2009 of 3141"
"Jackson County",18071,1.1,472,"1997 of 3141"
"Orange County",18117,1.3,254,"1901 of 3141"
"Ohio County",18115,1.3,77,"1899 of 3141"
"Jennings County",18079,1.4,380,"1861 of 3141"
"Cass County",18017,1.4,526,"1855 of 3141"
"Rush County",18139,1.4,238,"1841 of 3141"
"Posey County",18129,1.5,390,"1785 of 3141"
"Warrick County",18173,1.6,968,"1763 of 3141"
"Boone County",18011,1.6,1014,"1751 of 3141"
"Daviess County",18027,1.8,603,"1671 of 3141"
"Hancock County",18059,1.9,1365,"1662 of 3141"
"Bartholomew County",18005,1.9,1558,"1650 of 3141"
"Gibson County",18051,2.0,688,"1615 of 3141"
"Jefferson County",18077,2.1,662,"1613 of 3141"
"Henry County",18065,2.3,1118,"1556 of 3141"
"Johnson County",18081,2.4,3517,"1547 of 3141"
"Fayette County",18041,2.5,589,"1506 of 3141"
"Perry County",18123,2.8,547,"1437 of 3141"
"Monroe County",18105,3.1,4502,"1392 of 3141"
"Putnam County",18133,3.1,1177,"1390 of 3141"
"Knox County",18083,3.1,1188,"1389 of 3141"
"Porter County",18127,3.6,6072,"1311 of 3141"
"Hamilton County",18057,3.6,11244,"1310 of 3141"
"Sullivan County",18153,3.9,811,"1273 of 3141"
"Tippecanoe County",18157,4.8,8844,"1169 of 3141"
"Miami County",18103,5.1,1833,"1129 of 3141"
"Wayne County",18177,5.1,3438,"1125 of 3141"
"Floyd County",18043,5.3,4018,"1111 of 3141"
"Elkhart County",18039,5.5,11148,"1087 of 3141"
"Vigo County",18167,6.2,6639,"1021 of 3141"
"Hendricks County",18063,6.3,9890,"1013 of 3141"
"Clark County",18019,6.7,7681,"986 of 3141"
"Howard County",18067,7.3,6016,"937 of 3141"
"Delaware County",18035,7.3,8463,"936 of 3141"
"Grant County",18053,7.5,5096,"925 of 3141"
"Madison County",18095,7.7,9926,"917 of 3141"
"Vanderburgh County",18163,9.1,16632,"833 of 3141"
"LaPorte County",18091,11.0,12230,"753 of 3141"
"Allen County",18003,11.4,42092,"726 of 3141"
"St. Joseph County",18141,13.0,34814,"681 of 3141"
"Lake County",18089,24.3,118873,"416 of 3141"
"Marion County",18097,27.4,257736,"365 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
