------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"Indiana",18000,10.3,171720,"30 of 52"
"United States",00000,10.5,8253388,"N/A"
"Ohio County",18115,1.6,28,"10 of 3141"
"Boone County",18011,3.4,600,"70 of 3141"
"Hamilton County",18057,3.5,2941,"84 of 3141"
"Hendricks County",18063,3.7,1577,"100 of 3141"
"Union County",18161,4.0,70,"134 of 3141"
"Warren County",18171,5.2,129,"268 of 3141"
"Hancock County",18059,5.3,1058,"286 of 3141"
"Pike County",18125,5.5,189,"324 of 3141"
"Montgomery County",18107,6.1,625,"439 of 3141"
"Warrick County",18173,6.1,1067,"443 of 3141"
"Brown County",18013,6.1,264,"444 of 3141"
"Spencer County",18147,6.2,358,"459 of 3141"
"Posey County",18129,6.4,466,"494 of 3141"
"Dearborn County",18029,6.5,868,"520 of 3141"
"White County",18181,6.5,441,"526 of 3141"
"Ripley County",18137,6.6,529,"544 of 3141"
"Clark County",18019,6.6,1856,"546 of 3141"
"Jasper County",18073,6.7,587,"559 of 3141"
"Franklin County",18047,6.8,462,"581 of 3141"
"Whitley County",18183,6.8,653,"582 of 3141"
"Tipton County",18159,6.9,294,"596 of 3141"
"Steuben County",18151,6.9,645,"600 of 3141"
"Noble County",18113,7.0,906,"634 of 3141"
"LaGrange County",18087,7.0,673,"640 of 3141"
"Johnson County",18081,7.1,2826,"657 of 3141"
"Gibson County",18051,7.2,669,"689 of 3141"
"Wells County",18179,7.3,568,"715 of 3141"
"Carroll County",18015,7.4,406,"728 of 3141"
"Huntington County",18069,7.4,748,"735 of 3141"
"Dubois County",18037,7.6,857,"788 of 3141"
"Shelby County",18145,7.6,899,"795 of 3141"
"Putnam County",18133,7.7,708,"811 of 3141"
"Parke County",18121,7.9,342,"868 of 3141"
"Kosciusko County",18085,8.0,1740,"897 of 3141"
"Clinton County",18023,8.3,697,"979 of 3141"
"Porter County",18127,8.3,3701,"981 of 3141"
"Morgan County",18109,8.4,1543,"987 of 3141"
"Bartholomew County",18005,8.5,1780,"1013 of 3141"
"Decatur County",18031,8.5,599,"1023 of 3141"
"Marshall County",18099,8.5,1025,"1032 of 3141"
"Newton County",18111,8.6,336,"1057 of 3141"
"Daviess County",18027,8.7,717,"1082 of 3141"
"Fountain County",18045,8.8,404,"1093 of 3141"
"Floyd County",18043,8.8,1733,"1099 of 3141"
"Blackford County",18009,9.0,311,"1139 of 3141"
"DeKalb County",18033,9.0,1002,"1154 of 3141"
"Owen County",18119,9.2,546,"1183 of 3141"
"Harrison County",18061,9.2,964,"1196 of 3141"
"Greene County",18055,9.3,784,"1201 of 3141"
"Vermillion County",18165,9.4,379,"1233 of 3141"
"Lawrence County",18093,9.4,1234,"1239 of 3141"
"Pulaski County",18131,9.4,339,"1263 of 3141"
"Scott County",18143,9.5,606,"1287 of 3141"
"Cass County",18017,9.6,927,"1310 of 3141"
"Fulton County",18049,9.8,491,"1349 of 3141"
"Benton County",18007,9.9,220,"1370 of 3141"
"Wabash County",18169,10.0,847,"1427 of 3141"
"Miami County",18103,10.1,935,"1435 of 3141"
"Jefferson County",18077,10.2,897,"1477 of 3141"
"Jennings County",18079,10.4,752,"1509 of 3141"
"Elkhart County",18039,10.5,5410,"1529 of 3141"
"Tippecanoe County",18157,10.6,4125,"1542 of 3141"
"Clay County",18021,10.7,805,"1580 of 3141"
"Allen County",18003,10.9,10086,"1637 of 3141"
"Martin County",18101,11.0,306,"1666 of 3141"
"Washington County",18175,11.1,849,"1684 of 3141"
"Starke County",18149,11.5,699,"1776 of 3141"
"Jackson County",18071,11.5,1342,"1784 of 3141"
"Orange County",18117,11.6,603,"1810 of 3141"
"Monroe County",18105,11.7,3346,"1834 of 3141"
"Knox County",18083,11.8,1149,"1849 of 3141"
"Randolph County",18135,11.9,822,"1871 of 3141"
"Jay County",18075,12.0,645,"1882 of 3141"
"LaPorte County",18091,12.3,3447,"1947 of 3141"
"Henry County",18065,12.3,1481,"1963 of 3141"
"Perry County",18123,12.4,623,"1975 of 3141"
"St. Joseph County",18141,12.6,8073,"2009 of 3141"
"Delaware County",18035,12.6,3458,"2011 of 3141"
"Sullivan County",18153,12.8,676,"2061 of 3141"
"Vanderburgh County",18163,13.1,5866,"2127 of 3141"
"Howard County",18067,13.1,2913,"2128 of 3141"
"Lake County",18089,13.2,16359,"2151 of 3141"
"Madison County",18095,13.4,4537,"2177 of 3141"
"Wayne County",18177,13.5,2339,"2200 of 3141"
"Crawford County",18025,13.7,370,"2228 of 3141"
"Adams County",18001,13.7,1175,"2233 of 3141"
"Rush County",18139,13.7,668,"2236 of 3141"
"Vigo County",18167,14.0,3498,"2309 of 3141"
"Grant County",18053,14.5,2484,"2373 of 3141"
"Marion County",18097,15.2,31296,"2468 of 3141"
"Fayette County",18041,15.2,984,"2471 of 3141"
"Switzerland County",18155,15.9,468,"2559 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
