------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"Indiana",18000,14.6,968568,"34 of 52"
"United States",00000,14.9,47732389,"N/A"
"Tippecanoe County",18157,10.6,19806,"3031 of 3141"
"Hamilton County",18057,11.0,33917,"3008 of 3141"
"Marion County",18097,11.7,110147,"2931 of 3141"
"Monroe County",18105,11.8,17055,"2917 of 3141"
"Boone County",18011,12.6,7911,"2828 of 3141"
"Hendricks County",18063,12.7,20015,"2813 of 3141"
"LaGrange County",18087,13.0,5018,"2761 of 3141"
"Allen County",18003,13.5,49629,"2683 of 3141"
"Elkhart County",18039,13.6,27668,"2663 of 3141"
"Johnson County",18081,13.9,20712,"2624 of 3141"
"Noble County",18113,14.4,6833,"2512 of 3141"
"Clark County",18019,14.5,16698,"2489 of 3141"
"St. Joseph County",18141,14.7,39579,"2441 of 3141"
"Adams County",18001,14.8,5175,"2426 of 3141"
"Daviess County",18027,14.8,4854,"2418 of 3141"
"Floyd County",18043,14.8,11346,"2413 of 3141"
"Porter County",18127,14.9,24949,"2403 of 3141"
"Vigo County",18167,15.1,16231,"2357 of 3141"
"DeKalb County",18033,15.1,6421,"2352 of 3141"
"Jennings County",18079,15.2,4229,"2329 of 3141"
"Lake County",18089,15.2,74262,"2328 of 3141"
"Hancock County",18059,15.2,11064,"2325 of 3141"
"Kosciusko County",18085,15.3,12065,"2298 of 3141"
"Bartholomew County",18005,15.4,12438,"2289 of 3141"
"Morgan County",18109,15.4,10721,"2276 of 3141"
"Putnam County",18133,15.5,5803,"2265 of 3141"
"Jackson County",18071,15.5,6784,"2254 of 3141"
"Vanderburgh County",18163,15.7,28459,"2203 of 3141"
"Clinton County",18023,15.7,5092,"2193 of 3141"
"Decatur County",18031,15.8,4179,"2172 of 3141"
"Shelby County",18145,15.8,7026,"2153 of 3141"
"Scott County",18143,15.9,3771,"2134 of 3141"
"Dearborn County",18029,15.9,7884,"2132 of 3141"
"Washington County",18175,16.0,4443,"2104 of 3141"
"Warrick County",18173,16.1,9905,"2073 of 3141"
"Dubois County",18037,16.1,6835,"2061 of 3141"
"Jefferson County",18077,16.2,5230,"2041 of 3141"
"Huntington County",18069,16.2,5915,"2039 of 3141"
"Delaware County",18035,16.3,18843,"2023 of 3141"
"Jasper County",18073,16.3,5442,"2011 of 3141"
"LaPorte County",18091,16.3,18081,"1992 of 3141"
"Gibson County",18051,16.4,5520,"1963 of 3141"
"Marshall County",18099,16.5,7722,"1933 of 3141"
"Franklin County",18047,16.5,3778,"1918 of 3141"
"Miami County",18103,16.6,5973,"1909 of 3141"
"Harrison County",18061,16.6,6551,"1896 of 3141"
"Sullivan County",18153,16.7,3485,"1876 of 3141"
"Ripley County",18137,16.7,4749,"1861 of 3141"
"Whitley County",18183,16.8,5609,"1855 of 3141"
"Cass County",18017,16.8,6438,"1831 of 3141"
"Clay County",18021,16.8,4441,"1829 of 3141"
"Knox County",18083,16.9,6369,"1820 of 3141"
"Starke County",18149,16.9,3884,"1803 of 3141"
"Benton County",18007,17.0,1478,"1765 of 3141"
"Montgomery County",18107,17.1,6534,"1751 of 3141"
"Posey County",18129,17.1,4372,"1748 of 3141"
"Jay County",18075,17.1,3614,"1737 of 3141"
"Madison County",18095,17.3,22367,"1694 of 3141"
"Switzerland County",18155,17.3,1836,"1679 of 3141"
"Wells County",18179,17.3,4825,"1662 of 3141"
"Perry County",18123,17.4,3337,"1657 of 3141"
"Newton County",18111,17.6,2470,"1587 of 3141"
"Rush County",18139,17.6,2951,"1573 of 3141"
"Martin County",18101,17.8,1819,"1501 of 3141"
"Parke County",18121,17.8,3040,"1494 of 3141"
"Grant County",18053,18.0,12141,"1459 of 3141"
"Owen County",18119,18.0,3766,"1455 of 3141"
"Union County",18161,18.0,1299,"1452 of 3141"
"Henry County",18065,18.0,8767,"1440 of 3141"
"Spencer County",18147,18.1,3730,"1414 of 3141"
"Pulaski County",18131,18.1,2316,"1404 of 3141"
"Howard County",18067,18.2,14975,"1400 of 3141"
