------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"Indiana",18000,34.4,2275265,"33 of 52"
"United States",00000,34.5,110609456,"N/A"
"Tippecanoe County",18157,25.4,47276,"3094 of 3141"
"Monroe County",18105,27.2,39217,"3039 of 3141"
"Hamilton County",18057,29.3,90746,"2930 of 3141"
"LaGrange County",18087,29.5,11413,"2914 of 3141"
"Marion County",18097,30.1,282835,"2871 of 3141"
"Hendricks County",18063,31.7,50128,"2755 of 3141"
"Elkhart County",18039,31.9,64656,"2744 of 3141"
"Adams County",18001,32.2,11280,"2699 of 3141"
"Allen County",18003,32.4,119254,"2679 of 3141"
"Johnson County",18081,32.5,48601,"2671 of 3141"
"Daviess County",18027,33.2,10872,"2601 of 3141"
"Boone County",18011,33.2,20918,"2596 of 3141"
"Vigo County",18167,33.7,36256,"2545 of 3141"
"St. Joseph County",18141,34.1,91513,"2489 of 3141"
"Delaware County",18035,34.2,39703,"2461 of 3141"
"Bartholomew County",18005,34.3,27762,"2458 of 3141"
"Clark County",18019,34.9,40077,"2374 of 3141"
"Noble County",18113,35.1,16659,"2328 of 3141"
"Jackson County",18071,35.3,15453,"2308 of 3141"
"Kosciusko County",18085,35.6,28043,"2258 of 3141"
"Clinton County",18023,35.7,11592,"2243 of 3141"
"Lake County",18089,35.7,174678,"2239 of 3141"
"Putnam County",18133,36.0,13497,"2197 of 3141"
"Porter County",18127,36.2,60528,"2176 of 3141"
"Vanderburgh County",18163,36.2,65787,"2170 of 3141"
"Hancock County",18059,36.2,26339,"2167 of 3141"
"Floyd County",18043,36.3,27750,"2149 of 3141"
"Jennings County",18079,36.3,10110,"2146 of 3141"
"DeKalb County",18033,36.4,15474,"2134 of 3141"
"Decatur County",18031,36.5,9673,"2114 of 3141"
"Miami County",18103,36.9,13292,"2047 of 3141"
"Jasper County",18073,37.0,12365,"2030 of 3141"
"Jay County",18075,37.0,7804,"2026 of 3141"
"Scott County",18143,37.1,8792,"2001 of 3141"
"Marshall County",18099,37.1,17337,"1995 of 3141"
"Knox County",18083,37.1,14012,"1991 of 3141"
"Warrick County",18173,37.2,22932,"1963 of 3141"
"Cass County",18017,37.4,14316,"1913 of 3141"
"LaPorte County",18091,37.5,41578,"1890 of 3141"
"Madison County",18095,37.5,48664,"1885 of 3141"
"Switzerland County",18155,37.6,3997,"1862 of 3141"
"Sullivan County",18153,37.8,7891,"1838 of 3141"
"Dubois County",18037,37.8,16006,"1835 of 3141"
"Morgan County",18109,37.9,26335,"1821 of 3141"
"Huntington County",18069,37.9,13843,"1815 of 3141"
"Montgomery County",18107,38.0,14538,"1790 of 3141"
"Ripley County",18137,38.0,10786,"1785 of 3141"
"Gibson County",18051,38.0,12777,"1781 of 3141"
"Jefferson County",18077,38.1,12307,"1761 of 3141"
"Shelby County",18145,38.2,16920,"1750 of 3141"
"Benton County",18007,38.2,3319,"1738 of 3141"
"Clay County",18021,38.2,10082,"1737 of 3141"
"Washington County",18175,38.2,10632,"1733 of 3141"
"Dearborn County",18029,38.6,19118,"1671 of 3141"
"Grant County",18053,38.7,26197,"1631 of 3141"
"Franklin County",18047,38.8,8849,"1628 of 3141"
"Wells County",18179,38.8,10804,"1619 of 3141"
"Whitley County",18183,39.0,13058,"1579 of 3141"
"Wayne County",18177,39.0,26150,"1571 of 3141"
"Perry County",18123,39.1,7523,"1555 of 3141"
"Starke County",18149,39.3,9031,"1505 of 3141"
"Harrison County",18061,39.4,15536,"1488 of 3141"
"Henry County",18065,39.4,19175,"1476 of 3141"
"Howard County",18067,39.4,32528,"1469 of 3141"
"Parke County",18121,39.5,6737,"1462 of 3141"
"Rush County",18139,39.6,6631,"1442 of 3141"
"Union County",18161,39.7,2867,"1415 of 3141"
"Orange County",18117,39.9,7822,"1378 of 3141"
"Randolph County",18135,39.9,10061,"1366 of 3141"
"Fulton County",18049,40.0,8120,"1337 of 3141"
"Fountain County",18045,40.2,6682,"1293 of 3141"
"Fayette County",18041,40.4,9457,"1256 of 3141"
"Greene County",18055,40.4,13109,"1243 of 3141"
"Newton County",18111,40.4,5682,"1242 of 3141"
"Lawrence County",18093,40.4,18464,"1237 of 3141"
"Wabash County",18169,40.5,12884,"1232 of 3141"
"Carroll County",18015,40.5,8089,"1231 of 3141"
"Posey County",18129,40.5,10368,"1218 of 3141"
"Steuben County",18151,40.5,13961,"1215 of 3141"
"Martin County",18101,40.6,4146,"1199 of 3141"
"Vermillion County",18165,40.6,6354,"1185 of 3141"
"White County",18181,40.8,9912,"1144 of 3141"
"Pulaski County",18131,40.8,5211,"1139 of 3141"
"Spencer County",18147,41.1,8462,"1091 of 3141"
"Crawford County",18025,41.8,4425,"966 of 3141"
"Warren County",18171,41.9,3464,"942 of 3141"
"Pike County",18125,41.9,5229,"937 of 3141"
"Blackford County",18009,42.1,5141,"911 of 3141"
"Tipton County",18159,42.1,6438,"909 of 3141"
"Owen County",18119,42.7,8941,"815 of 3141"
"Ohio County",18115,45.6,2694,"457 of 3141"
"Brown County",18013,48.8,7330,"226 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:16 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
