------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'pop', 'demo': '00104', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_027.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=pop&demo=00104&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Population: Sex - Male
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Male),Rank within US
"United States",00000,49.2,158018753,"N/A"
"Indiana",18000,49.3,3258279,"27 of 52"
"Jefferson County",18077,47.7,15417,"176 of 3141"
"Grant County",18053,47.9,32360,"206 of 3141"
"Parke County",18121,47.9,8178,"230 of 3141"
"Marion County",18097,48.1,452538,"293 of 3141"
"Delaware County",18035,48.2,55903,"330 of 3141"
"Vanderburgh County",18163,48.3,87869,"381 of 3141"
"Wayne County",18177,48.4,32387,"402 of 3141"
"Lake County",18089,48.4,236337,"404 of 3141"
"Howard County",18067,48.4,39889,"414 of 3141"
"Floyd County",18043,48.5,37092,"492 of 3141"
"St. Joseph County",18141,48.6,130472,"527 of 3141"
"Clark County",18019,48.7,55952,"619 of 3141"
"Randolph County",18135,48.7,12278,"631 of 3141"
"Allen County",18003,48.8,179414,"682 of 3141"
"Wabash County",18169,48.9,15568,"774 of 3141"
"Hamilton County",18057,48.9,151395,"779 of 3141"
"Clay County",18021,48.9,12903,"811 of 3141"
"Scott County",18143,49.0,11628,"911 of 3141"
"Rush County",18139,49.0,8223,"934 of 3141"
"Huntington County",18069,49.1,17917,"950 of 3141"
"Hancock County",18059,49.1,35716,"965 of 3141"
"Jay County",18075,49.1,10360,"971 of 3141"
"Johnson County",18081,49.1,73340,"991 of 3141"
"Starke County",18149,49.2,11295,"1069 of 3141"
"Wells County",18179,49.2,13689,"1073 of 3141"
"Fulton County",18049,49.2,9992,"1120 of 3141"
"Vermillion County",18165,49.3,7716,"1224 of 3141"
"Morgan County",18109,49.3,34307,"1241 of 3141"
"Fayette County",18041,49.4,11562,"1269 of 3141"
"Orange County",18117,49.4,9687,"1281 of 3141"
"Porter County",18127,49.4,82696,"1345 of 3141"
"Clinton County",18023,49.4,16044,"1376 of 3141"
"Elkhart County",18039,49.5,100359,"1407 of 3141"
"Greene County",18055,49.5,16040,"1414 of 3141"
"Shelby County",18145,49.5,21933,"1429 of 3141"
"Blackford County",18009,49.5,6047,"1468 of 3141"
"Warrick County",18173,49.5,30490,"1472 of 3141"
"Decatur County",18031,49.5,13112,"1478 of 3141"
"Boone County",18011,49.5,31211,"1497 of 3141"
"Lawrence County",18093,49.5,22621,"1501 of 3141"
"Jasper County",18073,49.5,16568,"1502 of 3141"
"Washington County",18175,49.6,13783,"1537 of 3141"
"Brown County",18013,49.6,7439,"1544 of 3141"
"Ripley County",18137,49.6,14065,"1545 of 3141"
"Adams County",18001,49.6,17361,"1549 of 3141"
"Marshall County",18099,49.7,23252,"1706 of 3141"
"DeKalb County",18033,49.8,21161,"1735 of 3141"
"Fountain County",18045,49.8,8272,"1743 of 3141"
"Kosciusko County",18085,49.8,39206,"1773 of 3141"
"Monroe County",18105,49.9,72005,"1807 of 3141"
"Warren County",18171,49.9,4124,"1824 of 3141"
"Hendricks County",18063,49.9,78924,"1858 of 3141"
"Posey County",18129,49.9,12776,"1865 of 3141"
"Cass County",18017,49.9,19091,"1867 of 3141"
