------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"Indiana",18000,6.1,202199,"23 of 52"
"United States",00000,6.6,10560305,"N/A"
"Dubois County",18037,2.9,649,"285 of 3141"
"LaGrange County",18087,2.9,498,"301 of 3141"
"Wells County",18179,3.0,424,"317 of 3141"
"Boone County",18011,3.3,1106,"381 of 3141"
"Hamilton County",18057,3.3,5591,"390 of 3141"
"Ohio County",18115,3.3,105,"405 of 3141"
"Warrick County",18173,3.4,1100,"429 of 3141"
"Posey County",18129,3.4,445,"436 of 3141"
"Gibson County",18051,3.5,596,"469 of 3141"
"Whitley County",18183,3.6,625,"511 of 3141"
"Pike County",18125,3.8,232,"542 of 3141"
"Tipton County",18159,3.8,295,"565 of 3141"
"Fulton County",18049,3.8,382,"570 of 3141"
"Perry County",18123,3.9,330,"580 of 3141"
"Union County",18161,3.9,140,"597 of 3141"
"Huntington County",18069,3.9,746,"598 of 3141"
"Hancock County",18059,4.0,1576,"637 of 3141"
"Benton County",18007,4.2,181,"690 of 3141"
"Martin County",18101,4.2,212,"705 of 3141"
"Crawford County",18025,4.3,191,"737 of 3141"
"Montgomery County",18107,4.4,856,"752 of 3141"
"White County",18181,4.4,524,"771 of 3141"
"Hendricks County",18063,4.5,3855,"839 of 3141"
"Johnson County",18081,4.6,3564,"854 of 3141"
"Orange County",18117,4.6,406,"859 of 3141"
"Kosciusko County",18085,4.6,1847,"867 of 3141"
"DeKalb County",18033,4.6,1026,"889 of 3141"
"Warren County",18171,4.7,199,"920 of 3141"
"Rush County",18139,4.7,368,"926 of 3141"
