------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00005', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_002.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00005&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: Less than High School
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People(Education: Less Than High School),Rank within US
"Indiana",18000,11.7,510793,"32 of 52"
"United States",00000,12.7,27437114,"N/A"
"Hamilton County",18057,3.8,7573,"26 of 3141"
"Hancock County",18059,6.1,3041,"212 of 3141"
"Boone County",18011,6.3,2601,"237 of 3141"
"Posey County",18129,6.4,1133,"250 of 3141"
"Hendricks County",18063,6.4,6647,"254 of 3141"
"Warrick County",18173,7.0,2943,"345 of 3141"
"Porter County",18127,7.7,8759,"506 of 3141"
"Monroe County",18105,8.1,6632,"605 of 3141"
"Johnson County",18081,8.3,8177,"633 of 3141"
"Wells County",18179,8.7,1619,"714 of 3141"
"Tippecanoe County",18157,8.7,8959,"728 of 3141"
"Whitley County",18183,8.9,2060,"771 of 3141"
"Warren County",18171,9.0,530,"799 of 3141"
"Dearborn County",18029,9.2,3127,"834 of 3141"
"Gibson County",18051,9.2,2105,"841 of 3141"
"Clay County",18021,9.3,1690,"859 of 3141"
"Huntington County",18069,9.5,2363,"912 of 3141"
"Vermillion County",18165,9.5,1043,"921 of 3141"
"Bartholomew County",18005,9.8,5363,"971 of 3141"
"Brown County",18013,10.0,1124,"1023 of 3141"
"Spencer County",18147,10.2,1460,"1071 of 3141"
"Montgomery County",18107,10.3,2649,"1095 of 3141"
"DeKalb County",18033,10.3,2939,"1118 of 3141"
"Decatur County",18031,10.4,1855,"1154 of 3141"
"Delaware County",18035,10.5,7493,"1167 of 3141"
"Benton County",18007,10.5,615,"1168 of 3141"
"Vanderburgh County",18163,10.5,12980,"1169 of 3141"
"Floyd County",18043,10.6,5523,"1190 of 3141"
"Allen County",18003,10.6,25231,"1195 of 3141"
"Steuben County",18151,10.7,2519,"1206 of 3141"
"Harrison County",18061,10.8,2972,"1222 of 3141"
"White County",18181,10.9,1826,"1252 of 3141"
"Jefferson County",18077,11.0,2425,"1270 of 3141"
"Lawrence County",18093,11.0,3517,"1272 of 3141"
"Tipton County",18159,11.0,1197,"1277 of 3141"
"Howard County",18067,11.1,6344,"1297 of 3141"
"Wabash County",18169,11.3,2457,"1332 of 3141"
"Pulaski County",18131,11.3,1001,"1333 of 3141"
"Henry County",18065,11.3,3900,"1343 of 3141"
"Carroll County",18015,11.4,1580,"1358 of 3141"
"Clark County",18019,11.5,9101,"1381 of 3141"
"Fountain County",18045,11.5,1332,"1390 of 3141"
"Dubois County",18037,11.5,3286,"1394 of 3141"
"Union County",18161,11.6,578,"1406 of 3141"
"Ohio County",18115,11.7,514,"1428 of 3141"
"Putnam County",18133,11.8,2913,"1438 of 3141"
"Knox County",18083,11.8,2923,"1448 of 3141"
"Shelby County",18145,11.9,3639,"1468 of 3141"
