------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '18', 'areatype': 'county', 'topic': 'ed', 'demo': '00006', 'race': '00', 'sex': '0', 'age': '081', 'type': 'manyareacensus', 'file_name': 'demographics_003.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=18&areatype=county&topic=ed&demo=00006&race=00&sex=0&age=081&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Indiana by County
Education: At least bachelors degree
Population Ages 25+
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Education: At Least Bachelors Degree),Rank within US
"Indiana",18000,25.3,1106308,"43 of 52"
"United States",00000,30.9,66887603,"N/A"
"Switzerland County",18155,8.7,623,"3097 of 3141"
"LaGrange County",18087,9.9,2211,"3034 of 3141"
"Crawford County",18025,10.4,779,"3006 of 3141"
"Jay County",18075,10.5,1450,"3004 of 3141"
"Jennings County",18079,10.7,1999,"2983 of 3141"
"Newton County",18111,11.0,1081,"2961 of 3141"
"Martin County",18101,11.0,782,"2954 of 3141"
"Fayette County",18041,11.1,1812,"2947 of 3141"
"Blackford County",18009,11.1,960,"2936 of 3141"
"Starke County",18149,11.4,1792,"2915 of 3141"
"Pulaski County",18131,11.8,1045,"2861 of 3141"
"Orange County",18117,11.8,1590,"2853 of 3141"
"Washington County",18175,12.1,2303,"2821 of 3141"
"Sullivan County",18153,12.5,1866,"2755 of 3141"
"Parke County",18121,12.6,1517,"2732 of 3141"
"Miami County",18103,12.6,3137,"2726 of 3141"
"Owen County",18119,12.7,1891,"2719 of 3141"
"Fulton County",18049,12.8,1797,"2694 of 3141"
"Scott County",18143,12.9,2100,"2676 of 3141"
"Vermillion County",18165,13.0,1422,"2666 of 3141"
"Pike County",18125,13.1,1152,"2645 of 3141"
"Cass County",18017,13.4,3465,"2608 of 3141"
"Randolph County",18135,13.7,2380,"2555 of 3141"
"Noble County",18113,14.0,4373,"2503 of 3141"
"Ohio County",18115,14.2,621,"2469 of 3141"
"Daviess County",18027,14.2,2866,"2465 of 3141"
"Perry County",18123,14.3,1950,"2441 of 3141"
"Fountain County",18045,14.4,1657,"2436 of 3141"
"Greene County",18055,14.5,3294,"2400 of 3141"
"Rush County",18139,14.8,1710,"2342 of 3141"
"Adams County",18001,14.9,3129,"2335 of 3141"
"Jasper County",18073,14.9,3315,"2328 of 3141"
"Putnam County",18133,15.4,3821,"2225 of 3141"
"Clinton County",18023,15.7,3337,"2186 of 3141"
"Spencer County",18147,15.9,2281,"2136 of 3141"
"Jackson County",18071,15.9,4693,"2135 of 3141"
"Knox County",18083,16.1,3975,"2099 of 3141"
"Morgan County",18109,16.1,7641,"2098 of 3141"
"Lawrence County",18093,16.1,5148,"2093 of 3141"
"Carroll County",18015,16.2,2258,"2060 of 3141"
"Henry County",18065,16.5,5694,"2019 of 3141"
"Harrison County",18061,16.6,4582,"2008 of 3141"
"Clay County",18021,16.6,3029,"1999 of 3141"
"White County",18181,16.6,2784,"1995 of 3141"
"Gibson County",18051,16.8,3829,"1977 of 3141"
"Benton County",18007,16.8,980,"1975 of 3141"
"Grant County",18053,17.1,7615,"1918 of 3141"
"Jefferson County",18077,17.4,3851,"1852 of 3141"
"Madison County",18095,17.5,15759,"1833 of 3141"
"Union County",18161,17.6,874,"1830 of 3141"
"LaPorte County",18091,17.8,13758,"1791 of 3141"
"DeKalb County",18033,17.8,5067,"1790 of 3141"
"Shelby County",18145,18.0,5493,"1769 of 3141"
"Montgomery County",18107,18.1,4673,"1736 of 3141"
"Huntington County",18069,18.1,4513,"1732 of 3141"
"Wayne County",18177,18.2,8337,"1725 of 3141"
"Ripley County",18137,18.2,3501,"1711 of 3141"
"Wells County",18179,18.6,3475,"1650 of 3141"
"Elkhart County",18039,18.7,23973,"1626 of 3141"
"Wabash County",18169,18.7,4082,"1623 of 3141"
"Warren County",18171,19.4,1137,"1512 of 3141"
"Whitley County",18183,19.5,4492,"1495 of 3141"
"Franklin County",18047,19.7,3052,"1457 of 3141"
"Decatur County",18031,19.7,3501,"1451 of 3141"
"Marshall County",18099,19.8,6094,"1443 of 3141"
"Clark County",18019,20.0,15786,"1408 of 3141"
"Steuben County",18151,20.3,4782,"1344 of 3141"
