------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00102', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_014.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00102&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Age 18-39
"Age N/A, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US
"Pennsylvania",42000,28.2,3603054,"9 of 52"
"United States",00000,29.8,95565066,"N/A"
"Cameron County",42023,19.0,903,"118 of 3141"
"Bedford County",42009,21.7,10604,"382 of 3141"
"Pike County",42103,21.8,12152,"404 of 3141"
"Potter County",42105,22.0,3756,"439 of 3141"
"Elk County",42047,22.0,6783,"447 of 3141"
"Susquehanna County",42115,22.2,9260,"479 of 3141"
"Warren County",42123,22.2,8976,"489 of 3141"
"Mifflin County",42087,22.7,10564,"616 of 3141"
"Sullivan County",42113,22.8,1412,"633 of 3141"
"Fulton County",42057,22.8,3343,"644 of 3141"
"Wayne County",42127,22.9,11829,"661 of 3141"
"Venango County",42121,23.0,12155,"685 of 3141"
"Carbon County",42025,23.1,14781,"721 of 3141"
"Bradford County",42015,23.2,14297,"755 of 3141"
"Westmoreland County",42129,23.2,82898,"758 of 3141"
"Armstrong County",42005,23.4,15641,"799 of 3141"
"Juniata County",42067,24.2,5907,"1027 of 3141"
"Jefferson County",42065,24.4,10810,"1093 of 3141"
"Lawrence County",42073,24.4,21569,"1096 of 3141"
"Bucks County",42017,24.5,153767,"1129 of 3141"
"Somerset County",42111,24.7,18694,"1200 of 3141"
"Fayette County",42051,24.7,32931,"1203 of 3141"
"Perry County",42099,24.8,11362,"1221 of 3141"
"Northumberland County",42097,24.8,23082,"1243 of 3141"
"Beaver County",42007,24.9,41946,"1295 of 3141"
"Schuylkill County",42107,25.0,36085,"1324 of 3141"
"Cambria County",42021,25.0,34009,"1329 of 3141"
"Washington County",42125,25.2,52244,"1371 of 3141"
"Mercer County",42085,25.3,28708,"1403 of 3141"
"Wyoming County",42131,25.3,7016,"1406 of 3141"
"Butler County",42019,25.3,47015,"1408 of 3141"
"Crawford County",42039,25.3,21974,"1416 of 3141"
"Franklin County",42055,25.4,38925,"1464 of 3141"
"Adams County",42001,25.4,25851,"1470 of 3141"
"Lebanon County",42075,25.5,35044,"1479 of 3141"
"Clearfield County",42033,25.6,20637,"1538 of 3141"
"Tioga County",42117,25.9,10781,"1643 of 3141"
"Blair County",42013,26.1,32549,"1679 of 3141"
"Chester County",42029,26.2,135070,"1730 of 3141"
"York County",42133,26.4,116890,"1781 of 3141"
"Montour County",42093,26.5,4853,"1817 of 3141"
"Montgomery County",42091,26.6,218160,"1866 of 3141"
"Monroe County",42089,26.7,44656,"1877 of 3141"
"Luzerne County",42079,27.1,86112,"1986 of 3141"
"Lackawanna County",42069,27.2,57556,"2006 of 3141"
"McKean County",42083,27.2,11448,"2025 of 3141"
"Northampton County",42095,27.3,82227,"2065 of 3141"
"Berks County",42011,27.4,113764,"2080 of 3141"
"Huntingdon County",42061,27.6,12630,"2144 of 3141"
"Lancaster County",42071,27.8,148947,"2172 of 3141"
"Greene County",42059,27.9,10406,"2188 of 3141"
"Lehigh County",42077,27.9,100801,"2208 of 3141"
"Dauphin County",42043,28.0,76438,"2214 of 3141"
"Lycoming County",42081,28.1,32400,"2241 of 3141"
"Cumberland County",42041,28.9,70949,"2417 of 3141"
"Snyder County",42109,28.9,11713,"2418 of 3141"
"Delaware County",42045,28.9,163087,"2438 of 3141"
"Erie County",42049,29.1,80936,"2463 of 3141"
"Clarion County",42031,30.0,11610,"2608 of 3141"
"Allegheny County",42003,30.0,369326,"2616 of 3141"
"Clinton County",42035,31.1,12229,"2744 of 3141"
"Columbia County",42037,31.7,21147,"2803 of 3141"
"Indiana County",42063,32.0,27675,"2819 of 3141"
"Union County",42119,33.1,14934,"2889 of 3141"
"Philadelphia County",42101,35.9,563244,"2994 of 3141"
"Forest County",42053,42.8,3159,"3098 of 3141"
"Centre County",42027,43.8,70427,"3107 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 18-39, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
