------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00029', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_017.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00029&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Age 50 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 50 And Over),Rank within US
"United States",00000,34.5,110609456,"N/A"
"Pennsylvania",42000,38.2,4889280,"7 of 52"
"Centre County",42027,29.8,47900,"2894 of 3141"
"Philadelphia County",42101,30.5,479166,"2837 of 3141"
"Union County",42119,35.7,16103,"2240 of 3141"
"Lehigh County",42077,36.1,130228,"2186 of 3141"
"Delaware County",42045,36.3,204778,"2140 of 3141"
"Lancaster County",42071,36.4,195521,"2126 of 3141"
"Chester County",42029,36.5,188033,"2113 of 3141"
"Berks County",42011,36.9,153302,"2045 of 3141"
"Dauphin County",42043,37.0,101075,"2023 of 3141"
"Clinton County",42035,37.1,14593,"1988 of 3141"
"Erie County",42049,37.2,103312,"1978 of 3141"
"Snyder County",42109,37.6,15248,"1873 of 3141"
"Forest County",42053,37.6,2778,"1868 of 3141"
"York County",42133,37.7,166932,"1840 of 3141"
"Cumberland County",42041,37.8,92912,"1831 of 3141"
"Montgomery County",42091,38.1,311533,"1775 of 3141"
"Indiana County",42063,38.5,33357,"1678 of 3141"
"Columbia County",42037,38.7,25801,"1632 of 3141"
"Lebanon County",42075,38.9,53535,"1599 of 3141"
"Franklin County",42055,38.9,59571,"1591 of 3141"
"Allegheny County",42003,39.2,482271,"1530 of 3141"
"Northampton County",42095,39.3,118334,"1507 of 3141"
"Monroe County",42089,39.4,65902,"1484 of 3141"
"Lycoming County",42081,39.4,45480,"1477 of 3141"
"Greene County",42059,39.5,14760,"1448 of 3141"
"Clarion County",42031,39.7,15377,"1414 of 3141"
"McKean County",42083,39.9,16803,"1356 of 3141"
"Perry County",42099,40.0,18359,"1336 of 3141"
"Butler County",42019,40.1,74559,"1317 of 3141"
"Lackawanna County",42069,40.2,85178,"1298 of 3141"
"Juniata County",42067,40.5,9890,"1233 of 3141"
"Huntingdon County",42061,40.5,18510,"1214 of 3141"
"Luzerne County",42079,40.5,128994,"1208 of 3141"
"Bucks County",42017,40.7,255180,"1162 of 3141"
"Adams County",42001,40.9,41557,"1126 of 3141"
"Crawford County",42039,41.0,35579,"1112 of 3141"
"Blair County",42013,41.2,51366,"1059 of 3141"
"Mifflin County",42087,41.4,19245,"1015 of 3141"
"Clearfield County",42033,41.6,33487,"989 of 3141"
"Schuylkill County",42107,41.6,60026,"987 of 3141"
"Jefferson County",42065,42.1,18611,"917 of 3141"
"Wyoming County",42131,42.2,11714,"895 of 3141"
"Fulton County",42057,42.2,6174,"894 of 3141"
"Washington County",42125,42.3,87762,"883 of 3141"
"Mercer County",42085,42.5,48272,"850 of 3141"
"Northumberland County",42097,42.5,39544,"847 of 3141"
"Fayette County",42051,42.5,56652,"841 of 3141"
"Tioga County",42117,42.6,17682,"835 of 3141"
"Montour County",42093,42.6,7795,"829 of 3141"
"Bradford County",42015,42.7,26271,"814 of 3141"
"Carbon County",42025,43.5,27804,"691 of 3141"
"Lawrence County",42073,43.5,38400,"681 of 3141"
"Beaver County",42007,43.6,73236,"679 of 3141"
"Cambria County",42021,43.7,59376,"656 of 3141"
"Somerset County",42111,44.2,33433,"600 of 3141"
"Armstrong County",42005,44.3,29560,"586 of 3141"
"Bedford County",42009,44.4,21706,"576 of 3141"
"Venango County",42121,45.0,23788,"523 of 3141"
"Westmoreland County",42129,45.0,160625,"518 of 3141"
"Elk County",42047,45.0,13862,"514 of 3141"
"Pike County",42103,45.1,25110,"507 of 3141"
"Warren County",42123,45.4,18336,"471 of 3141"
"Potter County",42105,45.7,7797,"444 of 3141"
"Wayne County",42127,46.5,24021,"376 of 3141"
"Susquehanna County",42115,46.5,19416,"375 of 3141"
"Cameron County",42023,51.0,2426,"137 of 3141"
"Sullivan County",42113,54.5,3372,"53 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 50 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
