------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pop', 'demo': '00101', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_024.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pop&demo=00101&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Population: Non-Hispanic (Origin Recode)
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Non-Hispanic [Origin Recode]),Rank within US
"United States",00000,82.4,264493836,"N/A"
"Pennsylvania",42000,93.2,11915672,"31 of 52"
"Lehigh County",42077,77.2,278669,"325 of 3141"
"Berks County",42011,80.4,334102,"390 of 3141"
"Monroe County",42089,85.1,142326,"515 of 3141"
"Philadelphia County",42101,85.9,1347880,"547 of 3141"
"Northampton County",42095,87.6,263598,"603 of 3141"
"Lebanon County",42075,87.8,120821,"613 of 3141"
"Pike County",42103,89.7,49930,"709 of 3141"
"Luzerne County",42079,89.9,286034,"719 of 3141"
"Lancaster County",42071,90.0,482702,"730 of 3141"
"Dauphin County",42043,91.5,250014,"848 of 3141"
"Chester County",42029,92.8,477388,"973 of 3141"
"Forest County",42053,93.0,6872,"995 of 3141"
"York County",42133,93.1,411573,"1002 of 3141"
"Adams County",42001,93.2,94698,"1018 of 3141"
"Lackawanna County",42069,93.3,197784,"1031 of 3141"
"Union County",42119,94.3,42495,"1183 of 3141"
"Franklin County",42055,94.7,144940,"1262 of 3141"
"Bucks County",42017,95.0,595088,"1313 of 3141"
"Montgomery County",42091,95.1,778706,"1343 of 3141"
"Carbon County",42025,95.7,61260,"1482 of 3141"
"Wayne County",42127,95.8,49512,"1520 of 3141"
"Erie County",42049,96.0,266642,"1559 of 3141"
"Schuylkill County",42107,96.2,138751,"1603 of 3141"
"Delaware County",42045,96.4,543285,"1680 of 3141"
"Cumberland County",42041,96.5,237103,"1688 of 3141"
"Juniata County",42067,96.8,23654,"1776 of 3141"
"Northumberland County",42097,96.8,90098,"1815 of 3141"
"Clearfield County",42033,97.1,78209,"1920 of 3141"
"Centre County",42027,97.2,156087,"1948 of 3141"
"Columbia County",42037,97.4,64893,"2072 of 3141"
"Montour County",42093,97.5,17837,"2094 of 3141"
"Snyder County",42109,97.8,39686,"2282 of 3141"
"McKean County",42083,97.9,41187,"2329 of 3141"
"Allegheny County",42003,98.0,1205529,"2407 of 3141"
"Lycoming County",42081,98.1,113194,"2431 of 3141"
"Huntingdon County",42061,98.1,44837,"2458 of 3141"
"Wyoming County",42131,98.2,27263,"2501 of 3141"
"Sullivan County",42113,98.2,6082,"2511 of 3141"
"Perry County",42099,98.2,45069,"2519 of 3141"
"Susquehanna County",42115,98.3,41020,"2572 of 3141"
"Washington County",42125,98.4,204403,"2625 of 3141"
"Cambria County",42021,98.5,133775,"2654 of 3141"
"Beaver County",42007,98.5,165675,"2699 of 3141"
"Greene County",42059,98.5,36787,"2701 of 3141"
"Mifflin County",42087,98.6,45782,"2722 of 3141"
"Bradford County",42015,98.6,60665,"2730 of 3141"
"Clinton County",42035,98.6,38761,"2739 of 3141"
"Somerset County",42111,98.6,74542,"2739 of 3141"
"Butler County",42019,98.6,183391,"2756 of 3141"
"Mercer County",42085,98.6,112040,"2759 of 3141"
"Lawrence County",42073,98.7,87080,"2801 of 3141"
"Indiana County",42063,98.7,85453,"2826 of 3141"
"Tioga County",42117,98.8,41033,"2842 of 3141"
"Potter County",42105,98.8,16859,"2848 of 3141"
"Crawford County",42039,98.8,85801,"2859 of 3141"
"Fulton County",42057,98.8,14457,"2865 of 3141"
"Blair County",42013,98.8,123269,"2871 of 3141"
"Bedford County",42009,98.9,48334,"2884 of 3141"
"Westmoreland County",42129,98.9,352932,"2903 of 3141"
"Venango County",42121,98.9,52306,"2906 of 3141"
"Fayette County",42051,98.9,131718,"2908 of 3141"
"Warren County",42123,99.0,39937,"2927 of 3141"
"Jefferson County",42065,99.2,43890,"2987 of 3141"
"Cameron County",42023,99.2,4715,"2990 of 3141"
"Clarion County",42031,99.2,38436,"2994 of 3141"
"Elk County",42047,99.2,30548,"3005 of 3141"
"Armstrong County",42005,99.3,66265,"3020 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Non-Hispanic (Origin Recode), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
