------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '42', 'areatype': 'county', 'topic': 'pov', 'demo': '00008', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_029.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=42&areatype=county&topic=pov&demo=00008&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Pennsylvania by County
Poverty: Persons below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Below Poverty),Rank within US
"Pennsylvania",42000,13.1,1623537,"22 of 52"
"United States",00000,14.6,45650345,"N/A"
"Bucks County",42017,6.1,37912,"94 of 3141"
"Montgomery County",42091,6.4,50942,"105 of 3141"
"Chester County",42029,6.9,34446,"134 of 3141"
"Cumberland County",42041,7.8,18112,"216 of 3141"
"Perry County",42099,8.4,3791,"281 of 3141"
"Butler County",42019,8.4,15194,"286 of 3141"
"Adams County",42001,8.8,8548,"318 of 3141"
"Northampton County",42095,9.2,26583,"389 of 3141"
"Elk County",42047,9.4,2846,"421 of 3141"
"Washington County",42125,9.7,19629,"474 of 3141"
"Pike County",42103,9.9,5452,"522 of 3141"
"Union County",42119,10.2,3639,"562 of 3141"
"York County",42133,10.3,44343,"580 of 3141"
"Westmoreland County",42129,10.3,36111,"594 of 3141"
"Lancaster County",42071,10.4,54244,"601 of 3141"
"Franklin County",42055,10.4,15643,"602 of 3141"
"Wyoming County",42131,10.4,2810,"604 of 3141"
"Delaware County",42045,10.4,56639,"613 of 3141"
"Lebanon County",42075,10.5,14084,"622 of 3141"
"Montour County",42093,10.5,1851,"626 of 3141"
"Beaver County",42007,10.8,17867,"675 of 3141"
"Wayne County",42127,11.1,5323,"732 of 3141"
"Monroe County",42089,11.1,18309,"733 of 3141"
"Snyder County",42109,11.3,4310,"762 of 3141"
"Fulton County",42057,11.5,1665,"806 of 3141"
"Bradford County",42015,12.2,7430,"961 of 3141"
"Allegheny County",42003,12.5,149568,"1011 of 3141"
"Schuylkill County",42107,12.5,17134,"1012 of 3141"
"Somerset County",42111,12.7,8935,"1039 of 3141"
"Carbon County",42025,12.8,8053,"1065 of 3141"
"Susquehanna County",42115,13.0,5350,"1107 of 3141"
"Armstrong County",42005,13.0,8577,"1115 of 3141"
"Juniata County",42067,13.1,3155,"1134 of 3141"
"Sullivan County",42113,13.1,783,"1136 of 3141"
"Dauphin County",42043,13.2,35516,"1170 of 3141"
"Lehigh County",42077,13.3,46596,"1182 of 3141"
"Tioga County",42117,13.4,5461,"1214 of 3141"
"Warren County",42123,13.4,5281,"1217 of 3141"
"Mifflin County",42087,13.5,6133,"1230 of 3141"
"Berks County",42011,13.6,54762,"1255 of 3141"
"Venango County",42121,13.6,7032,"1256 of 3141"
"Bedford County",42009,13.6,6585,"1260 of 3141"
"Huntingdon County",42061,13.6,5517,"1262 of 3141"
"Mercer County",42085,13.7,14521,"1272 of 3141"
"Lawrence County",42073,14.0,12051,"1345 of 3141"
"Lycoming County",42081,14.0,15375,"1351 of 3141"
"Forest County",42053,14.1,404,"1359 of 3141"
"Jefferson County",42065,14.2,6157,"1378 of 3141"
"Cameron County",42023,14.4,674,"1411 of 3141"
"Northumberland County",42097,14.4,12762,"1414 of 3141"
"Potter County",42105,14.4,2415,"1415 of 3141"
"Crawford County",42039,14.5,12032,"1437 of 3141"
"Greene County",42059,14.8,5012,"1492 of 3141"
"Blair County",42013,15.2,18479,"1559 of 3141"
"Luzerne County",42079,15.2,46537,"1569 of 3141"
"Clearfield County",42033,15.3,11463,"1600 of 3141"
"Lackawanna County",42069,15.4,31419,"1618 of 3141"
"Cambria County",42021,15.6,20115,"1664 of 3141"
"Columbia County",42037,15.9,9821,"1708 of 3141"
"Indiana County",42063,16.6,13362,"1841 of 3141"
"Erie County",42049,16.8,44492,"1897 of 3141"
"Clinton County",42035,17.2,6431,"1991 of 3141"
"McKean County",42083,17.3,6738,"2008 of 3141"
"Clarion County",42031,17.5,6553,"2050 of 3141"
"Centre County",42027,18.4,26291,"2216 of 3141"
"Fayette County",42051,18.8,24348,"2286 of 3141"
"Philadelphia County",42101,25.8,393924,"2906 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:02 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
