------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'inc', 'demo': '00011', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_005.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=inc&demo=00011&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Income: Median household income
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Dollars),Rank within US
"South Carolina",45000,48781.000000000,"43 of 52"
"United States",00000,57652.000000000,"N/A"
"Allendale County",45005,23331.000000000,"3126 of 3141"
"Dillon County",45033,30866.000000000,"3037 of 3141"
"Williamsburg County",45089,30976.000000000,"3034 of 3141"
"Marion County",45067,31129.000000000,"3029 of 3141"
"Lee County",45061,31963.000000000,"3004 of 3141"
"Hampton County",45049,32147.000000000,"2992 of 3141"
"Bamberg County",45009,32330.000000000,"2983 of 3141"
"Marlboro County",45069,33921.000000000,"2921 of 3141"
"Barnwell County",45011,34035.000000000,"2916 of 3141"
"Orangeburg County",45075,34943.000000000,"2878 of 3141"
"Colleton County",45029,34996.000000000,"2874 of 3141"
"Abbeville County",45001,35254.000000000,"2857 of 3141"
"Cherokee County",45021,35286.000000000,"2854 of 3141"
"Fairfield County",45039,35551.000000000,"2832 of 3141"
"Clarendon County",45027,35838.000000000,"2816 of 3141"
"Darlington County",45031,36217.000000000,"2786 of 3141"
"Chester County",45023,37421.000000000,"2682 of 3141"
"Union County",45087,37493.000000000,"2675 of 3141"
"Chesterfield County",45025,38469.000000000,"2605 of 3141"
"Greenwood County",45047,39196.000000000,"2545 of 3141"
"Newberry County",45071,39600.000000000,"2498 of 3141"
"Jasper County",45053,39740.000000000,"2487 of 3141"
"Laurens County",45059,40580.000000000,"2420 of 3141"
"McCormick County",45065,40622.000000000,"2413 of 3141"
"Saluda County",45081,41885.000000000,"2259 of 3141"
"Sumter County",45085,41946.000000000,"2255 of 3141"
"Florence County",45041,43310.000000000,"2110 of 3141"
"Oconee County",45073,43978.000000000,"2041 of 3141"
"Calhoun County",45017,44010.000000000,"2037 of 3141"
"Pickens County",45077,45332.000000000,"1892 of 3141"
"Anderson County",45007,45551.000000000,"1863 of 3141"
"Horry County",45051,46475.000000000,"1748 of 3141"
"Kershaw County",45055,46565.000000000,"1736 of 3141"
"Georgetown County",45043,46967.000000000,"1685 of 3141"
"Edgefield County",45037,47500.000000000,"1626 of 3141"
"Spartanburg County",45083,47575.000000000,"1614 of 3141"
"Aiken County",45003,47713.000000000,"1602 of 3141"
"Lancaster County",45057,50557.000000000,"1292 of 3141"
"Richland County",45079,52082.000000000,"1106 of 3141"
"Greenville County",45045,53739.000000000,"951 of 3141"
"Berkeley County",45015,56697.000000000,"714 of 3141"
"Lexington County",45063,57482.000000000,"662 of 3141"
"Charleston County",45019,57882.000000000,"638 of 3141"
"Dorchester County",45035,58685.000000000,"589 of 3141"
"York County",45091,59394.000000000,"554 of 3141"
"Beaufort County",45013,60603.000000000,"492 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Income: Median household income, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#income."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
"Median Incomes over 250,000 have been coded to 250,001 by the Census Bureau. [ http://www2.census.gov/acs2012_5yr/summaryfile/ACS_2008-2012_SF_Tech_Doc.pdf ]"
Data for United States does not include Puerto Rico.
