------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'mob', 'demo': '00019', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_010.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00019&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
"Mobility: Moved, different county this state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different County In Same State),Rank within US
"South Carolina",45000,3.2,153003,"26 of 51"
"United States",00000,3.2,10247779,"N/A"
"Hampton County",45049,0.9,174,"35 of 3140"
"Fairfield County",45039,1.1,253,"63 of 3140"
"Marion County",45067,1.3,409,"99 of 3140"
"Horry County",45051,1.5,4517,"138 of 3140"
"Kershaw County",45055,1.6,985,"166 of 3140"
"Aiken County",45003,1.6,2603,"175 of 3140"
"Beaufort County",45013,1.6,2824,"177 of 3140"
"Lancaster County",45057,1.8,1525,"244 of 3140"
"Dillon County",45033,1.9,579,"282 of 3140"
"Saluda County",45081,1.9,381,"293 of 3140"
"Chester County",45023,2.1,674,"392 of 3140"
"Sumter County",45085,2.3,2401,"486 of 3140"
"Greenville County",45045,2.4,11438,"534 of 3140"
"Orangeburg County",45075,2.4,2126,"561 of 3140"
"York County",45091,2.4,6074,"581 of 3140"
"Williamsburg County",45089,2.4,785,"585 of 3140"
"Cherokee County",45021,2.5,1403,"626 of 3140"
"Colleton County",45029,2.5,947,"658 of 3140"
"Calhoun County",45017,2.6,383,"698 of 3140"
"Newberry County",45071,2.6,988,"726 of 3140"
"Florence County",45041,2.7,3628,"739 of 3140"
"Chesterfield County",45025,2.8,1275,"833 of 3140"
"Marlboro County",45069,2.9,777,"884 of 3140"
"Spartanburg County",45083,3.0,8741,"959 of 3140"
"Charleston County",45019,3.0,11408,"963 of 3140"
"Barnwell County",45011,3.1,667,"1039 of 3140"
"Anderson County",45007,3.2,6091,"1111 of 3140"
"Union County",45087,3.2,892,"1162 of 3140"
"Georgetown County",45043,3.2,1969,"1166 of 3140"
"Clarendon County",45027,3.3,1120,"1207 of 3140"
"Bamberg County",45009,3.6,527,"1419 of 3140"
"Greenwood County",45047,3.7,2595,"1535 of 3140"
"Oconee County",45073,3.8,2834,"1551 of 3140"
"Lee County",45061,3.9,689,"1635 of 3140"
"Lexington County",45063,3.9,10906,"1652 of 3140"
"Darlington County",45031,4.3,2871,"1870 of 3140"
"Berkeley County",45015,4.5,9087,"1993 of 3140"
"Jasper County",45053,4.7,1289,"2130 of 3140"
"Abbeville County",45001,5.0,1226,"2261 of 3140"
"Richland County",45079,5.1,20412,"2307 of 3140"
"Laurens County",45059,5.2,3404,"2331 of 3140"
"Dorchester County",45035,5.5,8252,"2484 of 3140"
"Edgefield County",45037,5.7,1510,"2550 of 3140"
"Allendale County",45005,6.4,600,"2725 of 3140"
"McCormick County",45065,6.7,648,"2782 of 3140"
"Pickens County",45077,6.8,8116,"2791 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different county this state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
