------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'pop', 'demo': '00023', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_019.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00023&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Population: American Indian/Alaska Native
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (AI/AN),Rank within US
"South Carolina",45000,0.3,14992,"35 of 52"
"United States",00000,0.8,2632102,"N/A"
"Greenwood County",45047,0.0,29,"2849 of 3141"
"Jasper County",45053,0.1,20,"2730 of 3141"
"Clarendon County",45027,0.1,32,"2651 of 3141"
"Abbeville County",45001,0.1,24,"2641 of 3141"
"Union County",45087,0.1,33,"2547 of 3141"
"Georgetown County",45043,0.1,73,"2545 of 3141"
"Richland County",45079,0.1,504,"2523 of 3141"
"Laurens County",45059,0.1,86,"2498 of 3141"
"Charleston County",45019,0.1,556,"2436 of 3141"
"Spartanburg County",45083,0.2,472,"2377 of 3141"
"McCormick County",45065,0.2,16,"2352 of 3141"
"Hampton County",45049,0.2,36,"2271 of 3141"
"Lancaster County",45057,0.2,157,"2262 of 3141"
"Cherokee County",45021,0.2,106,"2228 of 3141"
"Florence County",45041,0.2,283,"2141 of 3141"
"Anderson County",45007,0.2,412,"2100 of 3141"
"Kershaw County",45055,0.2,138,"2084 of 3141"
"Beaufort County",45013,0.2,418,"2017 of 3141"
"Aiken County",45003,0.2,411,"1961 of 3141"
"Pickens County",45077,0.3,310,"1928 of 3141"
"Lexington County",45063,0.3,773,"1833 of 3141"
"Greenville County",45045,0.3,1372,"1812 of 3141"
"Chester County",45023,0.3,93,"1785 of 3141"
"Saluda County",45081,0.3,62,"1699 of 3141"
"Williamsburg County",45089,0.3,99,"1696 of 3141"
"Fairfield County",45039,0.3,71,"1676 of 3141"
"Sumter County",45085,0.3,336,"1665 of 3141"
"Bamberg County",45009,0.3,48,"1626 of 3141"
"Barnwell County",45011,0.3,72,"1598 of 3141"
"Darlington County",45031,0.3,225,"1584 of 3141"
"Newberry County",45071,0.3,130,"1548 of 3141"
"Orangeburg County",45075,0.3,311,"1529 of 3141"
"Lee County",45061,0.4,63,"1514 of 3141"
"Chesterfield County",45025,0.4,165,"1501 of 3141"
"Oconee County",45073,0.4,278,"1472 of 3141"
"Berkeley County",45015,0.4,839,"1356 of 3141"
"Edgefield County",45037,0.4,111,"1339 of 3141"
"Horry County",45051,0.5,1399,"1257 of 3141"
"Calhoun County",45017,0.5,67,"1252 of 3141"
"Dorchester County",45035,0.5,698,"1240 of 3141"
"Allendale County",45005,0.5,45,"1203 of 3141"
"Marion County",45067,0.5,160,"1154 of 3141"
"York County",45091,0.6,1575,"985 of 3141"
"Colleton County",45029,0.7,256,"916 of 3141"
"Dillon County",45033,2.3,714,"351 of 3141"
"Marlboro County",45069,3.3,914,"269 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: American Indian/Alaska Native, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
