------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'mob', 'demo': '00018', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_009.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00018&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
"Mobility: Moved, same county (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved Within County),Rank within US
"South Carolina",45000,7.9,379990,"18 of 51"
"United States",00000,8.4,26717038,"N/A"
"Calhoun County",45017,2.1,311,"112 of 3140"
"Bamberg County",45009,2.3,333,"126 of 3140"
"Saluda County",45081,2.4,474,"144 of 3140"
"Lee County",45061,2.8,494,"205 of 3140"
"Chester County",45023,2.8,900,"214 of 3140"
"McCormick County",45065,3.0,287,"256 of 3140"
"Fairfield County",45039,3.0,679,"260 of 3140"
"Allendale County",45005,3.1,286,"273 of 3140"
"Abbeville County",45001,4.1,1011,"571 of 3140"
"Kershaw County",45055,4.1,2614,"574 of 3140"
"Jasper County",45053,4.3,1166,"620 of 3140"
"Williamsburg County",45089,4.5,1440,"702 of 3140"
"Edgefield County",45037,4.6,1211,"729 of 3140"
"Clarendon County",45027,4.7,1604,"802 of 3140"
"Colleton County",45029,4.8,1781,"815 of 3140"
"Hampton County",45049,4.8,961,"840 of 3140"
"Marion County",45067,5.6,1749,"1198 of 3140"
"Georgetown County",45043,5.6,3390,"1202 of 3140"
"Marlboro County",45069,5.7,1547,"1256 of 3140"
"Chesterfield County",45025,5.7,2610,"1268 of 3140"
"Newberry County",45071,5.8,2185,"1333 of 3140"
"Orangeburg County",45075,6.0,5305,"1436 of 3140"
"Lancaster County",45057,6.1,5222,"1485 of 3140"
"Berkeley County",45015,6.3,12746,"1595 of 3140"
"Darlington County",45031,6.4,4244,"1611 of 3140"
"Dillon County",45033,6.6,2020,"1716 of 3140"
"Dorchester County",45035,6.7,10013,"1748 of 3140"
"Barnwell County",45011,6.9,1493,"1841 of 3140"
"Cherokee County",45021,6.9,3886,"1845 of 3140"
"Oconee County",45073,7.0,5263,"1870 of 3140"
"Lexington County",45063,7.7,21378,"2153 of 3140"
"Anderson County",45007,7.7,14776,"2167 of 3140"
"York County",45091,7.7,19218,"2177 of 3140"
"Aiken County",45003,8.1,13208,"2289 of 3140"
"Florence County",45041,8.3,11321,"2358 of 3140"
"Greenwood County",45047,8.4,5817,"2375 of 3140"
"Greenville County",45045,8.5,41129,"2409 of 3140"
"Union County",45087,8.6,2363,"2439 of 3140"
"Beaufort County",45013,8.6,15313,"2444 of 3140"
"Pickens County",45077,8.9,10712,"2535 of 3140"
"Laurens County",45059,9.2,6067,"2611 of 3140"
"Charleston County",45019,9.3,35447,"2622 of 3140"
"Horry County",45051,9.3,28604,"2631 of 3140"
"Sumter County",45085,9.4,9921,"2651 of 3140"
"Spartanburg County",45083,9.5,27902,"2677 of 3140"
"Richland County",45079,9.9,39589,"2760 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, same county (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
