------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'pov', 'demo': '00007', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_028.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pov&demo=00007&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Poverty: Families below poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Families (Below Poverty),Rank within US
"United States",00000,10.5,8253388,"N/A"
"South Carolina",45000,12.3,152687,"40 of 52"
"Beaufort County",45013,7.6,3553,"790 of 3141"
"Dorchester County",45035,8.8,3303,"1109 of 3141"
"Lexington County",45063,9.4,6982,"1240 of 3141"
"Berkeley County",45015,9.5,4954,"1294 of 3141"
"York County",45091,9.6,6504,"1318 of 3141"
"Pickens County",45077,9.8,2887,"1340 of 3141"
"Greenville County",45045,10.0,12353,"1402 of 3141"
"Charleston County",45019,10.2,9170,"1455 of 3141"
"Lancaster County",45057,11.5,2492,"1782 of 3141"
"Spartanburg County",45083,11.7,9025,"1825 of 3141"
"Kershaw County",45055,12.0,2059,"1877 of 3141"
"Richland County",45079,12.1,10843,"1917 of 3141"
"Horry County",45051,12.1,9921,"1923 of 3141"
"Anderson County",45007,12.2,6386,"1933 of 3141"
"Calhoun County",45017,12.4,478,"1972 of 3141"
"Edgefield County",45037,12.7,825,"2043 of 3141"
"Oconee County",45073,12.8,2720,"2068 of 3141"
"McCormick County",45065,13.6,368,"2213 of 3141"
"Aiken County",45003,13.6,6104,"2225 of 3141"
"Georgetown County",45043,13.7,2402,"2235 of 3141"
"Hampton County",45049,13.7,599,"2239 of 3141"
"Fairfield County",45039,14.5,812,"2376 of 3141"
"Florence County",45041,15.0,5274,"2442 of 3141"
"Newberry County",45071,15.2,1569,"2473 of 3141"
"Saluda County",45081,15.4,795,"2506 of 3141"
"Sumter County",45085,16.2,4557,"2595 of 3141"
"Abbeville County",45001,16.3,999,"2604 of 3141"
"Cherokee County",45021,16.3,1996,"2612 of 3141"
"Laurens County",45059,16.4,2900,"2619 of 3141"
"Bamberg County",45009,16.5,595,"2636 of 3141"
"Jasper County",45053,16.7,1166,"2653 of 3141"
"Union County",45087,17.5,1351,"2734 of 3141"
"Chester County",45023,17.6,1386,"2738 of 3141"
"Darlington County",45031,17.8,3120,"2750 of 3141"
"Orangeburg County",45075,17.9,3584,"2760 of 3141"
"Lee County",45061,18.3,778,"2787 of 3141"
"Colleton County",45029,18.4,1849,"2791 of 3141"
"Clarendon County",45027,18.5,1670,"2806 of 3141"
"Greenwood County",45047,18.7,3334,"2822 of 3141"
"Marion County",45067,19.8,1544,"2889 of 3141"
"Chesterfield County",45025,19.9,2588,"2893 of 3141"
"Williamsburg County",45089,21.8,1808,"2970 of 3141"
"Barnwell County",45011,22.5,1257,"2992 of 3141"
"Marlboro County",45069,22.5,1466,"2993 of 3141"
"Allendale County",45005,23.3,453,"3012 of 3141"
"Dillon County",45033,26.3,1908,"3061 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Families below poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
