------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'pop', 'demo': '00022', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_021.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00022&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Population: Black
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Black),Rank within US
"United States",00000,12.7,40610815,"N/A"
"South Carolina",45000,27.2,1332110,"6 of 52"
"Pickens County",45077,6.5,7921,"995 of 3141"
"Oconee County",45073,7.2,5449,"949 of 3141"
"Horry County",45051,13.7,42576,"646 of 3141"
"Lexington County",45063,14.5,40985,"625 of 3141"
"Anderson County",45007,16.2,31400,"587 of 3141"
"Greenville County",45045,18.2,89372,"541 of 3141"
"Beaufort County",45013,18.5,33144,"536 of 3141"
"York County",45091,19.0,47783,"522 of 3141"
"Cherokee County",45021,19.9,11252,"500 of 3141"
"Spartanburg County",45083,20.5,61059,"488 of 3141"
"Lancaster County",45057,21.8,18900,"461 of 3141"
"Berkeley County",45015,24.1,49390,"421 of 3141"
"Kershaw County",45055,24.2,15403,"419 of 3141"
"Aiken County",45003,24.7,40951,"409 of 3141"
"Laurens County",45059,25.1,16716,"403 of 3141"
"Saluda County",45081,25.6,5185,"394 of 3141"
"Dorchester County",45035,25.7,38986,"390 of 3141"
"Abbeville County",45001,27.6,6844,"360 of 3141"
"Charleston County",45019,27.8,107671,"358 of 3141"
"Union County",45087,30.9,8589,"301 of 3141"
"Georgetown County",45043,31.4,19204,"290 of 3141"
"Newberry County",45071,31.6,11982,"288 of 3141"
"Greenwood County",45047,31.6,22130,"287 of 3141"
"Chesterfield County",45025,32.2,14836,"281 of 3141"
"Chester County",45023,36.5,11825,"222 of 3141"
"Edgefield County",45037,36.6,9756,"218 of 3141"
"Colleton County",45029,38.1,14328,"206 of 3141"
"Darlington County",45031,40.7,27512,"181 of 3141"
"Calhoun County",45017,41.7,6170,"168 of 3141"
"Florence County",45041,42.4,58731,"156 of 3141"
"Jasper County",45053,43.7,12005,"140 of 3141"
"Barnwell County",45011,45.4,9887,"133 of 3141"
"Richland County",45079,46.6,188825,"125 of 3141"
"Sumter County",45085,47.0,50480,"123 of 3141"
"Dillon County",45033,47.3,14707,"120 of 3141"
"McCormick County",45065,47.5,4605,"118 of 3141"
"Clarendon County",45027,48.6,16591,"108 of 3141"
"Marlboro County",45069,50.4,13852,"94 of 3141"
"Hampton County",45049,53.2,10670,"82 of 3141"
"Fairfield County",45039,55.1,12593,"70 of 3141"
"Marion County",45067,56.7,18021,"62 of 3141"
"Bamberg County",45009,61.5,9134,"44 of 3141"
"Orangeburg County",45075,61.9,55193,"41 of 3141"
"Lee County",45061,64.4,11517,"31 of 3141"
"Williamsburg County",45089,65.2,21043,"29 of 3141"
"Allendale County",45005,73.8,6937,"13 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Black, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
