------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'pop', 'demo': '00024', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_020.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00024&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Population: Asian / Pacific Islander
"All Ages, Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (API),Rank within US
"South Carolina",45000,1.5,75009,"40 of 52"
"United States",00000,5.5,17756436,"N/A"
"Calhoun County",45017,0.0,0,"2927 of 3141"
"Saluda County",45081,0.0,0,"2927 of 3141"
"Union County",45087,0.0,0,"2927 of 3141"
"Allendale County",45005,0.0,3,"2896 of 3141"
"Lee County",45061,0.0,6,"2891 of 3141"
"Newberry County",45071,0.2,85,"2535 of 3141"
"Fairfield County",45039,0.3,62,"2454 of 3141"
"Clarendon County",45027,0.3,95,"2437 of 3141"
"Abbeville County",45001,0.3,71,"2419 of 3141"
"Dillon County",45033,0.3,106,"2296 of 3141"
"Marlboro County",45069,0.3,95,"2284 of 3141"
"McCormick County",45065,0.4,35,"2258 of 3141"
"Chester County",45023,0.4,119,"2238 of 3141"
"Georgetown County",45043,0.4,245,"2144 of 3141"
"Laurens County",45059,0.4,281,"2092 of 3141"
"Bamberg County",45009,0.4,63,"2086 of 3141"
"Darlington County",45031,0.5,307,"1998 of 3141"
"Williamsburg County",45089,0.5,152,"1965 of 3141"
"Kershaw County",45055,0.5,319,"1878 of 3141"
"Chesterfield County",45025,0.5,238,"1846 of 3141"
"Edgefield County",45037,0.5,140,"1821 of 3141"
"Barnwell County",45011,0.6,126,"1706 of 3141"
"Hampton County",45049,0.6,130,"1564 of 3141"
"Marion County",45067,0.7,211,"1531 of 3141"
"Cherokee County",45021,0.7,385,"1508 of 3141"
"Oconee County",45073,0.7,543,"1433 of 3141"
"Jasper County",45053,0.7,204,"1373 of 3141"
"Greenwood County",45047,0.9,648,"1148 of 3141"
"Anderson County",45007,0.9,1842,"1129 of 3141"
"Colleton County",45029,1.0,358,"1125 of 3141"
"Orangeburg County",45075,1.0,898,"1067 of 3141"
"Lancaster County",45057,1.0,875,"1064 of 3141"
"Aiken County",45003,1.1,1785,"997 of 3141"
"Sumter County",45085,1.2,1311,"880 of 3141"
"Beaufort County",45013,1.3,2290,"833 of 3141"
"Horry County",45051,1.3,4106,"810 of 3141"
"Florence County",45041,1.4,1882,"796 of 3141"
"Charleston County",45019,1.4,5395,"775 of 3141"
"Lexington County",45063,1.8,4951,"611 of 3141"
"Pickens County",45077,1.9,2296,"574 of 3141"
"Dorchester County",45035,1.9,2939,"554 of 3141"
"York County",45091,1.9,4902,"553 of 3141"
"Spartanburg County",45083,2.3,6802,"466 of 3141"
"Greenville County",45045,2.3,11358,"459 of 3141"
"Berkeley County",45015,2.4,4849,"452 of 3141"
"Richland County",45079,2.8,11501,"358 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Asian / Pacific Islander, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
