------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'pop', 'demo': '00003', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_018.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=pop&demo=00003&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Population: Age 65 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 65 And Over),Rank within US
"United States",00000,14.9,47732389,"N/A"
"South Carolina",45000,16.3,795256,"12 of 52"
"Richland County",45079,11.6,46804,"2943 of 3141"
"Dorchester County",45035,12.5,18918,"2846 of 3141"
"Berkeley County",45015,12.7,25975,"2808 of 3141"
"York County",45091,13.4,33634,"2699 of 3141"
"Lexington County",45063,14.6,41096,"2475 of 3141"
"Greenville County",45045,14.6,71757,"2463 of 3141"
"Charleston County",45019,15.0,58018,"2384 of 3141"
"Sumter County",45085,15.1,16185,"2354 of 3141"
"Florence County",45041,15.4,21302,"2285 of 3141"
"Spartanburg County",45083,15.4,45839,"2280 of 3141"
"Dillon County",45033,15.5,4812,"2257 of 3141"
"Pickens County",45077,15.5,18862,"2242 of 3141"
"Cherokee County",45021,15.6,8846,"2208 of 3141"
"Jasper County",45053,15.9,4370,"2130 of 3141"
"Marlboro County",45069,16.5,4536,"1943 of 3141"
"Chesterfield County",45025,16.6,7672,"1888 of 3141"
"Barnwell County",45011,16.6,3627,"1883 of 3141"
"Lee County",45061,16.8,3004,"1844 of 3141"
"Hampton County",45049,16.9,3394,"1800 of 3141"
"Kershaw County",45055,17.1,10905,"1741 of 3141"
"Darlington County",45031,17.1,11578,"1735 of 3141"
"Laurens County",45059,17.2,11413,"1729 of 3141"
"Anderson County",45007,17.2,33445,"1701 of 3141"
"Edgefield County",45037,17.2,4589,"1698 of 3141"
"Greenwood County",45047,17.4,12185,"1633 of 3141"
"Chester County",45023,17.4,5647,"1631 of 3141"
"Marion County",45067,17.6,5578,"1591 of 3141"
"Aiken County",45003,17.8,29500,"1500 of 3141"
"Orangeburg County",45075,17.9,15921,"1476 of 3141"
"Allendale County",45005,18.2,1711,"1385 of 3141"
"Saluda County",45081,18.2,3689,"1371 of 3141"
"Newberry County",45071,18.3,6948,"1345 of 3141"
"Williamsburg County",45089,18.4,5941,"1319 of 3141"
"Colleton County",45029,18.8,7050,"1212 of 3141"
"Fairfield County",45039,18.8,4297,"1198 of 3141"
"Union County",45087,19.1,5298,"1111 of 3141"
"Bamberg County",45009,19.5,2899,"980 of 3141"
"Lancaster County",45057,19.6,16985,"959 of 3141"
"Abbeville County",45001,20.1,4974,"847 of 3141"
"Calhoun County",45017,20.9,3097,"659 of 3141"
"Clarendon County",45027,21.0,7179,"640 of 3141"
"Horry County",45051,21.3,66092,"596 of 3141"
"Oconee County",45073,21.9,16644,"501 of 3141"
"Beaufort County",45013,24.9,44675,"222 of 3141"
"Georgetown County",45043,25.2,15363,"204 of 3141"
"McCormick County",45065,31.0,3002,"34 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 65 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
