------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'crowd', 'demo': '00027', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_000.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=crowd&demo=00027&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Crowding: Households with >1 person per room
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (with >1 Person Per Room),Rank within US
"South Carolina",45000,1.8,34310,"38 of 52"
"United States",00000,3.3,3975282,"N/A"
"McCormick County",45065,0.5,19,"3012 of 3141"
"Abbeville County",45001,0.8,73,"2832 of 3141"
"Hampton County",45049,0.8,58,"2802 of 3141"
"Kershaw County",45055,0.9,221,"2715 of 3141"
"Calhoun County",45017,1.2,76,"2340 of 3141"
"Cherokee County",45021,1.3,256,"2321 of 3141"
"Marion County",45067,1.4,165,"2158 of 3141"
"Georgetown County",45043,1.4,345,"2155 of 3141"
"Chester County",45023,1.4,174,"2139 of 3141"
"Charleston County",45019,1.4,2200,"2107 of 3141"
"Fairfield County",45039,1.4,128,"2090 of 3141"
"Aiken County",45003,1.4,948,"2086 of 3141"
"Richland County",45079,1.4,2155,"2085 of 3141"
"York County",45091,1.5,1410,"2055 of 3141"
"Union County",45087,1.5,172,"2037 of 3141"
"Lancaster County",45057,1.6,505,"1912 of 3141"
"Pickens County",45077,1.6,758,"1877 of 3141"
"Orangeburg County",45075,1.7,552,"1838 of 3141"
"Beaufort County",45013,1.8,1213,"1744 of 3141"
"Colleton County",45029,1.8,269,"1735 of 3141"
"Darlington County",45031,1.8,479,"1731 of 3141"
"Dorchester County",45035,1.8,969,"1721 of 3141"
"Horry County",45051,1.8,2260,"1706 of 3141"
"Allendale County",45005,1.8,60,"1677 of 3141"
"Berkeley County",45015,1.8,1345,"1661 of 3141"
"Lexington County",45063,1.9,2100,"1573 of 3141"
"Florence County",45041,1.9,1003,"1570 of 3141"
"Greenville County",45045,2.0,3656,"1534 of 3141"
"Laurens County",45059,2.0,520,"1464 of 3141"
"Anderson County",45007,2.1,1575,"1435 of 3141"
"Oconee County",45073,2.1,650,"1428 of 3141"
"Lee County",45061,2.1,135,"1423 of 3141"
"Saluda County",45081,2.1,148,"1404 of 3141"
"Barnwell County",45011,2.1,177,"1400 of 3141"
"Bamberg County",45009,2.3,129,"1192 of 3141"
"Marlboro County",45069,2.4,229,"1146 of 3141"
"Greenwood County",45047,2.4,639,"1137 of 3141"
"Newberry County",45071,2.4,360,"1097 of 3141"
"Sumter County",45085,2.4,1003,"1091 of 3141"
"Clarendon County",45027,2.4,329,"1087 of 3141"
"Spartanburg County",45083,2.5,2874,"989 of 3141"
"Dillon County",45033,2.7,292,"909 of 3141"
"Edgefield County",45037,2.7,243,"891 of 3141"
"Williamsburg County",45089,2.9,362,"770 of 3141"
"Jasper County",45053,3.1,305,"662 of 3141"
"Chesterfield County",45025,4.2,771,"330 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Crowding: Households with >1 person per room, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#crowding."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
