------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'lang', 'demo': '00015', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_007.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=lang&demo=00015&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Non-English Language: Language isolation
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),Households (language Isolation),Rank within US
"South Carolina",45000,1.5,28366,"15 of 51"
"United States",00000,4.5,5305440,"N/A"
"Abbeville County",45001,0.0,0,"1 of 3140"
"Allendale County",45005,0.0,0,"1 of 3140"
"Fairfield County",45039,0.0,0,"1 of 3140"
"Union County",45087,0.0,0,"1 of 3140"
"Williamsburg County",45089,0.0,6,"326 of 3140"
"Chester County",45023,0.1,9,"367 of 3140"
"McCormick County",45065,0.1,4,"400 of 3140"
"Marlboro County",45069,0.2,15,"502 of 3140"
"Lee County",45061,0.3,21,"822 of 3140"
"Clarendon County",45027,0.4,50,"916 of 3140"
"Orangeburg County",45075,0.4,138,"1009 of 3140"
"Lancaster County",45057,0.6,177,"1221 of 3140"
"Colleton County",45029,0.6,88,"1250 of 3140"
"Florence County",45041,0.6,322,"1305 of 3140"
"Marion County",45067,0.6,74,"1307 of 3140"
"Darlington County",45031,0.7,175,"1349 of 3140"
"Barnwell County",45011,0.7,60,"1424 of 3140"
"Kershaw County",45055,0.7,179,"1436 of 3140"
"Georgetown County",45043,0.7,182,"1450 of 3140"
"Sumter County",45085,0.7,306,"1462 of 3140"
"Hampton County",45049,0.7,53,"1469 of 3140"
"Laurens County",45059,0.8,198,"1505 of 3140"
"Calhoun County",45017,0.8,48,"1514 of 3140"
"Edgefield County",45037,0.8,71,"1516 of 3140"
"Dorchester County",45035,0.8,437,"1540 of 3140"
"Anderson County",45007,0.8,624,"1552 of 3140"
"Bamberg County",45009,1.0,58,"1761 of 3140"
"Oconee County",45073,1.1,345,"1803 of 3140"
"York County",45091,1.2,1116,"1862 of 3140"
"Cherokee County",45021,1.2,245,"1887 of 3140"
"Pickens County",45077,1.3,610,"1966 of 3140"
"Dillon County",45033,1.4,149,"1993 of 3140"
"Charleston County",45019,1.4,2173,"2029 of 3140"
"Richland County",45079,1.6,2363,"2149 of 3140"
"Aiken County",45003,1.6,1056,"2160 of 3140"
"Horry County",45051,1.7,2079,"2194 of 3140"
"Lexington County",45063,1.7,1826,"2200 of 3140"
"Chesterfield County",45025,1.7,308,"2205 of 3140"
"Berkeley County",45015,1.8,1285,"2232 of 3140"
"Greenwood County",45047,2.0,537,"2320 of 3140"
"Spartanburg County",45083,2.0,2294,"2333 of 3140"
"Beaufort County",45013,2.2,1510,"2397 of 3140"
"Newberry County",45071,2.5,377,"2522 of 3140"
"Greenville County",45045,3.3,6062,"2684 of 3140"
"Saluda County",45081,3.7,262,"2743 of 3140"
"Jasper County",45053,4.9,474,"2856 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Non-English Language: Language isolation, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#non-english."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
A "limited English speaking household" is one in which no member 14 years old and over (1) speaks only English or (2) speaks a non-English language and speaks English "very well."
Data for United States does not include Puerto Rico.
