------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'mob', 'demo': '00020', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_011.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=mob&demo=00020&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
"Mobility: Moved, different state (in past year)"
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Moved From Different State),Rank within US
"United States",00000,2.3,7354769,"N/A"
"South Carolina",45000,3.5,166999,"37 of 51"
"Union County",45087,0.2,57,"48 of 3140"
"Lee County",45061,0.6,107,"253 of 3140"
"Fairfield County",45039,0.7,154,"310 of 3140"
"Calhoun County",45017,0.8,113,"388 of 3140"
"Williamsburg County",45089,0.8,271,"465 of 3140"
"Chester County",45023,0.9,276,"487 of 3140"
"Orangeburg County",45075,1.0,841,"594 of 3140"
"Newberry County",45071,1.1,412,"766 of 3140"
"Allendale County",45005,1.1,106,"806 of 3140"
"Dillon County",45033,1.2,378,"934 of 3140"
"Darlington County",45031,1.3,882,"1035 of 3140"
"Cherokee County",45021,1.3,753,"1063 of 3140"
"Kershaw County",45055,1.4,857,"1084 of 3140"
"Florence County",45041,1.4,1881,"1101 of 3140"
"Abbeville County",45001,1.4,351,"1181 of 3140"
"Saluda County",45081,1.5,297,"1237 of 3140"
"Clarendon County",45027,1.5,519,"1297 of 3140"
"Colleton County",45029,1.6,587,"1340 of 3140"
"Chesterfield County",45025,1.6,752,"1426 of 3140"
"Laurens County",45059,1.8,1187,"1601 of 3140"
"Marion County",45067,1.9,611,"1738 of 3140"
"Marlboro County",45069,2.1,579,"1894 of 3140"
"Anderson County",45007,2.2,4213,"1953 of 3140"
"Bamberg County",45009,2.3,333,"2000 of 3140"
"Lexington County",45063,2.3,6451,"2038 of 3140"
"Greenwood County",45047,2.3,1624,"2058 of 3140"
"Hampton County",45049,2.4,472,"2076 of 3140"
"McCormick County",45065,2.4,231,"2093 of 3140"
"Spartanburg County",45083,2.5,7249,"2132 of 3140"
"Barnwell County",45011,2.7,577,"2269 of 3140"
"Oconee County",45073,2.7,2044,"2291 of 3140"
"Georgetown County",45043,2.7,1660,"2305 of 3140"
"Edgefield County",45037,2.8,737,"2330 of 3140"
"Sumter County",45085,3.1,3305,"2505 of 3140"
"Greenville County",45045,3.2,15253,"2519 of 3140"
"Dorchester County",45035,3.2,4873,"2569 of 3140"
"Aiken County",45003,3.3,5334,"2576 of 3140"
"Lancaster County",45057,3.5,2962,"2648 of 3140"
"Jasper County",45053,3.6,973,"2692 of 3140"
"Pickens County",45077,3.6,4363,"2708 of 3140"
"Charleston County",45019,3.8,14647,"2756 of 3140"
"York County",45091,4.4,10933,"2879 of 3140"
"Horry County",45051,4.8,14864,"2949 of 3140"
"Berkeley County",45015,5.2,10435,"2989 of 3140"
"Richland County",45079,6.7,26957,"3074 of 3140"
"Beaufort County",45013,8.2,14538,"3120 of 3140"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:20 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Mobility: Moved, different state (in past year), see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#mobility."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
