------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '45', 'areatype': 'county', 'topic': 'work', 'demo': '00012', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_031.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=45&areatype=county&topic=work&demo=00012&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for South Carolina by County
Workforce: Unemployed
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Unemployed),Rank within US
"United States",00000,6.6,10560305,"N/A"
"South Carolina",45000,7.2,170257,"41 of 52"
"Charleston County",45019,5.3,10957,"1184 of 3141"
"Greenville County",45045,5.5,13514,"1271 of 3141"
"Lexington County",45063,6.0,8661,"1519 of 3141"
"Dorchester County",45035,6.2,4642,"1631 of 3141"
"Spartanburg County",45083,6.2,8994,"1656 of 3141"
"Beaufort County",45013,6.3,4987,"1697 of 3141"
"Berkeley County",45015,6.4,6378,"1749 of 3141"
"Bamberg County",45009,6.5,386,"1782 of 3141"
"Calhoun County",45017,6.5,440,"1792 of 3141"
"Oconee County",45073,6.6,2193,"1854 of 3141"
"York County",45091,6.6,8603,"1875 of 3141"
"Saluda County",45081,6.7,608,"1934 of 3141"
"Anderson County",45007,6.7,6181,"1936 of 3141"
"Pickens County",45077,6.8,3915,"1981 of 3141"
"Kershaw County",45055,7.0,2038,"2067 of 3141"
"Horry County",45051,7.1,10588,"2083 of 3141"
"Edgefield County",45037,7.3,816,"2133 of 3141"
"Union County",45087,7.4,932,"2185 of 3141"
"Richland County",45079,7.7,15912,"2304 of 3141"
"Lancaster County",45057,7.7,3005,"2322 of 3141"
"Cherokee County",45021,7.8,1821,"2348 of 3141"
"Laurens County",45059,7.9,2392,"2381 of 3141"
"Newberry County",45071,8.1,1437,"2458 of 3141"
"Chesterfield County",45025,9.0,1890,"2674 of 3141"
"Aiken County",45003,9.0,7021,"2675 of 3141"
"Lee County",45061,9.0,597,"2678 of 3141"
"Dillon County",45033,9.1,1136,"2693 of 3141"
"Fairfield County",45039,9.3,897,"2734 of 3141"
"Abbeville County",45001,9.4,986,"2749 of 3141"
"Florence County",45041,9.5,6242,"2772 of 3141"
"Colleton County",45029,9.5,1649,"2779 of 3141"
"Georgetown County",45043,9.6,2560,"2788 of 3141"
"Hampton County",45049,9.7,796,"2802 of 3141"
"Greenwood County",45047,9.7,3167,"2803 of 3141"
"Orangeburg County",45075,9.7,3733,"2809 of 3141"
"Chester County",45023,9.8,1381,"2816 of 3141"
"Williamsburg County",45089,9.8,1241,"2820 of 3141"
"Barnwell County",45011,10.1,895,"2865 of 3141"
"Jasper County",45053,10.7,1437,"2928 of 3141"
"Marion County",45067,10.7,1413,"2936 of 3141"
"Sumter County",45085,11.4,5474,"2977 of 3141"
"Clarendon County",45027,12.0,1608,"3013 of 3141"
"Darlington County",45031,13.1,4018,"3047 of 3141"
"Marlboro County",45069,14.6,1669,"3078 of 3141"
"McCormick County",45065,15.3,490,"3092 of 3141"
"Allendale County",45005,17.3,557,"3118 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:21 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Workforce: Unemployed, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#workforce."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
