------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '30', 'areatype': 'county', 'topic': 'pop', 'demo': '00028', 'race': '00', 'sex': '0', 'age': '999', 'type': 'manyareacensus', 'file_name': 'demographics_016.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=30&areatype=county&topic=pop&demo=00028&race=00&sex=0&age=999&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Montana by County
Population: Age 40 and over
"All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (Age 40 And Over),Rank within US
"United States",00000,47.3,151838062,"N/A"
"Montana",30000,49.7,512195,"11 of 52"
"Roosevelt County",30085,37.5,4205,"3063 of 3141"
"Big Horn County",30003,39.0,5189,"3020 of 3141"
"Gallatin County",30031,40.2,40535,"2970 of 3141"
"Glacier County",30035,40.5,5535,"2960 of 3141"
"Hill County",30041,43.4,7150,"2799 of 3141"
"Blaine County",30005,43.5,2893,"2790 of 3141"
"Missoula County",30063,43.8,49988,"2778 of 3141"
"Rosebud County",30087,46.1,4288,"2537 of 3141"
"Fallon County",30025,46.2,1351,"2531 of 3141"
"Richland County",30083,47.9,5461,"2294 of 3141"
"Yellowstone County",30111,47.9,74922,"2286 of 3141"
"Wheatland County",30107,48.1,1015,"2245 of 3141"
"Cascade County",30013,48.3,39492,"2224 of 3141"
"Silver Bow County",30093,49.9,17227,"1923 of 3141"
"Pondera County",30073,50.5,3073,"1785 of 3141"
"Custer County",30017,51.0,6071,"1657 of 3141"
"Chouteau County",30015,51.2,2975,"1627 of 3141"
"Lewis and Clark County",30049,51.4,34100,"1562 of 3141"
"Lake County",30047,51.6,15236,"1520 of 3141"
"Dawson County",30021,51.7,4821,"1500 of 3141"
"Toole County",30101,52.2,2627,"1372 of 3141"
"Beaverhead County",30001,52.8,4944,"1219 of 3141"
"Flathead County",30029,52.9,50819,"1209 of 3141"
"Garfield County",30033,53.2,578,"1127 of 3141"
"Valley County",30105,53.6,4054,"1033 of 3141"
"McCone County",30055,54.0,933,"960 of 3141"
"Teton County",30099,54.8,3311,"802 of 3141"
"Phillips County",30071,55.1,2281,"754 of 3141"
"Fergus County",30027,55.4,6277,"694 of 3141"
"Meagher County",30059,55.6,1111,"672 of 3141"
"Sheridan County",30091,56.1,2002,"599 of 3141"
"Liberty County",30051,56.6,1271,"540 of 3141"
"Park County",30067,57.5,9198,"413 of 3141"
"Daniels County",30019,57.6,1029,"409 of 3141"
"Stillwater County",30095,57.6,5379,"405 of 3141"
"Powell County",30077,58.8,4026,"300 of 3141"
"Jefferson County",30043,59.1,6870,"280 of 3141"
"Ravalli County",30081,59.3,24527,"267 of 3141"
"Broadwater County",30007,59.3,3415,"262 of 3141"
"Treasure County",30103,59.5,470,"250 of 3141"
"Carter County",30011,59.6,787,"246 of 3141"
"Deer Lodge County",30023,59.6,5446,"243 of 3141"
"Musselshell County",30065,59.9,2853,"231 of 3141"
"Sweet Grass County",30097,60.0,2187,"224 of 3141"
"Wibaux County",30109,60.1,674,"215 of 3141"
"Carbon County",30009,61.7,6457,"150 of 3141"
"Powder River County",30075,63.1,1016,"101 of 3141"
"Mineral County",30061,63.1,2648,"100 of 3141"
"Madison County",30057,63.2,4998,"92 of 3141"
"Lincoln County",30053,63.4,12212,"87 of 3141"
"Sanders County",30089,63.5,7244,"85 of 3141"
"Prairie County",30079,63.9,847,"75 of 3141"
"Judith Basin County",30045,64.3,1264,"67 of 3141"
"Granite County",30039,65.2,2089,"51 of 3141"
"Golden Valley County",30037,68.4,511,"21 of 3141"
"Petroleum County",30069,69.1,313,"18 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 6:18 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population: Age 40 and over, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#population."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
