------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1
 > Details: {'stateFIPS': '12', 'areatype': 'county', 'cancer': '055', 'stage': '211', 'race': '00', 'sex': '2', 'age': '001', 'type': 'incd', 'file_name': 'incidencerates_042.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/incidencerates/index.php?stateFIPS=12&areatype=county&cancer=055&stage=211&race=00&sex=2&age=001&type=incd&sortVariableName=rate&sortOrder=desc&output=1'}
------------
Incidence Rate Report for Florida by County

"Breast (Late Stage^), 2012-2016"

"All Races (includes Hispanic), Female, All Ages"

Sorted by Rate

County, FIPS,Met Healthy People Objective of 42.1?,"Age-Adjusted Incidence Rate(†) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval",Average Annual Count,Percent of Cases with Late Stage
"Florida(6)",12000,Yes,41 ,40.5, 41.5,5299,33.1
"US (SEER+NPCR)(1)",00000,No,42.3 ,42.1, 42.4,78906,33.0
"Hamilton County(6)",12047,No,54.7 ,30.9, 89.3,4,50.0
"Union County(6)",12125,No,51.7 ,28.9, 85.8,3,30.2
"Baker County(6)",12003,No,50.6 ,35.4, 70.4,7,45.1
"Duval County(6)",12031,No,49.5 ,46.8, 52.4,252,36.3
"Okeechobee County(6)",12093,No,48.9 ,36.4, 64.4,11,39.0
"Pinellas County(6)",12103,No,46.5 ,44.1, 49.1,325,34.5
"Bay County(6)",12005,No,46.3 ,40.7, 52.6,52,37.4
"Marion County(6)",12083,No,46.1 ,42, 50.5,120,33.6
"Escambia County(6)",12033,No,45.8 ,41.3, 50.7,84,34.7
"Dixie County(6)",12029,No,45.1 ,27.9, 70.1,5,37.7
"Polk County(6)",12105,No,44.9 ,41.8, 48,183,33.2
"Hillsborough County(6)",12057,No,44.7 ,42.5, 46.9,334,35.9
"Osceola County(6)",12097,No,44.4 ,39.9, 49.2,75,38.6
"Hardee County(6)",12049,No,44.1 ,29.9, 62.9,6,40.5
"Brevard County(6)",12009,No,43.9 ,40.8, 47.2,178,33.5
"Broward County(6)",12011,No,43.6 ,41.8, 45.4,502,35.0
"Taylor County(6)",12123,No,43.5 ,28.1, 64.8,6,39.2
"Clay County(6)",12019,No,43.4 ,38.2, 49.2,52,36.4
"Alachua County(6)",12001,No,43.3 ,38.2, 48.9,56,31.2
"Sarasota County(6)",12115,No,43 ,39.1, 47.1,132,28.3
"St. Lucie County(6)",12111,No,42.7 ,38.5, 47.3,86,35.2
"Martin County(6)",12085,No,42.6 ,36.7, 49.2,51,30.3
"Nassau County(6)",12089,No,42.5 ,34.3, 52.1,21,29.2
"Hernando County(6)",12053,Yes,42 ,36.7, 48,56,31.8
"Highlands County(6)",12055,Yes,42 ,34.4, 50.8,31,32.2
"Lake County(6)",12069,Yes,41.9 ,38, 46.2,101,31.7
"Gilchrist County(6)",12041,Yes,41.7 ,25.1, 65.5,4,31.0
"Seminole County(6)",12117,Yes,41.1 ,37.7, 44.8,114,34.7
"Flagler County(6)",12035,Yes,40.9 ,34.2, 48.7,34,31.3
"Monroe County(6)",12087,Yes,40.4 ,32.5, 49.8,20,38.6
"Orange County(6)",12095,Yes,40.2 ,38, 42.5,264,36.4
"Volusia County(6)",12127,Yes,40.2 ,37, 43.5,148,32.9
"Miami-Dade County(6)",12086,Yes,39.6 ,38.2, 41,651,36.3
"Pasco County(6)",12101,Yes,39.5 ,36.3, 42.9,129,30.6
"St. Johns County(6)",12109,Yes,39.4 ,34.7, 44.5,56,29.0
"Columbia County(6)",12023,Yes,39.3 ,30.7, 49.7,16,29.7
"Manatee County(6)",12081,Yes,38.5 ,34.8, 42.6,97,30.9
"Okaloosa County(6)",12091,Yes,38.2 ,32.9, 44,41,30.2
"Palm Beach County(6)",12099,Yes,38.1 ,36.3, 40,370,29.0
