------------
DL METADATA
 > URL: https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1
 > Details: {'stateFIPS': '39', 'areatype': 'county', 'topic': 'pov', 'demo': '00009', 'race': '00', 'sex': '0', 'age': '001', 'type': 'manyareacensus', 'file_name': 'demographics_030.csv', 'source_url': 'https://www.statecancerprofiles.cancer.gov/demographics/index.php?stateFIPS=39&areatype=county&topic=pov&demo=00009&race=00&sex=0&age=001&type=manyareacensus&sortVariableName=value&sortOrder=asc&output=1'}
------------
Demographic Data Report for Ohio by County
Poverty: Persons below 150% of poverty
"All Ages, All Races (includes Hispanic), Both Sexes"
2013-2017 American Community Survey 5-Year Data
Sorted by Value

County, FIPS,Value (Percent),People (<150% Of Poverty),Rank within US
"Ohio",39000,23.6,2660985,"27 of 52"
"United States",00000,23.7,74202606,"N/A"
"Delaware County",39041,7.7,14708,"10 of 3141"
"Warren County",39165,9.8,21104,"39 of 3141"
"Medina County",39103,10.5,18375,"54 of 3141"
"Geauga County",39055,13.3,12380,"148 of 3141"
"Union County",39159,13.7,7054,"166 of 3141"
"Lake County",39085,14.8,33602,"227 of 3141"
"Putnam County",39137,14.9,5004,"228 of 3141"
"Mercer County",39107,15.8,6340,"283 of 3141"
"Henry County",39069,16.2,4371,"318 of 3141"
"Clermont County",39025,17.1,34161,"394 of 3141"
"Auglaize County",39011,17.5,7880,"438 of 3141"
"Fairfield County",39045,17.5,26048,"448 of 3141"
"Shelby County",39149,17.6,8485,"453 of 3141"
"Madison County",39097,17.6,6776,"454 of 3141"
"Fulton County",39051,17.9,7449,"477 of 3141"
"Paulding County",39125,18.5,3466,"533 of 3141"
"Ottawa County",39123,18.5,7462,"553 of 3141"
"Defiance County",39039,18.6,6971,"557 of 3141"
"Pickaway County",39129,18.7,9736,"576 of 3141"
"Greene County",39057,18.9,29524,"606 of 3141"
"Hancock County",39063,19.9,14541,"726 of 3141"
"Champaign County",39021,19.9,7587,"733 of 3141"
"Butler County",39017,20.0,72470,"739 of 3141"
"Licking County",39089,20.0,33246,"740 of 3141"
"Miami County",39109,20.0,20586,"749 of 3141"
"Morrow County",39117,20.1,6925,"754 of 3141"
"Holmes County",39075,20.5,8804,"817 of 3141"
"Knox County",39083,20.9,12021,"865 of 3141"
"Preble County",39135,21.2,8591,"901 of 3141"
"Wood County",39173,21.2,25942,"902 of 3141"
"Erie County",39043,21.3,15775,"911 of 3141"
"Noble County",39121,21.3,2542,"927 of 3141"
"Lorain County",39093,21.6,63902,"956 of 3141"
"Logan County",39091,21.6,9653,"960 of 3141"
"Portage County",39133,21.7,33639,"974 of 3141"
"Wayne County",39169,21.9,24583,"1004 of 3141"
"Summit County",39153,22.3,118803,"1050 of 3141"
"Van Wert County",39161,22.5,6282,"1080 of 3141"
"Darke County",39037,22.8,11627,"1110 of 3141"
"Sandusky County",39143,22.8,13316,"1122 of 3141"
"Stark County",39151,22.8,83247,"1124 of 3141"
"Wyandot County",39175,23.1,5030,"1152 of 3141"
"Belmont County",39013,23.1,14989,"1159 of 3141"
"Tuscarawas County",39157,23.3,21204,"1180 of 3141"
"Williams County",39171,23.5,8414,"1223 of 3141"
"Seneca County",39147,23.6,12394,"1237 of 3141"
"Carroll County",39019,24.0,6582,"1285 of 3141"
"Ashland County",39005,24.1,12269,"1301 of 3141"
"Clinton County",39027,24.3,9864,"1337 of 3141"
"Hocking County",39073,24.6,6851,"1385 of 3141"
"Franklin County",39049,25.0,305857,"1446 of 3141"
"Hamilton County",39061,25.2,199506,"1475 of 3141"
"Washington County",39167,25.2,14887,"1478 of 3141"
"Huron County",39077,25.3,14613,"1481 of 3141"
"Allen County",39003,25.6,25700,"1538 of 3141"
"Harrison County",39067,26.0,3925,"1581 of 3141"
"Trumbull County",39155,26.0,51901,"1587 of 3141"
"Richland County",39139,26.3,29926,"1624 of 3141"
"Columbiana County",39029,26.4,26582,"1638 of 3141"
"Brown County",39015,27.0,11617,"1736 of 3141"
"Crawford County",39033,27.3,11342,"1780 of 3141"
"Fayette County",39047,27.4,7676,"1791 of 3141"
"Cuyahoga County",39035,27.5,338264,"1802 of 3141"
"Jefferson County",39081,27.5,17838,"1806 of 3141"
"Montgomery County",39113,27.6,142602,"1832 of 3141"
"Hardin County",39065,27.7,8103,"1848 of 3141"
"Clark County",39023,28.0,37019,"1883 of 3141"
"Mahoning County",39099,28.0,62961,"1885 of 3141"
"Perry County",39127,28.4,10108,"1942 of 3141"
"Muskingum County",39119,28.5,23806,"1948 of 3141"
"Coshocton County",39031,28.5,10309,"1960 of 3141"
"Marion County",39101,28.6,17019,"1974 of 3141"
"Monroe County",39111,29.0,4080,"2018 of 3141"
"Ross County",39141,29.1,20665,"2027 of 3141"
"Lawrence County",39087,29.2,17578,"2048 of 3141"
"Lucas County",39095,29.7,125704,"2095 of 3141"
"Guernsey County",39059,30.2,11704,"2158 of 3141"
"Gallia County",39053,30.5,8945,"2196 of 3141"
"Ashtabula County",39007,31.2,29725,"2282 of 3141"
"Pike County",39131,31.4,8719,"2303 of 3141"
"Highland County",39071,31.9,13529,"2354 of 3141"
"Meigs County",39105,32.7,7528,"2427 of 3141"
"Jackson County",39079,33.0,10608,"2461 of 3141"
"Vinton County",39163,33.2,4330,"2481 of 3141"
"Scioto County",39145,35.0,25530,"2636 of 3141"
"Morgan County",39115,35.5,5127,"2665 of 3141"
"Adams County",39001,38.7,10634,"2867 of 3141"
"Athens County",39009,40.2,22443,"2927 of 3141"

Created by statecancerprofiles.cancer.gov on 03/29/2020 5:00 pm.
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Poverty: Persons below 150% of poverty, see the dictionary at http://statecancerprofiles.cancer.gov/dictionary.php#poverty."
"Health Service Areas are a single county or cluster of contiguous counties which are relatively self-contained with respect to hospital care. For more detailed information, please see the Health Service Area information page at http://statecancerprofiles.cancer.gov/hsa.php ."
Data for United States does not include Puerto Rico.
